t_s,Icell11_A,Icell12_A,Icell21_A,Icell22_A,Icell31_A,Icell32_A,I_RL_A,V_out_diff_V,E_out_J
5.67E-05,-0.000164538,-0.000164538,1.12E-05,1.12E-05,-5.21E-05,-5.21E-05,-5.74E-07,-1.91E-06,1.69E-17
5.76E-05,-0.000356159,-0.000356159,-8.36E-06,-8.36E-06,-0.00079981,-0.000799838,8.69E-07,2.86E-06,1.88E-17
5.83E-05,-0.000402866,-0.000402866,1.10E-05,1.10E-05,-0.000972354,-0.000972377,3.22E-06,1.05E-05,3.53E-17
5.85E-05,-0.000341682,-0.000341682,-8.52E-06,-8.52E-06,-0.001376084,-0.001376111,5.01E-06,1.60E-05,5.55E-17
5.88E-05,-0.000238099,-0.000238099,1.09E-05,1.09E-05,-0.004398613,-0.004398616,1.05E-05,3.39E-05,1.22E-16
5.89E-05,-0.000240514,-0.000240514,-8.58E-06,-8.58E-06,-0.00963888,-0.009638911,2.07E-05,6.63E-05,3.54E-16
5.91E-05,-0.000195458,-0.000195458,1.08E-05,1.08E-05,-0.0191333,-0.019133288,4.23E-05,0.000135422,1.39E-15
5.93E-05,-0.000210734,-0.000210734,-8.67E-06,-8.67E-06,-0.03375524,-0.033755276,8.18E-05,0.000261784,5.92E-15
5.95E-05,-0.000173369,-0.000173369,1.07E-05,1.07E-05,-0.060525946,-0.06052591,0.000168671,0.00053978,2.93E-14
5.98E-05,-0.000193217,-0.000193217,-8.86E-06,-8.86E-06,-0.10241778,-0.10241782,0.000334081,0.001069069,1.44E-13
6.02E-05,-0.000159572,-0.000159572,1.04E-05,1.04E-05,-0.177753,-0.17775293,0.000702112,0.002246618,8.07E-13
6.06E-05,-0.00018184,-0.00018184,-9.20E-06,-9.20E-06,-0.30616826,-0.30616832,0.001495273,0.004785061,4.24E-12
6.11E-05,-0.000151367,-0.000151367,9.99E-06,9.99E-06,-0.47385612,-0.473856,0.002783017,0.008905649,1.61E-11
6.16E-05,-0.000176257,-0.000176257,-9.58E-06,-9.58E-06,-0.6677125,-0.66771257,0.004580131,0.014656544,4.93E-11
6.21E-05,-0.000147156,-0.000147156,9.61E-06,9.61E-06,-0.9121366,-0.9121365,0.007274617,0.023278713,1.42E-10
6.27E-05,-0.000172495,-0.000172495,-9.95E-06,-9.95E-06,-1.2206836,-1.2206837,0.011328163,0.036250114,4.04E-10
6.34E-05,-0.000143458,-0.000143458,9.26E-06,9.26E-06,-1.6205759,-1.6205758,0.017673155,0.05655408,9.80E-10
6.38E-05,-0.000169378,-0.000169378,-1.02E-05,-1.02E-05,-1.9010596,-1.9010597,0.0229045,0.0732944,1.69E-09
6.42E-05,-0.000141228,-0.000141228,9.15E-06,9.15E-06,-2.1389718,-2.1389718,0.027901106,0.08928347,2.50E-09
6.45E-05,-0.00016765,-0.00016765,-1.02E-05,-1.02E-05,-2.2993095,-2.2993097,0.031588703,0.101083755,3.23E-09
6.47E-05,-0.000140042,-0.000140042,9.11E-06,9.11E-06,-2.4220557,-2.4220555,0.03459745,0.11071181,3.98E-09
6.49E-05,-0.000166585,-0.000166585,-1.02E-05,-1.02E-05,-2.5363622,-2.5363624,0.03755845,0.120187044,4.84E-09
6.51E-05,-0.000139058,-0.000139058,9.10E-06,9.10E-06,-2.652557,-2.6525567,0.04073317,0.13034606,5.84E-09
6.53E-05,-0.000165521,-0.000165521,-1.02E-05,-1.02E-05,-2.7619805,-2.7619808,0.043895207,0.14046478,6.98E-09
6.54E-05,-0.000138032,-0.000138032,9.12E-06,9.12E-06,-2.8705578,-2.8705575,0.047218733,0.15109992,8.31E-09
6.56E-05,-0.00016433,-0.00016433,-1.01E-05,-1.01E-05,-2.975635,-2.9756353,0.050661623,0.16211724,9.86E-09
6.58E-05,-0.000136706,-0.000136706,9.22E-06,9.22E-06,-3.078095,-3.078095,0.05431664,0.1738131,1.17E-08
6.60E-05,-0.000162589,-0.000162589,-9.90E-06,-9.90E-06,-3.1769295,-3.17693,0.05830283,0.18656921,1.41E-08
6.63E-05,-0.000134487,-0.000134487,9.54E-06,9.54E-06,-3.272585,-3.2725847,0.06294639,0.20142841,1.74E-08
6.66E-05,-0.000159626,-0.000159626,-9.43E-06,-9.43E-06,-3.3684025,-3.3684032,0.06920417,0.22145343,2.44E-08
6.72E-05,-0.000130361,-0.000130361,1.01E-05,1.01E-05,-3.4822807,-3.4822807,0.08204863,0.2625556,3.77E-08
6.78E-05,-0.000155686,-0.000155686,-8.99E-06,-8.99E-06,-3.540463,-3.540464,0.09584057,0.30668998,5.85E-08
6.86E-05,-0.000127246,-0.000127246,1.03E-05,1.03E-05,-3.573312,-3.5733118,0.112885125,0.36123252,1.00E-07
6.98E-05,-0.000151967,-0.000151967,-8.89E-06,-8.89E-06,-3.5888262,-3.5888271,0.14098027,0.45113683,1.97E-07
7.16E-05,-0.000122269,-0.000122269,1.03E-05,1.03E-05,-3.582928,-3.5829277,0.17956673,0.57461333,3.35E-07
7.25E-05,-0.000147656,-0.000147656,-8.93E-06,-8.93E-06,-3.5764287,-3.5764296,0.1994295,0.63817406,4.27E-07
7.31E-05,-0.000131605,-0.000131605,1.03E-05,1.03E-05,-3.5726507,-3.5726502,0.2108914,0.6748524,4.85E-07
7.33E-05,-0.000680237,-0.000680237,-8.42E-06,-8.42E-06,-3.5702705,-3.5702715,0.21712592,0.69480324,5.24E-07
7.36E-05,-0.000472897,-0.000472897,1.14E-05,1.14E-05,-3.5680149,-3.5680146,0.22199176,0.71037364,5.56E-07
7.38E-05,-0.00059679,-0.00059679,-7.38E-06,-7.38E-06,-3.5660346,-3.5660355,0.22605607,0.7233794,5.88E-07
7.40E-05,-0.000563654,-0.000563654,1.23E-05,1.23E-05,-3.5640812,-3.5640807,0.23037642,0.7372048,6.34E-07
7.43E-05,-0.00061193,-0.00061193,-6.07E-06,-6.07E-06,-3.5608597,-3.5608606,0.23768295,0.7605853,7.04E-07
7.47E-05,-0.000607982,-0.000607982,1.42E-05,1.42E-05,-3.557184,-3.5571835,0.24715088,0.7908828,7.79E-07
7.51E-05,-0.000641152,-0.000641152,-4.24E-06,-4.24E-06,-3.5547543,-3.5547552,0.2540707,0.8130262,8.36E-07
7.53E-05,-0.001245003,-0.001245003,1.53E-05,1.53E-05,-3.5534525,-3.553452,0.25896686,0.82869387,8.66E-07
7.53E-05,-0.001828072,-0.001828072,-3.84E-06,-3.84E-06,-3.5532308,-3.5532317,0.26005447,0.8321743,8.75E-07
7.54E-05,-0.002362251,-0.002362251,1.52E-05,1.52E-05,-3.553197,-3.5531962,0.2606906,0.83421016,8.79E-07
7.54E-05,-0.00259985,-0.00259985,-3.66E-06,-3.66E-06,-3.5531514,-3.5531523,0.2609251,0.8349602,8.81E-07
7.54E-05,-0.002689122,-0.002689122,1.48E-05,1.48E-05,-3.553167,-3.5531666,0.26104936,0.8353579,8.82E-07
7.54E-05,-0.002794913,-0.002794913,-3.02E-06,-3.02E-06,-3.5531397,-3.5531409,0.2611357,0.83563423,8.83E-07
7.54E-05,-0.002866552,-0.002866552,1.41E-05,1.41E-05,-3.5531552,-3.5531545,0.26123375,0.8359482,8.84E-07
7.54E-05,-0.002984417,-0.002984417,-2.42E-06,-2.42E-06,-3.55313,-3.553131,0.26133206,0.83626294,8.85E-07
7.54E-05,-0.003161381,-0.003161381,1.37E-05,1.37E-05,-3.5531406,-3.5531402,0.26152888,0.8368926,8.88E-07
7.54E-05,-0.003597582,-0.003597582,-2.23E-06,-2.23E-06,-3.55311,-3.5531108,0.2619223,0.83815145,8.95E-07
7.55E-05,-0.004489747,-0.004489747,1.36E-05,1.36E-05,-3.5531263,-3.5531259,0.26270923,0.8406694,9.07E-07
7.55E-05,-0.006655822,-0.006655822,-2.21E-06,-2.21E-06,-3.5531766,-3.5531778,0.26428276,0.84570456,9.31E-07
7.57E-05,-0.012198184,-0.012198184,1.35E-05,1.35E-05,-3.5535781,-3.5535774,0.26742923,0.85577345,9.77E-07
7.59E-05,-0.025545476,-0.025545476,-2.29E-06,-2.29E-06,-3.5548089,-3.55481,0.2727999,0.87295985,1.04E-06
7.62E-05,-0.047714975,-0.047714975,1.34E-05,1.34E-05,-3.5571346,-3.557134,0.27925164,0.89360523,1.13E-06
7.67E-05,-0.08917941,-0.08917941,-2.44E-06,-2.44E-06,-3.5615141,-3.5615153,0.28821403,0.9222851,1.23E-06
7.70E-05,-0.12781629,-0.12781629,1.32E-05,1.32E-05,-3.5656085,-3.5656078,0.29492658,0.9437649,1.32E-06
7.73E-05,-0.172441,-0.172441,-2.56E-06,-2.56E-06,-3.5702138,-3.570215,0.30161926,0.9651818,1.41E-06
7.76E-05,-0.22871938,-0.22871938,1.30E-05,1.30E-05,-3.5759459,-3.5759451,0.30906805,0.9890177,1.52E-06
7.80E-05,-0.29263097,-0.29263097,-2.70E-06,-2.70E-06,-3.5822585,-3.5822594,0.31664115,1.0132515,1.63E-06
7.83E-05,-0.36193794,-0.36193794,1.29E-05,1.29E-05,-3.5889835,-3.5889828,0.32413703,1.0372386,1.75E-06
7.87E-05,-0.4344814,-0.4344814,-2.83E-06,-2.83E-06,-3.5958204,-3.5958214,0.3314066,1.0605011,1.88E-06
7.91E-05,-0.53101224,-0.53101224,1.27E-05,1.27E-05,-3.604742,-3.604741,0.34042504,1.08936,2.05E-06
7.96E-05,-0.64929986,-0.64929986,-3.00E-06,-3.00E-06,-3.615334,-3.615335,0.35073048,1.1223373,2.26E-06
8.02E-05,-0.8093929,-0.8093929,1.25E-05,1.25E-05,-3.629287,-3.629286,0.36376816,1.1640582,2.54E-06
8.09E-05,-1.0118178,-1.0118178,-3.25E-06,-3.25E-06,-3.646334,-3.646335,0.37922812,1.2135301,2.93E-06
8.19E-05,-1.2995385,-1.2995385,1.22E-05,1.22E-05,-3.6698842,-3.6698833,0.39995086,1.2798429,3.50E-06
8.31E-05,-1.6999304,-1.6999304,-3.66E-06,-3.66E-06,-3.7020178,-3.7020187,0.42738476,1.367631,4.43E-06
8.50E-05,-2.3346622,-2.3346622,1.16E-05,1.16E-05,-3.7549856,-3.7549846,0.46952787,1.5024889,6.18E-06
8.81E-05,-3.3332112,-3.3332112,-4.56E-06,-4.56E-06,-3.8715565,-3.8715575,0.5371071,1.7187428,8.39E-06
8.98E-05,-3.8763125,-3.8763125,1.06E-05,1.06E-05,-4.024328,-4.0243273,0.5778235,1.8490353,9.90E-06
9.09E-05,-4.1689343,-4.1689343,-5.41E-06,-5.41E-06,-4.2043834,-4.2043843,0.60309696,1.9299102,1.11E-05
9.19E-05,-4.4163895,-4.4163895,1.00E-05,1.00E-05,-4.422253,-4.422252,0.6275931,2.0082982,1.18E-05
