t_s,Icell11_A,Icell12_A,Icell21_A,Icell22_A,Icell31_A,Icell32_A,I_RL_A,V_out_diff_V,E_out_J
7.21E-05,-0.000444134,-0.000444134,-6.241927,-6.241927,-6.2419715,-6.241972,0.3014063,0.9946406,9.22E-07
7.22E-05,-0.00040007,-0.00040007,-6.252374,-6.252374,-6.252418,-6.2524185,0.30419928,1.0038574,9.47E-07
7.23E-05,-0.000515397,-0.000515397,-6.2626314,-6.2626314,-6.262671,-6.262672,0.30736765,1.0143135,9.81E-07
7.24E-05,-0.000426798,-0.000426798,-6.2750773,-6.2750773,-6.2751145,-6.275115,0.31226945,1.0304894,1.02E-06
7.25E-05,-0.000535752,-0.000535752,-6.2824745,-6.2824745,-6.282506,-6.282507,0.31680202,1.0454466,1.08E-06
7.27E-05,-0.000444435,-0.000444435,-6.2861776,-6.2861776,-6.2862034,-6.2862034,0.32467106,1.0714142,1.16E-06
7.30E-05,-0.000554985,-0.000554985,-6.274927,-6.274927,-6.2749434,-6.2749443,0.33544633,1.1069729,1.33E-06
7.36E-05,-0.000466607,-0.000466607,-6.218957,-6.218957,-6.218965,-6.218965,0.3568298,1.1775382,1.52E-06
7.39E-05,-0.00057447,-0.00057447,-6.178371,-6.178371,-6.178376,-6.178377,0.36863533,1.2164965,1.62E-06
7.41E-05,-0.001321239,-0.001321239,-6.1614017,-6.1614017,-6.161407,-6.161407,0.37339252,1.2321951,1.68E-06
7.42E-05,-0.004010247,-0.004010247,-6.1452045,-6.1452045,-6.145209,-6.1452103,0.3779534,1.2472465,1.72E-06
7.42E-05,-0.005159541,-0.005159541,-6.1389093,-6.1389093,-6.138914,-6.138914,0.37974903,1.2531717,1.74E-06
7.43E-05,-0.00676188,-0.00676188,-6.132681,-6.132681,-6.1326847,-6.132686,0.38150704,1.2589731,1.76E-06
7.43E-05,-0.007956736,-0.007956736,-6.127872,-6.127872,-6.1278763,-6.1278763,0.38288403,1.2635174,1.78E-06
7.44E-05,-0.009240374,-0.009240374,-6.123727,-6.123727,-6.1237307,-6.1237316,0.38405237,1.2673728,1.80E-06
7.44E-05,-0.0101399,-0.0101399,-6.120531,-6.120531,-6.1205354,-6.1205354,0.38497165,1.2704065,1.81E-06
7.44E-05,-0.010995971,-0.010995971,-6.1181254,-6.1181254,-6.1181293,-6.11813,0.38564637,1.2726331,1.81E-06
7.44E-05,-0.011356196,-0.011356196,-6.1167874,-6.1167874,-6.1167912,-6.1167912,0.3860372,1.2739229,1.82E-06
7.44E-05,-0.011660543,-0.011660543,-6.1161222,-6.1161222,-6.1161256,-6.116127,0.38621703,1.2745159,1.82E-06
