Save Time:,2026-02-20 16:25:49,,
,,CH1,CH2
Frequency:,,?,?
Period:,,?,?
SP:,,10000.000 uS,10000.000 uS
PK-PK:,,120.000 mV,1.800 V
,,,
Units:(mV),,,
534,5340000.000us,40,1680
535,5350000.000us,40,1720
536,5360000.000us,40,1720
537,5370000.000us,40,1720
538,5380000.000us,40,1760
539,5390000.000us,40,1720
540,5400000.000us,40,1760
541,5410000.000us,40,1680
542,5420000.000us,40,1720
543,5430000.000us,40,1720
544,5440000.000us,0,1680
545,5450000.000us,40,1720
546,5460000.000us,40,1720
547,5470000.000us,40,1720
548,5480000.000us,0,1720
549,5490000.000us,40,1720
550,5500000.000us,40,1760
551,5510000.000us,80,1760
552,5520000.000us,80,1680
553,5530000.000us,40,1720
554,5540000.000us,0,1720
555,5550000.000us,40,1720
556,5560000.000us,40,1720
557,5570000.000us,40,1760
558,5580000.000us,40,1680
559,5590000.000us,40,1720
560,5600000.000us,40,1720
561,5610000.000us,40,1720
562,5620000.000us,80,1720
563,5630000.000us,40,1760
564,5640000.000us,40,1680
565,5650000.000us,40,1720
566,5660000.000us,40,1720
567,5670000.000us,40,1680
568,5680000.000us,80,1760
569,5690000.000us,40,1720
570,5700000.000us,40,1720
571,5710000.000us,40,1680
572,5720000.000us,40,1680
573,5730000.000us,80,1720
574,5740000.000us,80,1720
575,5750000.000us,80,1720
576,5760000.000us,40,1680
577,5770000.000us,0,1760
578,5780000.000us,40,1680
579,5790000.000us,80,1720
580,5800000.000us,40,1680
581,5810000.000us,40,1680
582,5820000.000us,40,1720
583,5830000.000us,40,1760
584,5840000.000us,40,1680
585,5850000.000us,40,1720
586,5860000.000us,40,1680
587,5870000.000us,40,1720
588,5880000.000us,40,1720
589,5890000.000us,80,1720
590,5900000.000us,40,1720
591,5910000.000us,40,1760
592,5920000.000us,40,1680
593,5930000.000us,40,1680
594,5940000.000us,40,1720
595,5950000.000us,40,1720
596,5960000.000us,80,1680
597,5970000.000us,40,1720
598,5980000.000us,80,1720
599,5990000.000us,40,1680
600,6000000.000us,40,1720
601,6010000.000us,40,1680
602,6020000.000us,80,1720
603,6030000.000us,40,1720
604,6040000.000us,40,1720
605,6050000.000us,40,1680
606,6060000.000us,80,1680
607,6070000.000us,80,1720
608,6080000.000us,40,1720
609,6090000.000us,40,1720
610,6100000.000us,40,1720
611,6110000.000us,40,1720
612,6120000.000us,80,1760
613,6130000.000us,80,1720
614,6140000.000us,40,1720
615,6150000.000us,40,1720
616,6160000.000us,40,1680
617,6170000.000us,40,1720
618,6180000.000us,80,1720
619,6190000.000us,0,1720
620,6200000.000us,80,1720
621,6210000.000us,0,1720
622,6220000.000us,40,1720
623,6230000.000us,40,1760
624,6240000.000us,40,1720
625,6250000.000us,40,1720
626,6260000.000us,40,1720
627,6270000.000us,40,1720
628,6280000.000us,80,1720
629,6290000.000us,80,1720
630,6300000.000us,40,1720
631,6310000.000us,80,1680
632,6320000.000us,80,1720
633,6330000.000us,40,1760
634,6340000.000us,40,1720
635,6350000.000us,40,1720
636,6360000.000us,40,1720
637,6370000.000us,40,1760
638,6380000.000us,40,1720
639,6390000.000us,80,1720
640,6400000.000us,40,1680
641,6410000.000us,40,1720
642,6420000.000us,40,1720
643,6430000.000us,40,1720
644,6440000.000us,40,1720
645,6450000.000us,40,1720
646,6460000.000us,40,1720
647,6470000.000us,80,1680
648,6480000.000us,80,1680
649,6490000.000us,40,1720
650,6500000.000us,40,1680
651,6510000.000us,40,1720
652,6520000.000us,40,1760
653,6530000.000us,40,1680
654,6540000.000us,40,1720
655,6550000.000us,40,1720
656,6560000.000us,40,1680
657,6570000.000us,40,1680
658,6580000.000us,40,1720
659,6590000.000us,40,1720
660,6600000.000us,40,1720
661,6610000.000us,40,1720
662,6620000.000us,40,1760
663,6630000.000us,40,1720
664,6640000.000us,40,1760
665,6650000.000us,40,1720
666,6660000.000us,80,1720
667,6670000.000us,40,1680
668,6680000.000us,80,1720
669,6690000.000us,40,1720
670,6700000.000us,40,1720
671,6710000.000us,40,1720
672,6720000.000us,40,1760
673,6730000.000us,40,1720
674,6740000.000us,40,1720
675,6750000.000us,40,1720
676,6760000.000us,40,1720
677,6770000.000us,40,1720
678,6780000.000us,0,1720
679,6790000.000us,80,1720
680,6800000.000us,80,1720
681,6810000.000us,40,1720
682,6820000.000us,40,1720
683,6830000.000us,40,1680
684,6840000.000us,40,1720
685,6850000.000us,40,1720
686,6860000.000us,80,1720
687,6870000.000us,40,1720
688,6880000.000us,80,1680
689,6890000.000us,0,1680
690,6900000.000us,0,1680
691,6910000.000us,40,1720
692,6920000.000us,40,1720
693,6930000.000us,80,1720
694,6940000.000us,40,1720
695,6950000.000us,40,1720
