time	V(n001)	I(Cij)
7.717634066362096e-07	3.199982e+00	-3.210845e-03
7.763039111614455e-07	3.199982e+00	-3.210728e-03
7.814684014464884e-07	3.199982e+00	-3.209892e-03
7.850948646892785e-07	3.199982e+00	-3.209364e-03
7.893032465922284e-07	3.199982e+00	-3.209368e-03
7.937409693566535e-07	3.199982e+00	-3.210036e-03
7.971184779221571e-07	3.199982e+00	-3.210651e-03
8.009911702874233e-07	3.199982e+00	-3.210956e-03
8.054453836471435e-07	3.199982e+00	-3.210577e-03
8.095213604620973e-07	3.199982e+00	-3.209861e-03
8.131255000862367e-07	3.199982e+00	-3.209417e-03
8.177859099091219e-07	3.199982e+00	-3.209572e-03
8.226611684659350e-07	3.199982e+00	-3.210369e-03
8.263181570570157e-07	3.199982e+00	-3.210904e-03
8.308225777487344e-07	3.199982e+00	-3.210914e-03
8.355199742373092e-07	3.199982e+00	-3.210243e-03
8.389017633255504e-07	3.199982e+00	-3.209692e-03
8.427538180000436e-07	3.199982e+00	-3.209478e-03
8.471714532430308e-07	3.199982e+00	-3.209916e-03
8.508902694315394e-07	3.199982e+00	-3.210574e-03
8.545908882071689e-07	3.199982e+00	-3.211020e-03
8.593133694966005e-07	3.199982e+00	-3.210868e-03
8.647384132243506e-07	3.199982e+00	-3.210053e-03
8.686488857293917e-07	3.199982e+00	-3.209603e-03
8.737891419569971e-07	3.199982e+00	-3.209819e-03
8.785693762502763e-07	3.199982e+00	-3.210582e-03
8.823044189392995e-07	3.199982e+00	-3.211054e-03
8.875831589211620e-07	3.199982e+00	-3.210915e-03
8.924862713922377e-07	3.199982e+00	-3.210182e-03
8.961141167572438e-07	3.199982e+00	-3.209731e-03
9.006827443792395e-07	3.199982e+00	-3.209796e-03
9.054108194713822e-07	3.199982e+00	-3.210475e-03
9.089553422829509e-07	3.199982e+00	-3.211002e-03
9.132962367736009e-07	3.199982e+00	-3.211134e-03
9.180149028749984e-07	3.199982e+00	-3.210599e-03
9.216433072684884e-07	3.199982e+00	-3.210033e-03
9.255063982076846e-07	3.199982e+00	-3.209758e-03
9.301229993140448e-07	3.199982e+00	-3.210102e-03
9.347848519615182e-07	3.199982e+00	-3.210824e-03
9.389166423336920e-07	3.199982e+00	-3.211208e-03
9.438901795859812e-07	3.199982e+00	-3.210928e-03
9.498599974969067e-07	3.199982e+00	-3.210109e-03
9.543573763083059e-07	3.199982e+00	-3.209854e-03
9.593904564931305e-07	3.199982e+00	-3.210318e-03
9.642108902146853e-07	3.199982e+00	-3.211027e-03
9.686333066304651e-07	3.199982e+00	-3.211262e-03
9.736013435891313e-07	3.199982e+00	-3.210810e-03
9.778270892453193e-07	3.199982e+00	-3.210197e-03
9.818761436577546e-07	3.199982e+00	-3.209939e-03
9.866990989561970e-07	3.199982e+00	-3.210309e-03
9.914674669881784e-07	3.199982e+00	-3.211003e-03
9.957831328082247e-07	3.199982e+00	-3.211318e-03
1.000828593303301e-06	3.199982e+00	-3.210965e-03
1.005902361254219e-06	3.199982e+00	-3.210275e-03
1.010203883014364e-06	3.199982e+00	-3.210028e-03
1.015215495022018e-06	3.199982e+00	-3.210440e-03
1.020051627066425e-06	3.199982e+00	-3.211116e-03
1.024516336652314e-06	3.199982e+00	-3.211365e-03
1.029595702475201e-06	3.199982e+00	-3.210945e-03
1.034073626613233e-06	3.199982e+00	-3.210340e-03
1.038290794356822e-06	3.199982e+00	-3.210114e-03
1.043246484876347e-06	3.199982e+00	-3.210513e-03
1.047858764926491e-06	3.199982e+00	-3.211150e-03
1.052261678142185e-06	3.199982e+00	-3.211415e-03
1.057367116344684e-06	3.199982e+00	-3.211033e-03
1.062058801312813e-06	3.199982e+00	-3.210421e-03
1.066360980596898e-06	3.199982e+00	-3.210197e-03
1.071407686853589e-06	3.199982e+00	-3.210600e-03
1.076104975790581e-06	3.199982e+00	-3.211225e-03
1.080610150517058e-06	3.199982e+00	-3.211460e-03
1.085773789222395e-06	3.199982e+00	-3.211052e-03
1.090259558324032e-06	3.199982e+00	-3.210482e-03
1.094584356267349e-06	3.199982e+00	-3.210281e-03
1.099640221408055e-06	3.199982e+00	-3.210692e-03
1.104136151865321e-06	3.199982e+00	-3.211277e-03
1.108628709827117e-06	3.199982e+00	-3.211507e-03
1.113813128683551e-06	3.199982e+00	-3.211109e-03
