time	V(out_pos,out_neg)	I(V2)	I(Vcell12)
1.016764039820252e-02	3.339701e+00	-1.674419e-05	-4.923769e-01
1.016900221967424e-02	3.342380e+00	-1.676992e-05	-5.159327e-01
1.017042368603589e-02	3.345352e+00	-1.679727e-05	-5.411577e-01
1.017244741262689e-02	3.349845e+00	-1.683656e-05	-5.779572e-01
1.017446999890685e-02	3.354625e+00	-1.687190e-05	-6.129359e-01
1.017591662079514e-02	3.358204e+00	-1.689236e-05	-6.343212e-01
1.017763516263417e-02	3.362587e+00	-1.690642e-05	-6.513658e-01
1.017880210340028e-02	3.365603e+00	-1.690862e-05	-6.558567e-01
1.018075609680181e-02	3.370638e+00	-1.690269e-05	-6.516637e-01
1.018290149666294e-02	3.376072e+00	-1.689251e-05	-6.358650e-01
1.018528777715695e-02	3.381903e+00	-1.688210e-05	-6.113380e-01
1.018824080672532e-02	3.388756e+00	-1.687280e-05	-5.768409e-01
1.019116820000202e-02	3.395085e+00	-1.686529e-05	-5.411412e-01
1.019497184147032e-02	3.402601e+00	-1.685747e-05	-4.951782e-01
1.019901842759189e-02	3.409674e+00	-1.685002e-05	-4.484454e-01
1.020530182929701e-02	3.418899e+00	-1.684079e-05	-3.819641e-01
1.021301208623148e-02	3.427657e+00	-1.683222e-05	-3.112479e-01
1.022301208623148e-02	3.435334e+00	-1.682672e-05	-2.362022e-01
1.023301208623147e-02	3.439351e+00	-1.682685e-05	-1.773650e-01
1.024301208623147e-02	3.439906e+00	-1.683329e-05	-1.317161e-01
1.025301208623148e-02	3.437387e+00	-1.684519e-05	-9.657626e-02
1.026301208623148e-02	3.432122e+00	-1.686325e-05	-6.965642e-02
1.027301208623147e-02	3.424405e+00	-1.688668e-05	-4.904063e-02
1.028301208623147e-02	3.414696e+00	-1.691667e-05	-3.306898e-02
1.028928324022500e-02	3.407688e+00	-1.693926e-05	-2.473032e-02
1.029362981515335e-02	3.402432e+00	-1.695885e-05	-1.934708e-02
1.029660792755035e-02	3.398708e+00	-1.697516e-05	-1.569297e-02
1.029899928496360e-02	3.395676e+00	-1.698887e-05	-1.295748e-02
1.030143353435099e-02	3.392563e+00	-1.700227e-05	-1.037705e-02
1.030630203312576e-02	3.386272e+00	-1.702885e-05	-5.869253e-03
1.031551661142308e-02	3.374265e+00	-1.707326e-05	-4.393196e-04
1.032551661142309e-02	3.361181e+00	-1.710155e-05	-1.903511e-05
1.032908873104414e-02	3.356508e+00	-1.709622e-05	-1.928735e-05
1.033122887443834e-02	3.353712e+00	-1.708490e-05	-1.677231e-05
1.033352145112041e-02	3.350719e+00	-1.706544e-05	-1.750211e-05
1.033420840389528e-02	3.349823e+00	-1.705892e-05	-1.594274e-05
1.033488269821790e-02	3.348944e+00	-1.705189e-05	-1.726301e-05
1.033559518286746e-02	3.348015e+00	-1.704469e-05	-1.576732e-05
1.033629114003428e-02	3.347107e+00	-1.703717e-05	-1.713384e-05
1.033702402677889e-02	3.346153e+00	-1.702957e-05	-1.567828e-05
1.033770405211073e-02	3.345267e+00	-1.702213e-05	-1.707033e-05
1.033838727719519e-02	3.344377e+00	-1.701502e-05	-1.563774e-05
1.033905189028983e-02	3.343511e+00	-1.700775e-05	-1.703942e-05
1.033972872805005e-02	3.342630e+00	-1.700127e-05	-1.575823e-05
1.034037425687593e-02	3.341790e+00	-1.699613e-05	-1.742459e-05
1.034105572399657e-02	3.340903e+00	-1.699206e-05	-1.611624e-05
1.034171464579209e-02	3.340048e+00	-1.698848e-05	-1.774813e-05
1.034241150840512e-02	3.339144e+00	-1.698555e-05	-1.641553e-05
1.034315022329543e-02	3.338187e+00	-1.698250e-05	-1.803318e-05
1.034409326349036e-02	3.336967e+00	-1.697937e-05	-1.671956e-05
1.034507409810002e-02	3.335703e+00	-1.697610e-05	-1.834285e-05
1.034650182012094e-02	3.333870e+00	-1.697213e-05	-1.706311e-05
1.034807880916828e-02	3.331857e+00	-1.696775e-05	-1.871372e-05
1.035082591347368e-02	3.328384e+00	-1.696135e-05	-1.750950e-05
1.035438074409884e-02	3.323968e+00	-1.695389e-05	-1.923338e-05
1.036149040534916e-02	3.315362e+00	-1.694380e-05	-1.814761e-05
1.036805259296778e-02	3.307726e+00	-1.693797e-05	-1.980115e-05
1.037805259296778e-02	3.296689e+00	-1.693675e-05	-1.859618e-05
1.038786950531640e-02	3.286502e+00	-1.694096e-05	-2.014913e-05
1.039786950531640e-02	3.276928e+00	-1.695061e-05	-1.881274e-05
1.040786950531640e-02	3.268237e+00	-1.694398e-05	-1.940313e-05
1.041183787373264e-02	3.265235e+00	-1.687969e-05	-1.297165e-05
1.041485633855791e-02	3.263299e+00	-1.682843e-05	-1.670736e-05
1.041744466428146e-02	3.261849e+00	-1.678121e-05	-1.149526e-05
1.041951911246423e-02	3.260822e+00	-1.674170e-05	-1.574979e-05
1.042171861963506e-02	3.259861e+00	-1.669878e-05	-1.079418e-05
1.042449760546561e-02	3.258808e+00	-1.664270e-05	-1.506748e-05
1.042779830952459e-02	3.257798e+00	-1.657473e-05	-1.011410e-05
1.043439971764255e-02	3.256314e+00	-1.643435e-05	-1.422180e-05
1.044036394632532e-02	3.255480e+00	-1.630540e-05	-9.309083e-06
1.044793490708678e-02	3.255057e+00	-1.613954e-05	-1.360893e-05
1.045606172089232e-02	3.255176e+00	-1.596147e-05	-8.768593e-06
1.046606172089232e-02	3.255880e+00	-1.574312e-05	-1.313849e-05
1.047321091659647e-02	3.256664e+00	-1.559063e-05	-8.442653e-06
1.048009234804990e-02	3.257605e+00	-1.544699e-05	-1.297124e-05
1.048441852264661e-02	3.258271e+00	-1.535787e-05	-8.320304e-06
1.048977455104764e-02	3.259177e+00	-1.524854e-05	-1.287210e-05
1.049977455104764e-02	3.260999e+00	-1.504865e-05	-8.176054e-06
1.050977455104764e-02	3.262935e+00	-1.485347e-05	-1.269940e-05
1.051977455104764e-02	3.264956e+00	-1.466360e-05	-8.019550e-06
1.052977455104764e-02	3.267020e+00	-1.447837e-05	-1.255508e-05
1.053977455104764e-02	3.269096e+00	-1.429285e-05	-7.878682e-06
1.054977455104764e-02	3.271163e+00	-1.410346e-05	-1.240726e-05
1.055977455104764e-02	3.273205e+00	-1.391437e-05	-7.725091e-06
1.056977455104764e-02	3.275204e+00	-1.372665e-05	-1.225234e-05
1.057977455104764e-02	3.277145e+00	-1.354235e-05	-7.572072e-06
1.058977455104764e-02	3.279013e+00	-1.336170e-05	-1.210249e-05
1.059977455104764e-02	3.280797e+00	-1.318589e-05	-7.427075e-06
1.060977455104764e-02	3.282489e+00	-1.301462e-05	-1.196235e-05
1.061977455104764e-02	3.284083e+00	-1.284875e-05	-7.292714e-06
1.062977455104764e-02	3.285577e+00	-1.268773e-05	-1.183330e-05
1.063977455104764e-02	3.286969e+00	-1.253222e-05	-7.169568e-06
1.064977455104764e-02	3.288260e+00	-1.238156e-05	-1.171540e-05
1.065977455104764e-02	3.289454e+00	-1.223632e-05	-7.057370e-06
1.066977455104764e-02	3.290554e+00	-1.209576e-05	-1.160817e-05
1.067977455104764e-02	3.291563e+00	-1.196040e-05	-6.955507e-06
1.068977455104764e-02	3.292486e+00	-1.182948e-05	-1.151092e-05
1.069977455104764e-02	3.293329e+00	-1.170349e-05	-6.863242e-06
1.070977455104764e-02	3.294096e+00	-1.158164e-05	-1.142288e-05
1.071977455104764e-02	3.294792e+00	-1.146442e-05	-6.779807e-06
1.072977455104764e-02	3.295421e+00	-1.135104e-05	-1.134329e-05
1.073977455104764e-02	3.295989e+00	-1.124199e-05	-6.704447e-06
1.074977455104764e-02	3.296500e+00	-1.113649e-05	-1.127142e-05
1.075977455104764e-02	3.296957e+00	-1.103503e-05	-6.636436e-06
1.076977455104764e-02	3.297363e+00	-1.093683e-05	-1.120654e-05
1.077977455104764e-02	3.297722e+00	-1.084238e-05	-6.575085e-06
1.078977455104764e-02	3.298035e+00	-1.075083e-05	-1.114481e-05
1.079977455104764e-02	3.298302e+00	-1.066282e-05	-6.520450e-06
1.080977455104764e-02	3.298529e+00	-1.057759e-05	-1.109374e-05
1.081977455104764e-02	3.298720e+00	-1.049564e-05	-6.472116e-06
1.082977455104764e-02	3.298881e+00	-1.041623e-05	-1.104746e-05
1.083977455104764e-02	3.299016e+00	-1.033987e-05	-6.428309e-06
1.084977455104764e-02	3.299129e+00	-1.026583e-05	-1.100547e-05
1.085977455104764e-02	3.299223e+00	-1.019464e-05	-6.388579e-06
1.086977455104764e-02	3.299302e+00	-1.012555e-05	-1.096735e-05
1.087977455104764e-02	3.299367e+00	-1.005912e-05	-6.352536e-06
1.088977455104764e-02	3.299422e+00	-9.994613e-06	-1.093274e-05
1.089977455104764e-02	3.299467e+00	-9.932576e-06	-6.319829e-06
1.090977455104764e-02	3.299505e+00	-9.872300e-06	-1.090131e-05
