I(Vcell11),I(Vcell12),I(Vcell13),I(Vcell14),I(Vcell15),I(Vcell21),I(Vcell22),I(Vcell23),I(Vcell24),I(Vcell25),I(Vcell31),I(Vcell32),I(Vcell33),I(Vcell34),I(Vcell35),I(Vcell41),I(Vcell42),I(Vcell43),I(Vcell44),I(Vcell45),I(Vcell51),I(Vcell52),I(Vcell53),I(Vcell54),I(Vcell55),I_RL_mA,V_out_diff,t
-3.332247,-3.332247,-3.332247,-3.332247,-3.332247,-3.3144426,-3.3144426,-3.3144426,-3.3144426,-3.3144426,-3.283908,-3.2839081,-3.283908,-3.2839077,-3.283908,-3.2847955,-3.2847955,-3.2847955,-3.2847955,-3.2847955,-3.2732568,-3.2732568,-3.2732568,-3.2732568,-3.2732568,16.291946,16.291643,5.073243164907833e-05
-3.2909873,-3.2909873,-3.2909873,-3.2909873,-3.2909873,-3.2732635,-3.2732635,-3.2732635,-3.2732635,-3.2732635,-3.2434874,-3.2434876,-3.2434874,-3.2434871,-3.2434874,-3.24431,-3.24431,-3.24431,-3.24431,-3.24431,-3.2329586,-3.2329586,-3.2329586,-3.2329586,-3.2329586,16.092607,16.091055,5.66459705978967e-05
-3.2231696,-3.2231696,-3.2231696,-3.2231696,-3.2231696,-3.2055757,-3.205576,-3.2055757,-3.2055757,-3.2055757,-3.1768346,-3.1768348,-3.1768348,-3.1768346,-3.1768348,-3.1777294,-3.1777294,-3.1777294,-3.1777294,-3.1777294,-3.166684,-3.166684,-3.166684,-3.166684,-3.166684,15.761442,15.761128,6.66459705978967e-05
-3.2148452,-3.2148452,-3.2148452,-3.2148452,-3.2148452,-3.1972616,-3.1972616,-3.1972616,-3.1972616,-3.1972616,-3.1687045,-3.1687047,-3.1687047,-3.1687045,-3.1687047,-3.1695569,-3.1695569,-3.1695569,-3.1695569,-3.1695569,-3.1585493,-3.1585493,-3.1585493,-3.1585493,-3.1585493,15.720528,15.720618,6.78959705978967e-05
-3.1980588,-3.1980588,-3.1980588,-3.1980588,-3.1980588,-3.1804187,-3.180419,-3.1804187,-3.1804187,-3.1804187,-3.1522253,-3.1522255,-3.1522253,-3.152225,-3.1522253,-3.1530807,-3.1530807,-3.1530807,-3.1530807,-3.1530807,-3.1421509,-3.1421509,-3.1421509,-3.1421509,-3.1421509,15.63875,15.639007,7.03959705978967e-05
-3.1937053,-3.1937053,-3.1937053,-3.1937053,-3.1937053,-3.175967,-3.175967,-3.175967,-3.175967,-3.175967,-3.1479564,-3.1479566,-3.1479564,-3.1479561,-3.1479564,-3.148811,-3.148811,-3.148811,-3.148811,-3.148811,-3.1379027,-3.1379027,-3.1379027,-3.1379027,-3.1379027,15.615631,15.617624,7.10209705978967e-05
-3.182094,-3.182094,-3.182094,-3.182094,-3.182094,-3.1619399,-3.1619403,-3.1619399,-3.16194,-3.1619399,-3.1365852,-3.1365852,-3.1365852,-3.136585,-3.1365852,-3.1374795,-3.1374795,-3.1374795,-3.1374795,-3.1374795,-3.126657,-3.126657,-3.126657,-3.126657,-3.126657,15.558602,15.561745,7.22709705978967e-05
-3.1546931,-3.1546931,-3.1546931,-3.1546931,-3.1546931,-3.135168,-3.1351686,-3.1351683,-3.1351683,-3.135168,-3.109778,-3.1097782,-3.109778,-3.109778,-3.109778,-3.1107433,-3.1107433,-3.1107433,-3.1107433,-3.1107433,-3.1001005,-3.1001005,-3.1001005,-3.1001005,-3.1001005,15.4306965,15.4304085,7.477097059789671e-05
-3.1022444,-3.1022444,-3.1022444,-3.1022444,-3.1022444,-3.0824783,-3.0824788,-3.0824783,-3.0824785,-3.0824783,-3.0584435,-3.0584438,-3.0584435,-3.0584433,-3.0584435,-3.059426,-3.059426,-3.059426,-3.059426,-3.059426,-3.0490248,-3.0490248,-3.0490248,-3.0490248,-3.0490248,15.178449,15.176137,7.967083528281029e-05
-3.0118008,-3.0118008,-3.0118008,-3.0118008,-3.0118008,-2.9930618,-2.993062,-2.9930618,-2.9930618,-2.9930618,-2.969883,-2.9698832,-2.9698832,-2.969883,-2.9698832,-2.970846,-2.970846,-2.970846,-2.970846,-2.970846,-2.9608464,-2.9608464,-2.9608464,-2.9608464,-2.9608464,14.74202,14.737363,8.841818790870198e-05
-2.9128225,-2.9128225,-2.9128225,-2.9128225,-2.9128225,-2.8940933,-2.8940938,-2.8940935,-2.8940935,-2.8940933,-2.8729422,-2.8729424,-2.8729424,-2.872942,-2.8729422,-2.873886,-2.873886,-2.873886,-2.873886,-2.873886,-2.864329,-2.864329,-2.864329,-2.864329,-2.864329,14.257578,14.25693,9.841818790870198e-05
-2.8975325,-2.8975325,-2.8975325,-2.8975325,-2.8975325,-2.879423,-2.8794234,-2.8794231,-2.8794231,-2.879423,-2.8579586,-2.8579588,-2.8579588,-2.8579586,-2.8579586,-2.8589091,-2.8589091,-2.8589091,-2.8589091,-2.8589091,-2.8494213,-2.8494213,-2.8494213,-2.8494213,-2.8494213,14.18253,14.18253,0.00010000000099999939
-2.8975353,-2.8975353,-2.8975353,-2.8975353,-2.8975353,-2.8794298,-2.87943,-2.8794298,-2.8794298,-2.8794298,-2.85748,-2.8574803,-2.85748,-2.8574798,-2.85748,-2.8589118,-2.8589118,-2.8589118,-2.8589118,-2.8589118,-2.849424,-2.849424,-2.849424,-2.849424,-2.849424,14.18253,14.18253,0.0001000000019999994
-2.8975348,-2.8975348,-2.8975348,-2.8975348,-2.8975348,-2.8794224,-2.879423,-2.8794227,-2.8794227,-2.8794224,-2.8545115,-2.8545115,-2.8545115,-2.8545113,-2.8545115,-2.8589113,-2.8589113,-2.8589113,-2.8589113,-2.8589113,-2.8494234,-2.8494234,-2.8494234,-2.8494234,-2.8494234,14.182528,14.1825285,0.00010000001799999939
-2.8975337,-2.8975337,-2.8975337,-2.8975337,-2.8975337,-2.8794365,-2.879437,-2.8794365,-2.8794367,-2.8794365,-2.8571026,-2.8571029,-2.8571029,-2.8571026,-2.8571029,-2.8589103,-2.8589103,-2.8589103,-2.8589103,-2.8589103,-2.8494222,-2.8494222,-2.8494222,-2.8494222,-2.8494222,14.182524,14.182523,0.0001000000499999994
-2.897533,-2.897533,-2.897533,-2.897533,-2.897533,-2.879422,-2.8794224,-2.8794222,-2.8794222,-2.879422,-2.858546,-2.8585463,-2.8585463,-2.858546,-2.8585463,-2.8589094,-2.8589094,-2.8589094,-2.8589094,-2.8589094,-2.8494215,-2.8494215,-2.8494215,-2.8494215,-2.8494215,14.182519,14.182519,0.0001000001139999994
-2.8975317,-2.8975317,-2.8975317,-2.8975317,-2.8975317,-2.8794324,-2.879433,-2.8794324,-2.8794327,-2.8794324,-2.8579664,-2.8579667,-2.8579664,-2.8579662,-2.8579664,-2.8589082,-2.8589082,-2.8589082,-2.8589082,-2.8589082,-2.8494203,-2.8494203,-2.8494203,-2.8494203,-2.8494203,14.182513,14.182513,0.00010000024199999939
-2.8975291,-2.8975291,-2.8975291,-2.8975291,-2.8975291,-2.8794148,-2.879415,-2.8794148,-2.8794148,-2.8794148,-2.858281,-2.8582811,-2.8582811,-2.858281,-2.858281,-2.8589058,-2.8589058,-2.8589058,-2.8589058,-2.8589058,-2.849418,-2.849418,-2.849418,-2.849418,-2.849418,14.182502,14.182502,0.0001000004979999994
-2.8975244,-2.8975244,-2.8975244,-2.8975244,-2.8975244,-2.879412,-2.8794124,-2.879412,-2.8794122,-2.879412,-2.857907,-2.857907,-2.857907,-2.8579068,-2.857907,-2.8589013,-2.8589013,-2.8589013,-2.8589013,-2.8589013,-2.8494132,-2.8494132,-2.8494132,-2.8494132,-2.8494132,14.182477,14.182477,0.0001000010099999994
-2.8975146,-2.8975146,-2.8975146,-2.8975146,-2.8975146,-2.8793626,-2.879363,-2.8793626,-2.8793628,-2.8793626,-2.858077,-2.8580773,-2.8580773,-2.858077,-2.858077,-2.8588915,-2.8588915,-2.8588915,-2.8588915,-2.8588915,-2.8494036,-2.8494036,-2.8494036,-2.8494036,-2.8494036,14.182429,14.18243,0.0001000020339999994
-2.8974953,-2.8974953,-2.8974953,-2.8974953,-2.8974953,-2.8792922,-2.8792927,-2.8792922,-2.8792925,-2.8792922,-2.8577466,-2.8577468,-2.8577466,-2.8577464,-2.8577466,-2.8588722,-2.8588722,-2.8588722,-2.8588722,-2.8588722,-2.8493848,-2.8493848,-2.8493848,-2.8493848,-2.8493848,14.182335,14.182335,0.0001000040819999994
-2.897456,-2.897456,-2.897456,-2.897456,-2.897456,-2.8791478,-2.879148,-2.8791478,-2.8791478,-2.8791478,-2.8579724,-2.8579724,-2.8579724,-2.8579721,-2.8579724,-2.8588338,-2.8588338,-2.8588338,-2.8588338,-2.8588338,-2.8493462,-2.8493462,-2.8493462,-2.8493462,-2.8493462,14.182145,14.182145,0.0001000081779999994
-2.897377,-2.897377,-2.897377,-2.897377,-2.897377,-2.8790126,-2.8790128,-2.8790126,-2.8790126,-2.8790126,-2.8576896,-2.8576899,-2.8576899,-2.8576894,-2.8576896,-2.8587568,-2.8587568,-2.8587568,-2.8587568,-2.8587568,-2.8492696,-2.8492696,-2.8492696,-2.8492696,-2.8492696,14.181763,14.181763,0.00010001636999999942
-2.8972192,-2.8972192,-2.8972192,-2.8972192,-2.8972192,-2.8788362,-2.8788366,-2.8788362,-2.8788364,-2.8788362,-2.8577795,-2.8577797,-2.8577797,-2.8577795,-2.8577795,-2.8586023,-2.8586023,-2.8586023,-2.8586023,-2.8586023,-2.8491158,-2.8491158,-2.8491158,-2.8491158,-2.8491158,14.180998,14.180997,0.00010003275399999943
