I(Vcell11),I(Vcell12),I(Vcell13),I(Vcell14),I(Vcell15),I(Vcell21),I(Vcell22),I(Vcell23),I(Vcell24),I(Vcell25),I(Vcell31),I(Vcell32),I(Vcell33),I(Vcell34),I(Vcell35),I(Vcell41),I(Vcell42),I(Vcell43),I(Vcell44),I(Vcell45),I(Vcell51),I(Vcell52),I(Vcell53),I(Vcell54),I(Vcell55),I_RL_mA,V_out_diff,t
-3.4153206,-3.4153206,-3.4153206,-3.4153206,-3.4153206,-3.4144118,-3.4144118,-3.4144118,-3.4144118,-3.4144118,-3.3855383,-3.3855383,-3.3855383,-3.3855383,-3.3855383,-3.3486269,-3.3486269,-3.3486269,-3.3486269,-3.3486269,-3.2949727,-3.2949739,-3.2949746,-3.2949746,-3.2949748,16.475754,16.476902,2.6863832759186245e-05
-3.414247,-3.414247,-3.414247,-3.414247,-3.414247,-3.4133375,-3.4133375,-3.4133375,-3.4133375,-3.4133375,-3.384465,-3.384465,-3.384465,-3.384465,-3.384465,-3.3475566,-3.3475566,-3.3475566,-3.3475566,-3.3475566,-3.293505,-3.2935061,-3.2935069,-3.2935069,-3.293507,16.471636,16.471577,2.6951202917086552e-05
-3.4120917,-3.4120917,-3.4120917,-3.4120917,-3.4120917,-3.411181,-3.411181,-3.411181,-3.411181,-3.411181,-3.3823097,-3.3823097,-3.3823097,-3.3823097,-3.3823097,-3.345407,-3.345407,-3.345407,-3.345407,-3.345407,-3.2916124,-3.2916136,-3.291614,-3.2916143,-3.2916145,16.461185,16.461226,2.712594323288717e-05
-3.407792,-3.407792,-3.407792,-3.407792,-3.407792,-3.4068797,-3.4068797,-3.4068797,-3.4068797,-3.4068797,-3.3780136,-3.3780136,-3.3780136,-3.3780136,-3.3780136,-3.3411252,-3.341125,-3.341125,-3.341125,-3.341125,-3.286791,-3.2867923,-3.286793,-3.2867932,-3.2867932,16.440289,16.440308,2.74754238644884e-05
-3.3991902,-3.3991902,-3.3991902,-3.3991902,-3.3991902,-3.3982751,-3.3982751,-3.3982751,-3.3982751,-3.3982751,-3.3694177,-3.3694177,-3.3694177,-3.3694177,-3.3694177,-3.3325558,-3.3325558,-3.3325558,-3.3325558,-3.3325558,-3.2788396,-3.2788408,-3.2788415,-3.2788415,-3.2788417,16.398447,16.398426,2.8174385127690865e-05
-3.3820632,-3.3820632,-3.3820632,-3.3820632,-3.3820632,-3.381145,-3.381145,-3.381145,-3.381145,-3.381145,-3.3523092,-3.3523092,-3.3523092,-3.3523092,-3.3523092,-3.3155022,-3.315502,-3.315502,-3.315502,-3.315502,-3.2615633,-3.2615645,-3.2615652,-3.2615652,-3.2615654,16.315012,16.31495,2.957230765409579e-05
-3.3479867,-3.3479867,-3.3479867,-3.3479867,-3.3479867,-3.3470669,-3.3470669,-3.3470669,-3.3470669,-3.3470669,-3.318275,-3.318275,-3.318275,-3.318275,-3.318275,-3.281555,-3.2815547,-3.2815547,-3.2815547,-3.2815547,-3.2287514,-3.2287526,-3.228753,-3.2287533,-3.2287533,16.148552,16.148607,3.2368152706905646e-05
-3.339451,-3.339451,-3.339451,-3.339451,-3.339451,-3.338531,-3.338531,-3.338531,-3.338531,-3.338531,-3.3097548,-3.3097548,-3.3097548,-3.3097548,-3.3097548,-3.2730155,-3.2730153,-3.2730155,-3.2730155,-3.2730153,-3.220165,-3.220166,-3.2201667,-3.2201667,-3.220167,16.103584,16.106705,3.3067113970108104e-05
-3.3182507,-3.3182507,-3.3182507,-3.3182507,-3.3182507,-3.317327,-3.317327,-3.317327,-3.317327,-3.317327,-3.2885606,-3.2885606,-3.2885606,-3.2885606,-3.2885606,-3.248693,-3.2486918,-3.2486918,-3.248692,-3.2486918,-3.1994534,-3.1994545,-3.1994553,-3.1994553,-3.1994555,16.000984,16.00341,3.4465036496513036e-05
-3.3140929,-3.3140929,-3.3140929,-3.3140929,-3.3140929,-3.313167,-3.313167,-3.313167,-3.313167,-3.313167,-3.284406,-3.284406,-3.284406,-3.284406,-3.284406,-3.242779,-3.2427778,-3.2427778,-3.242778,-3.2427778,-3.1954048,-3.195406,-3.1954067,-3.1954067,-3.195407,15.983324,15.983337,3.465898986207015e-05
-3.3057556,-3.3057556,-3.3057556,-3.3057556,-3.3057556,-3.304826,-3.304826,-3.304826,-3.304826,-3.304826,-3.2760644,-3.2760644,-3.2760644,-3.2760644,-3.2760644,-3.2343454,-3.2343442,-3.2343445,-3.2343445,-3.2343442,-3.18727,-3.187271,-3.1872718,-3.1872718,-3.187272,15.942812,15.942804,3.50468965931844e-05
-3.289132,-3.289132,-3.289132,-3.289132,-3.289132,-3.2881973,-3.2881973,-3.2881973,-3.2881973,-3.2881973,-3.2594411,-3.2594411,-3.2594411,-3.259441,-3.2594411,-3.2178602,-3.217859,-3.2178593,-3.2178593,-3.217859,-3.1710534,-3.1710546,-3.1710553,-3.1710553,-3.1710556,15.862001,15.8619,3.582271005541288e-05
-3.2561069,-3.2561069,-3.2561069,-3.2561069,-3.2561069,-3.2551663,-3.2551663,-3.2551663,-3.2551663,-3.2551663,-3.226418,-3.226418,-3.226418,-3.226418,-3.226418,-3.1849873,-3.184986,-3.1849864,-3.1849864,-3.184986,-3.138823,-3.1388242,-3.1388247,-3.138825,-3.138825,15.70154,15.701032,3.737433697986985e-05
-3.1909063,-3.1909063,-3.1909063,-3.1909063,-3.1909063,-3.1899624,-3.1899624,-3.1899624,-3.1899624,-3.1899624,-3.1612403,-3.1612403,-3.1612403,-3.1612403,-3.1612403,-3.1203518,-3.1203506,-3.1203508,-3.1203508,-3.1203506,-3.075173,-3.075174,-3.0751746,-3.0751746,-3.0751748,15.385042,15.383092,4.047759082878379e-05
