I(Vcell11),I(Vcell12),I(Vcell13),I(Vcell14),I(Vcell15),I(Vcell21),I(Vcell22),I(Vcell23),I(Vcell24),I(Vcell25),I(Vcell31),I(Vcell32),I(Vcell33),I(Vcell34),I(Vcell35),I(Vcell41),I(Vcell42),I(Vcell43),I(Vcell44),I(Vcell45),I(Vcell51),I(Vcell52),I(Vcell53),I(Vcell54),I(Vcell55),I_RL_mA,V_out_diff,t
-3.3748605,-3.3748605,-3.3748605,-3.3748605,-3.3748605,-3.3579035,-3.3579035,-3.3579035,-3.3579035,-3.3579035,-3.3304114,-3.3304114,-3.3304114,-3.3304114,-3.3304114,-3.3268452,-3.3268452,-3.3268452,-3.3268452,-3.3268452,-3.3150032,-3.3150032,-3.3150032,-3.3150032,-3.3150032,16.49905,16.499151,3.2470068172701926e-05
-3.3739555,-3.3739555,-3.3739555,-3.3739555,-3.3739555,-3.357201,-3.357201,-3.357201,-3.357201,-3.357201,-3.330058,-3.330058,-3.330058,-3.330058,-3.330058,-3.3266883,-3.3266883,-3.3266883,-3.3266883,-3.3266883,-3.314844,-3.314844,-3.314844,-3.314844,-3.314844,16.498055,16.498312,4.2470068172701925e-05
-3.3737183,-3.3737183,-3.3737183,-3.3737183,-3.3737183,-3.356993,-3.356993,-3.356993,-3.356993,-3.356993,-3.3298578,-3.3298578,-3.3298578,-3.3298578,-3.3298578,-3.3265374,-3.3265374,-3.3265374,-3.3265374,-3.3265374,-3.314696,-3.314696,-3.314696,-3.314696,-3.314696,16.49755,16.49761,4.372006817270192e-05
-3.3736236,-3.3736236,-3.3736236,-3.3736236,-3.3736236,-3.3569028,-3.3569028,-3.3569028,-3.3569028,-3.3569028,-3.3297164,-3.3297164,-3.3297164,-3.3297164,-3.3297164,-3.3264663,-3.3264663,-3.3264663,-3.3264663,-3.3264663,-3.314625,-3.314625,-3.314625,-3.314625,-3.314625,16.497164,16.497261,4.403256817270192e-05
-3.3733006,-3.3733006,-3.3733006,-3.3733006,-3.3733006,-3.356591,-3.356591,-3.356591,-3.356591,-3.356591,-3.329199,-3.329199,-3.329199,-3.329199,-3.329199,-3.3261929,-3.3261929,-3.3261929,-3.3261929,-3.3261929,-3.3143518,-3.3143518,-3.3143518,-3.3143518,-3.3143518,16.49581,16.495922,4.4657568172701924e-05
-3.3731549,-3.3731549,-3.3731549,-3.3731549,-3.3731549,-3.3564494,-3.3564494,-3.3564494,-3.3564494,-3.3564494,-3.3289561,-3.3289561,-3.3289561,-3.3289561,-3.3289561,-3.326061,-3.326061,-3.326061,-3.326061,-3.326061,-3.3142219,-3.3142219,-3.3142219,-3.3142219,-3.3142219,16.495087,16.495266,4.4813818172701924e-05
-3.3726068,-3.3726068,-3.3726068,-3.3726068,-3.3726068,-3.3559058,-3.3559058,-3.3559058,-3.3559058,-3.3559058,-3.327575,-3.327575,-3.327575,-3.327575,-3.327575,-3.325546,-3.325546,-3.325546,-3.325546,-3.325546,-3.313715,-3.313715,-3.313715,-3.313715,-3.313715,16.490385,16.492573,4.5126318172701925e-05
-3.368507,-3.368507,-3.368507,-3.368507,-3.368507,-3.3518112,-3.3518112,-3.3518112,-3.3518112,-3.3518112,-3.3192792,-3.3192792,-3.3192792,-3.319279,-3.3192792,-3.3215728,-3.3215728,-3.3215728,-3.3215728,-3.3215728,-3.3098085,-3.3098085,-3.3098085,-3.3098085,-3.3098085,16.472624,16.473446,4.575131817270192e-05
-3.3600173,-3.3600173,-3.3600173,-3.3600173,-3.3600173,-3.3433323,-3.3433323,-3.3433323,-3.3433323,-3.3433323,-3.3142197,-3.31422,-3.3142197,-3.3142197,-3.3142197,-3.313306,-3.313306,-3.313306,-3.313306,-3.313306,-3.3016403,-3.3016403,-3.3016403,-3.3016403,-3.3016403,16.43293,16.433033,4.691874524943351e-05
-3.350172,-3.350172,-3.350172,-3.350172,-3.350172,-3.3335066,-3.3335066,-3.3335066,-3.3335066,-3.3335066,-3.3012505,-3.3012505,-3.3012502,-3.3012502,-3.3012505,-3.303686,-3.303686,-3.303686,-3.303686,-3.303686,-3.2920933,-3.2920933,-3.2920933,-3.2920933,-3.2920933,16.385418,16.385523,4.829828692965738e-05
