time	V(out_positive,out_negative)
2.386870658748990e-02	3.190803e+00
2.387870658748990e-02	3.190801e+00
2.388870658748990e-02	3.190803e+00
2.389870658748990e-02	3.190801e+00
2.390870658748991e-02	3.190803e+00
2.391870658748991e-02	3.190801e+00
2.392870658748990e-02	3.190803e+00
2.393870658748990e-02	3.190801e+00
2.394870658748990e-02	3.190803e+00
2.395870658748990e-02	3.190801e+00
2.396870658748990e-02	3.190803e+00
2.397870658748990e-02	3.190801e+00
2.398870658748990e-02	3.190803e+00
2.399870658748991e-02	3.190801e+00
2.400870658748991e-02	3.190803e+00
2.401870658748990e-02	3.190801e+00
2.402870658748990e-02	3.190803e+00
2.403870658748990e-02	3.190801e+00
2.404870658748990e-02	3.190803e+00
2.405870658748990e-02	3.190801e+00
2.406870658748990e-02	3.190803e+00
2.407870658748991e-02	3.190801e+00
2.408870658748991e-02	3.190803e+00
2.409870658748990e-02	3.190801e+00
2.410870658748990e-02	3.190803e+00
2.411870658748990e-02	3.190801e+00
2.412870658748990e-02	3.190803e+00
2.413870658748990e-02	3.190801e+00
2.414870658748990e-02	3.190803e+00
2.415870658748990e-02	3.190801e+00
2.416870658748991e-02	3.190803e+00
2.417870658748991e-02	3.190801e+00
2.418870658748990e-02	3.190803e+00
2.419870658748990e-02	3.190801e+00
2.420870658748990e-02	3.190803e+00
2.421870658748990e-02	3.190801e+00
2.422870658748990e-02	3.190803e+00
2.423870658748990e-02	3.190801e+00
2.424870658748991e-02	3.190803e+00
2.425870658748991e-02	3.190801e+00
2.426870658748990e-02	3.190803e+00
2.427870658748990e-02	3.190801e+00
2.428870658748990e-02	3.190803e+00
2.429870658748990e-02	3.190801e+00
2.430870658748990e-02	3.190803e+00
2.431870658748990e-02	3.190801e+00
2.432870658748990e-02	3.190803e+00
2.433870658748991e-02	3.190801e+00
2.434870658748991e-02	3.190803e+00
2.435870658748990e-02	3.190801e+00
2.436870658748990e-02	3.190803e+00
2.437870658748990e-02	3.190801e+00
2.438870658748990e-02	3.190803e+00
2.439870658748990e-02	3.190801e+00
2.440870658748990e-02	3.190803e+00
2.441870658748990e-02	3.190801e+00
2.442870658748991e-02	3.190803e+00
