config_id,t_s,Icell11_mA,Icell12_mA,Icell21_mA,Icell22_mA,I_RL_mA,V_out_diff_V,E_out_mJ
3.0,3.149923625863808e-05,-0.029068405,-0.029068405,0.081117935,0.081117935,6.427244,6.427244,0.0013449548023748298
3.0,3.160321077536824e-05,-0.02426257,-0.02426257,0.085134156,0.085134156,6.4265537,6.4265532,0.0013490801383838772
3.0,3.1699007540405857e-05,-0.028581465,-0.028581465,0.08061927,0.08061927,6.425917,6.425917,0.0013534657286409315
3.0,3.1815627063036166e-05,-0.024124729,-0.024124729,0.08426359,0.08426359,6.425143,6.425143,0.0013580440987966903
3.0,3.192081458123575e-05,-0.028161624,-0.028161624,0.07995676,0.07995676,6.424444,6.424444,0.00136277540891153
3.0,3.2044893403993126e-05,-0.023998773,-0.023998773,0.08330347,0.08330347,6.4236207,6.4236207,0.0013678515781084801
3.0,3.2166854918275234e-05,-0.027775262,-0.027775262,0.079153284,0.079153284,6.422811,6.4228115,0.001373216847053202
3.0,3.2305011859358334e-05,-0.023845287,-0.023845287,0.082227215,0.082227215,6.421894,6.4218946,0.0013790745483155062
3.0,3.2450928519723256e-05,-0.027393108,-0.027393108,0.0781747,0.0781747,6.4209266,6.4209266,0.0013855504430149007
3.0,3.261915990806145e-05,-0.023630982,-0.023630982,0.08096257,0.08096257,6.419811,6.419811,0.0013928921328983262
3.0,3.280720042320439e-05,-0.026978074,-0.026978074,0.076903656,0.076903656,6.418564,6.418564,0.0014014688651347454
3.0,3.303552671843735e-05,-0.023307359,-0.023307359,0.07934367,0.07934367,6.4170504,6.4170504,0.001411850138588195
3.0,3.331140841819641e-05,-0.026461031,-0.026461031,0.07507668,0.07507668,6.415223,6.4152226,0.0014249982565921625
3.0,3.367448144368281e-05,-0.02277073,-0.02277073,0.076958075,0.076958075,6.412819,6.4128184,0.0014425862144645508
3.0,3.4166765573278374e-05,-0.025672114,-0.025672114,0.0720203,0.0720203,6.4095616,6.4095607,0.00146777439491305
3.0,3.4900706506484936e-05,-0.021740874,-0.021740874,0.07265466,0.07265466,6.4047112,6.404709,0.0015069953940357692
3.0,3.6079037702357835e-05,-0.024103913,-0.024103913,0.0657256,0.0657256,6.396938,6.396931,0.001574627651483656
3.0,3.820622860232593e-05,-0.019316223,-0.019316223,0.06292103,0.06292103,6.382949,6.3829265,0.0017004399344792294
3.0,4.2255102726836783e-05,-0.020190362,-0.020190362,0.05124044,0.05124044,6.356437,6.3563976,0.0018630249695879696
3.0,4.625418710567452e-05,-0.01453098,-0.01453098,0.04851171,0.04851171,6.330411,6.330352,0.002083771359519558
3.0,5.327211510116799e-05,-0.009497197,-0.009497197,0.038032662,0.038032662,6.2850227,6.2849708,0.0023341909465421284
3.0,5.8933279024826146e-05,0.01505059,0.01505059,0.03637832,0.03637832,6.2484784,6.248553,0.0025719269468562522
3.0,6.544998194923426e-05,0.09816066,0.09816066,0.028281435,0.028281435,6.205716,6.206312,0.0028259960408692215
3.0,7.212666675517881e-05,0.4378307,0.4378307,0.026226979,0.026226979,6.1591816,6.160629,0.003045508121889259
3.0,7.7020168531906e-05,1.1775243,1.1775243,0.018851839,0.018851839,6.1200924,6.1221447,0.003206479582571035
