Save Time:,7/14/2026 12:59,,,
,,CH1,CH2,
Frequency:,,?,0.693 Hz,
Period:,,?,1.444 S,
SP:,,1000.000 uS,1000.000 uS,
PK-PK:,,6.400 V,3.920 V,
,,,,
Units:(mV),tiempo,buspos,busneg,out
1569,1569000.000us,5840,2800,3040
1570,1570000.000us,5920,2800,3120
1571,1571000.000us,5840,2800,3040
1572,1572000.000us,5840,2800,3040
1573,1573000.000us,5840,2800,3040
1574,1574000.000us,5920,2800,3120
1575,1575000.000us,5840,2720,3120
1576,1576000.000us,5840,2800,3040
1577,1577000.000us,5920,2800,3120
1578,1578000.000us,5920,2800,3120
1579,1579000.000us,5840,2720,3120
1580,1580000.000us,5920,2800,3120
1581,1581000.000us,5920,2720,3200
1582,1582000.000us,5920,2800,3120
1583,1583000.000us,5840,2720,3120
1584,1584000.000us,5920,2800,3120
1585,1585000.000us,5840,2800,3040
1586,1586000.000us,5920,2800,3120
1587,1587000.000us,5760,2720,3040
1588,1588000.000us,5920,2800,3120
1589,1589000.000us,5920,2800,3120
1590,1590000.000us,5920,2880,3040
1591,1591000.000us,5840,2720,3120
1592,1592000.000us,5840,2720,3120
1593,1593000.000us,5840,2800,3040
1594,1594000.000us,5920,2880,3040
1595,1595000.000us,5840,2800,3040
1596,1596000.000us,5920,2800,3120
1597,1597000.000us,5840,2800,3040
1598,1598000.000us,5920,2800,3120
1599,1599000.000us,5840,2720,3120
1600,1600000.000us,5920,2800,3120
1601,1601000.000us,5920,2720,3200
1602,1602000.000us,5920,2800,3120
1603,1603000.000us,5840,2720,3120
1604,1604000.000us,5840,2720,3120
1605,1605000.000us,5920,2720,3200
1606,1606000.000us,5920,2800,3120
1607,1607000.000us,5840,2720,3120
1608,1608000.000us,5840,2720,3120
1609,1609000.000us,5840,2800,3040
1610,1610000.000us,5920,2800,3120
1611,1611000.000us,5840,2720,3120
1612,1612000.000us,5840,2720,3120
1613,1613000.000us,5920,2800,3120
1614,1614000.000us,5920,2800,3120
1615,1615000.000us,5760,2720,3040
1616,1616000.000us,5840,2800,3040
1617,1617000.000us,5840,2800,3040
1618,1618000.000us,5920,2800,3120
1619,1619000.000us,5840,2720,3120
1620,1620000.000us,5920,2720,3200
1621,1621000.000us,5920,2800,3120
1622,1622000.000us,5920,2800,3120
1623,1623000.000us,5760,2720,3040
1624,1624000.000us,5920,2720,3200
1625,1625000.000us,5920,2720,3200
1626,1626000.000us,5920,2800,3120
1627,1627000.000us,5760,2720,3040
1628,1628000.000us,5920,2720,3200
1629,1629000.000us,5920,2800,3120
1630,1630000.000us,5920,2800,3120
1631,1631000.000us,5840,2720,3120
1632,1632000.000us,5840,2720,3120
1633,1633000.000us,5840,2720,3120
1634,1634000.000us,5920,2800,3120
1635,1635000.000us,5840,2720,3120
1636,1636000.000us,5840,2800,3040
1637,1637000.000us,5920,2720,3200
1638,1638000.000us,5920,2880,3040
1639,1639000.000us,5760,2720,3040
1640,1640000.000us,5920,2800,3120
1641,1641000.000us,5760,2800,2960
1642,1642000.000us,5920,2800,3120
1643,1643000.000us,5760,2720,3040
1644,1644000.000us,5840,2800,3040
1645,1645000.000us,5840,2720,3120
1646,1646000.000us,5920,2800,3120
1647,1647000.000us,5760,2720,3040
1648,1648000.000us,5840,2800,3040
1649,1649000.000us,5840,2800,3040
1650,1650000.000us,5920,2800,3120
1651,1651000.000us,5840,2720,3120
1652,1652000.000us,5920,2800,3120
1653,1653000.000us,5840,2800,3040
1654,1654000.000us,5920,2800,3120
1655,1655000.000us,5840,2720,3120
1656,1656000.000us,5840,2800,3040
1657,1657000.000us,5760,2800,2960
1658,1658000.000us,5920,2800,3120
1659,1659000.000us,5760,2640,3120
1660,1660000.000us,5840,2800,3040
1661,1661000.000us,5840,2720,3120
1662,1662000.000us,5920,2880,3040
1663,1663000.000us,5840,2720,3120
1664,1664000.000us,5920,2800,3120
1665,1665000.000us,5840,2720,3120
1666,1666000.000us,5920,2800,3120
1667,1667000.000us,5760,2720,3040
1668,1668000.000us,5840,2720,3120
1669,1669000.000us,5840,2720,3120
1670,1670000.000us,5920,2800,3120
1671,1671000.000us,5840,2720,3120
1672,1672000.000us,5840,2800,3040
1673,1673000.000us,5840,2800,3040
1674,1674000.000us,5920,2800,3120
1675,1675000.000us,5840,2720,3120
1676,1676000.000us,5840,2720,3120
1677,1677000.000us,5840,2800,3040
1678,1678000.000us,5920,2800,3120
1679,1679000.000us,5840,2720,3120
1680,1680000.000us,5920,2800,3120
1681,1681000.000us,5920,2720,3200
1682,1682000.000us,5920,2800,3120
1683,1683000.000us,5840,2640,3200
1684,1684000.000us,5840,2800,3040
1685,1685000.000us,5760,2800,2960
1686,1686000.000us,5920,2800,3120
1687,1687000.000us,5760,2720,3040
1688,1688000.000us,5920,2720,3200
1689,1689000.000us,5760,2800,2960
1690,1690000.000us,5920,2880,3040
1691,1691000.000us,5760,2720,3040
1692,1692000.000us,5840,2800,3040
1693,1693000.000us,5760,2720,3040
1694,1694000.000us,5920,2800,3120
1695,1695000.000us,5760,2720,3040
1696,1696000.000us,5840,2800,3040
1697,1697000.000us,5920,2720,3200
1698,1698000.000us,5920,2880,3040
1699,1699000.000us,5840,2720,3120
1700,1700000.000us,5840,2800,3040
1701,1701000.000us,5760,2720,3040
1702,1702000.000us,5920,2880,3040
1703,1703000.000us,5760,2720,3040
1704,1704000.000us,5920,2800,3120
1705,1705000.000us,5840,2720,3120
1706,1706000.000us,5920,2800,3120
1707,1707000.000us,5840,2720,3120
1708,1708000.000us,5920,2800,3120
1709,1709000.000us,5920,2800,3120
1710,1710000.000us,5920,2800,3120
1711,1711000.000us,5840,2720,3120
1712,1712000.000us,5840,2800,3040
1713,1713000.000us,5920,2720,3200
1714,1714000.000us,5920,2800,3120
1715,1715000.000us,5760,2720,3040
1716,1716000.000us,5920,2720,3200
1717,1717000.000us,5840,2720,3120
1718,1718000.000us,5920,2880,3040
1719,1719000.000us,5840,2720,3120
1720,1720000.000us,5840,2720,3120
1721,1721000.000us,5840,2720,3120
1722,1722000.000us,5920,2800,3120
1723,1723000.000us,5840,2720,3120
1724,1724000.000us,5840,2800,3040
1725,1725000.000us,5840,2720,3120
1726,1726000.000us,5920,2800,3120
1727,1727000.000us,5840,2720,3120
1728,1728000.000us,5920,2800,3120
1729,1729000.000us,5760,2720,3040
1730,1730000.000us,5920,2880,3040
1731,1731000.000us,5760,2720,3040
1732,1732000.000us,5840,2720,3120
1733,1733000.000us,5840,2720,3120
1734,1734000.000us,5920,2800,3120
1735,1735000.000us,5840,2720,3120
1736,1736000.000us,5920,2800,3120
1737,1737000.000us,5920,2800,3120
1738,1738000.000us,5920,2800,3120
