config_id,t_s,Icell11_mA,Icell12_mA,Icell21_mA,Icell22_mA,I_RL_mA,V_out_diff_V,E_out_mJ
2.0,0.00015703738129797083,13.643721,13.643721,-310.15,-310.15,4.320211,4.321594,0.005559300991844497
2.0,0.00015772992648948797,16.557749,16.557749,-301.95825,-301.95825,4.296631,4.297649,0.005572483482325975
2.0,0.0001584651847961193,19.390465,19.390465,-291.7738,-291.7738,4.2677393,4.2680326,0.005581243763475197
2.0,0.0001586918099271196,19.997698,19.997698,-288.59064,-288.59064,4.258073,4.258132,0.005585272288956956
2.0,0.0001589095539358205,20.473629,20.473629,-285.54755,-285.54755,4.248338,4.248384,0.005591200648055975
2.0,0.00015934874374734948,21.126297,21.126297,-279.53003,-279.53003,4.228186,4.228212,0.0055990968256804125
2.0,0.000159792910485632,21.452885,21.452885,-273.63733,-273.63733,4.207383,4.2073927,0.005608510283572575
2.0,0.0001604122842915849,21.579067,21.579067,-265.69504,-265.69504,4.1780944,4.1780944,0.005637447874384646
2.0,0.00016310831017746712,21.088623,21.088623,-233.3297,-233.3297,4.05179,4.051736,0.0056817079450032955
2.0,0.00016580433606334932,20.403027,20.403027,-203.71463,-203.71463,3.9293594,3.9290679,0.005718752857913702
2.0,0.00016790727197533675,19.89724,19.89724,-182.34305,-182.34305,3.8371332,3.8360798,0.005762565968562497
2.0,0.00017175738689862645,18.984392,18.984392,-146.98843,-146.98843,3.6742914,3.671798,0.005822454565903327
2.0,0.0001767854076735368,17.796791,17.796791,-107.73205,-107.73205,3.471404,3.4687252,0.005862128350951549
2.0,0.00017834697936105744,14.670682,14.670682,-94.787796,-94.787796,3.4158137,3.412612,0.005878407907973641
2.0,0.0001795785398524229,8.626949,8.626949,-80.19119,-80.19119,3.3807847,3.3797517,0.005887793028997697
2.0,0.00017998971451082412,7.8954678,7.8954678,-74.42799,-74.42799,3.3717127,3.3715453,0.005892700975342983
