Save Time: 2026-02-13 12:59:23,,,,,,
Units:(mV),,,,,,
,,CH2,,,CH1,
Frequency:,,?,,,1.000 Hz,
Period:,,?,,,1000.000 mS,
SP:,,2000.000 uS,,,2000.000 uS,
PK-PK:,,3.400 V,,,3.520 V,
,,CH1,ch2,,,math
405,,3440,3280,,808000,-160
406,,3440,3360,,810000,-80
407,,3440,3320,,812000,-120
408,,3440,3320,,814000,-120
409,,3440,3320,,816000,-120
410,,3440,3320,,818000,-120
411,,3440,3360,,820000,-80
412,,3520,3320,,822000,-200
413,,3360,3320,,824000,-40
414,,3360,3320,,826000,-40
415,,3440,3320,,828000,-120
416,,3440,3320,,830000,-120
417,,3440,3320,,832000,-120
418,,3360,3320,,834000,-40
419,,3440,3320,,836000,-120
420,,3360,3320,,838000,-40
421,,3440,3320,,840000,-120
422,,3360,3320,,842000,-40
423,,3360,3320,,844000,-40
424,,3440,3320,,846000,-120
425,,3440,3320,,848000,-120
426,,3440,3320,,850000,-120
427,,3440,3320,,852000,-120
428,,3440,3320,,854000,-120
429,,3360,3320,,856000,-40
430,,3440,3320,,858000,-120
431,,3360,3360,,860000,0
432,,3360,3320,,862000,-40
433,,3440,3320,,864000,-120
434,,3440,3320,,866000,-120
435,,3360,3320,,868000,-40
436,,3360,3360,,870000,0
437,,3360,3320,,872000,-40
438,,3440,3320,,874000,-120
439,,3360,3320,,876000,-40
440,,3440,3320,,878000,-120
441,,3440,3320,,880000,-120
442,,3440,3320,,882000,-120
443,,3360,3320,,884000,-40
444,,3360,3320,,886000,-40
445,,3440,3320,,888000,-120
446,,3440,3320,,890000,-120
447,,3360,3320,,892000,-40
448,,3440,3320,,894000,-120
449,,3440,3320,,896000,-120
450,,3360,3320,,898000,-40
451,,3440,3360,,900000,-80
452,,3440,3320,,902000,-120
453,,3440,3360,,904000,-80
454,,3440,3320,,906000,-120
455,,3360,3320,,908000,-40
456,,3360,3320,,910000,-40
457,,3440,3360,,912000,-80
458,,3360,3360,,914000,0
459,,3360,3360,,916000,0
460,,3440,3360,,918000,-80
461,,3360,3320,,920000,-40
462,,3360,3320,,922000,-40
463,,3440,3320,,924000,-120
464,,3360,3320,,926000,-40
465,,3360,3360,,928000,0
466,,3440,3360,,930000,-80
467,,3440,3320,,932000,-120
468,,3440,3320,,934000,-120
469,,3360,3320,,936000,-40
470,,3440,3320,,938000,-120
471,,3440,3320,,940000,-120
472,,3360,3280,,942000,-80
473,,3440,3320,,944000,-120
474,,3440,3320,,946000,-120
475,,3440,3320,,948000,-120
476,,3440,3320,,950000,-120
477,,3360,3360,,952000,0
478,,3440,3320,,954000,-120
479,,3360,3320,,956000,-40
480,,3360,3360,,958000,0
481,,3440,3360,,960000,-80
482,,3360,3320,,962000,-40
483,,3360,3320,,964000,-40
484,,3440,3320,,966000,-120
485,,3360,3360,,968000,0
486,,3440,3320,,970000,-120
487,,3360,3320,,972000,-40
488,,3360,3320,,974000,-40
489,,3440,3320,,976000,-120
490,,3440,3320,,978000,-120
491,,3440,3360,,980000,-80
492,,3360,3320,,982000,-40
493,,3360,3360,,984000,0
494,,3440,3320,,986000,-120
495,,3440,3320,,988000,-120
496,,3360,3320,,990000,-40
497,,3440,3320,,992000,-120
498,,3440,3320,,994000,-120
499,,3360,3320,,996000,-40
500,,3360,3360,,998000,0
501,,3360,3320,,1000000,-40
502,,3440,3320,,1002000,-120
503,,3360,3320,,1004000,-40
504,,3360,3320,,1006000,-40
505,,3440,3320,,1008000,-120
506,,3440,3360,,1010000,-80
507,,3360,3320,,1012000,-40
508,,3440,3360,,1014000,-80
509,,3360,3320,,1016000,-40
510,,3440,3360,,1018000,-80
511,,3360,3320,,1020000,-40
512,,3440,3320,,1022000,-120
513,,3440,3360,,1024000,-80
514,,3440,3360,,1026000,-80
515,,3360,3360,,1028000,0
516,,3440,3360,,1030000,-80
517,,3360,3320,,1032000,-40
518,,3360,3360,,1034000,0
519,,3440,3320,,1036000,-120
520,,3360,3320,,1038000,-40
521,,3360,3320,,1040000,-40
522,,3440,3320,,1042000,-120
523,,3440,3360,,1044000,-80
524,,3440,3320,,1046000,-120
525,,3440,3320,,1048000,-120
526,,3440,3320,,1050000,-120
527,,3440,3320,,1052000,-120
528,,3440,3320,,1054000,-120
529,,3360,3320,,1056000,-40
530,,3360,3320,,1058000,-40
531,,3360,3320,,1060000,-40
532,,3440,3360,,1062000,-80
533,,3360,3320,,1064000,-40
534,,3360,3320,,1066000,-40
535,,3360,3320,,1068000,-40
536,,3440,3320,,1070000,-120
537,,3360,3360,,1072000,0
538,,3360,3360,,1074000,0
539,,3440,3320,,1076000,-120
540,,3440,3360,,1078000,-80
541,,3360,3280,,1080000,-80
542,,3440,3320,,1082000,-120
543,,3440,3320,,1084000,-120
544,,3360,3360,,1086000,0
545,,3360,3320,,1088000,-40
546,,3440,3320,,1090000,-120
547,,3360,3320,,1092000,-40
548,,3440,3320,,1094000,-120
549,,3360,3280,,1096000,-80
550,,3440,3320,,1098000,-120
551,,3440,3280,,1100000,-160
552,,3360,3320,,1102000,-40
553,,3440,3320,,1104000,-120
554,,3440,3320,,1106000,-120
555,,3440,3320,,1108000,-120
556,,3360,3320,,1110000,-40
557,,3440,3320,,1112000,-120
558,,3360,3360,,1114000,0
559,,3440,3360,,1116000,-80
560,,3440,3320,,1118000,-120
561,,3440,3320,,1120000,-120
562,,3360,3320,,1122000,-40
563,,3360,3320,,1124000,-40
564,,3440,3360,,1126000,-80
565,,3440,3360,,1128000,-80
566,,3440,3280,,1130000,-160
567,,3360,3320,,1132000,-40
568,,3440,3320,,1134000,-120
569,,3360,3320,,1136000,-40
570,,80,3320,,1138000,3240
571,,0,3320,,1140000,3320
572,,80,3320,,1142000,3240
573,,80,3320,,1144000,3240
574,,80,3360,,1146000,3280
575,,80,3320,,1148000,3240
576,,80,3320,,1150000,3240
577,,80,3280,,1152000,3200
578,,80,3320,,1154000,3240
579,,80,3320,,1156000,3240
580,,80,3320,,1158000,3240
581,,80,3320,,1160000,3240
582,,80,3320,,1162000,3240
583,,80,3320,,1164000,3240
584,,80,3320,,1166000,3240
585,,80,3320,,1168000,3240
586,,80,3320,,1170000,3240
587,,80,3320,,1172000,3240
588,,80,3320,,1174000,3240
589,,80,3320,,1176000,3240
590,,80,3320,,1178000,3240
591,,160,3280,,1180000,3120
592,,80,3320,,1182000,3240
593,,80,3320,,1184000,3240
594,,80,3320,,1186000,3240
595,,80,3320,,1188000,3240
596,,0,3320,,1190000,3320
597,,80,3320,,1192000,3240
598,,80,3320,,1194000,3240
599,,80,3280,,1196000,3200
600,,80,3320,,1198000,3240
601,,80,3320,,1200000,3240
602,,80,3360,,1202000,3280
603,,80,3320,,1204000,3240
604,,80,3320,,1206000,3240
605,,0,3320,,1208000,3320
606,,0,3320,,1210000,3320
607,,80,3320,,1212000,3240
608,,0,3320,,1214000,3320
609,,80,3360,,1216000,3280
610,,80,3320,,1218000,3240
611,,80,3280,,1220000,3200
612,,80,3280,,1222000,3200
613,,80,3320,,1224000,3240
614,,80,3320,,1226000,3240
615,,80,3280,,1228000,3200
616,,80,3320,,1230000,3240
617,,80,3320,,1232000,3240
618,,80,3320,,1234000,3240
619,,80,3320,,1236000,3240
620,,0,3320,,1238000,3320
621,,80,3320,,1240000,3240
622,,80,3320,,1242000,3240
623,,80,3280,,1244000,3200
624,,160,3280,,1246000,3120
625,,160,3320,,1248000,3160
626,,80,3320,,1250000,3240
627,,160,3320,,1252000,3160
628,,0,3320,,1254000,3320
629,,160,3280,,1256000,3120
630,,80,3280,,1258000,3200
631,,160,3280,,1260000,3120
632,,80,3320,,1262000,3240
633,,80,3280,,1264000,3200
634,,80,3280,,1266000,3200
635,,80,3320,,1268000,3240
636,,0,3320,,1270000,3320
637,,80,3320,,1272000,3240
638,,80,3320,,1274000,3240
639,,80,3320,,1276000,3240
640,,80,3320,,1278000,3240
641,,80,3320,,1280000,3240
642,,80,3280,,1282000,3200
643,,0,3320,,1284000,3320
644,,160,3360,,1286000,3200
645,,80,3320,,1288000,3240
646,,80,3320,,1290000,3240
647,,80,3360,,1292000,3280
648,,80,3320,,1294000,3240
649,,80,3320,,1296000,3240
650,,160,3320,,1298000,3160
651,,80,3320,,1300000,3240
652,,80,3280,,1302000,3200
653,,80,3280,,1304000,3200
654,,80,3320,,1306000,3240
655,,160,3320,,1308000,3160
656,,160,3320,,1310000,3160
657,,160,3320,,1312000,3160
658,,80,3320,,1314000,3240
659,,80,3360,,1316000,3280
660,,80,3320,,1318000,3240
661,,160,3280,,1320000,3120
662,,160,3360,,1322000,3200
663,,80,3280,,1324000,3200
664,,80,3280,,1326000,3200
665,,80,3320,,1328000,3240
666,,80,3320,,1330000,3240
667,,80,3320,,1332000,3240
668,,80,3320,,1334000,3240
669,,80,3360,,1336000,3280
670,,160,3320,,1338000,3160
671,,80,3320,,1340000,3240
672,,80,3320,,1342000,3240
673,,80,3320,,1344000,3240
674,,80,3280,,1346000,3200
675,,80,3320,,1348000,3240
676,,80,3320,,1350000,3240
677,,80,3320,,1352000,3240
678,,80,3280,,1354000,3200
679,,160,3320,,1356000,3160
680,,160,3320,,1358000,3160
681,,160,3280,,1360000,3120
682,,160,3320,,1362000,3160
683,,80,3280,,1364000,3200
684,,80,3280,,1366000,3200
685,,80,3320,,1368000,3240
686,,160,3320,,1370000,3160
687,,80,3280,,1372000,3200
688,,80,3320,,1374000,3240
689,,80,3320,,1376000,3240
690,,80,3360,,1378000,3280
691,,80,3320,,1380000,3240
692,,80,3320,,1382000,3240
693,,80,3280,,1384000,3200
694,,80,3320,,1386000,3240
695,,0,3320,,1388000,3320
696,,80,3320,,1390000,3240
697,,80,3280,,1392000,3200
698,,80,3320,,1394000,3240
699,,80,3320,,1396000,3240
700,,80,3320,,1398000,3240
701,,80,3320,,1400000,3240
