Save Time: 2026-07-14 15:22:35,,,
Units:(mV),,,
,CH1,CH2,
Frequency:,2.845 Hz,1.420 Hz,
Period:,351.500 mS,704.000 mS,
SP:,1000.000 uS,1000.000 uS,
PK-PK:,3.600 V,3.360 V,
,,,
427,426000,80,3200
428,427000,80,3280
429,428000,160,3280
430,429000,160,3280
431,430000,0,3200
432,431000,160,3280
433,432000,80,3200
434,433000,160,3280
435,434000,0,3200
436,435000,0,3280
437,436000,80,3280
438,437000,160,3280
439,438000,80,3200
440,439000,80,3280
441,440000,80,3200
442,441000,80,3280
443,442000,0,3200
444,443000,80,3200
445,444000,80,3280
446,445000,160,3280
447,446000,80,3200
448,447000,160,3200
449,448000,80,3280
450,449000,160,3280
451,450000,0,3200
452,451000,80,3280
453,452000,80,3200
454,453000,160,3280
455,454000,0,3200
456,455000,80,3280
457,456000,80,3280
458,457000,160,3280
459,458000,80,3200
460,459000,80,3200
461,460000,80,3200
462,461000,160,3280
463,462000,80,3200
464,463000,80,3280
465,464000,160,3280
466,465000,160,3280
467,466000,80,3200
468,467000,80,3280
469,468000,80,3280
470,469000,160,3360
471,470000,80,3200
472,471000,160,3280
473,472000,80,3280
474,473000,160,3280
475,474000,80,3200
476,475000,80,3200
477,476000,80,3280
478,477000,160,3280
479,478000,80,3200
480,479000,80,3280
481,480000,160,3280
482,481000,160,3280
483,482000,80,3200
484,483000,80,3280
485,484000,80,3280
486,485000,160,3280
487,486000,0,3200
488,487000,80,3280
489,488000,0,3280
490,489000,160,3280
491,490000,0,3120
492,491000,80,3280
493,492000,80,3280
494,493000,80,3280
495,494000,0,3200
496,495000,80,3280
497,496000,0,3280
498,497000,80,3280
499,498000,0,3200
500,499000,80,3280
501,500000,0,3280
502,501000,160,3280
503,502000,0,3200
504,503000,80,3280
505,504000,160,3200
506,505000,160,3280
507,506000,0,3200
508,507000,80,3280
509,508000,80,3280
510,509000,80,3280
511,510000,80,3200
512,511000,80,3200
513,512000,80,3280
514,513000,80,3280
515,514000,0,3200
516,515000,80,3200
517,516000,80,3200
518,517000,160,3280
519,518000,0,3200
520,519000,0,3200
521,520000,80,3280
522,521000,160,3280
523,522000,80,3200
524,523000,160,3280
525,524000,160,3200
526,525000,160,3280
527,526000,80,3200
528,527000,80,3200
529,528000,80,3280
530,529000,160,3280
531,530000,80,3200
532,531000,80,3280
533,532000,80,3200
534,533000,80,3280
535,534000,80,3200
536,535000,80,3280
537,536000,80,3280
538,537000,160,3280
539,538000,80,3200
540,539000,80,3200
541,540000,80,3200
542,541000,80,3280
543,542000,80,3200
544,543000,80,3280
545,544000,80,3280
546,545000,160,3280
547,546000,0,3200
548,547000,80,3280
549,548000,80,3280
550,549000,80,3280
551,550000,0,3200
552,551000,80,3200
553,552000,80,3200
554,553000,160,3280
555,554000,0,3200
556,555000,80,3280
557,556000,80,3280
558,557000,160,3280
559,558000,0,3200
560,559000,80,3280
561,560000,0,3280
562,561000,160,3280
563,562000,0,3200
564,563000,80,3200
565,564000,80,3280
566,565000,80,3280
567,566000,80,3200
568,567000,80,3280
569,568000,80,3200
570,569000,80,3280
571,570000,80,3200
572,571000,80,3200
573,572000,80,3200
574,573000,80,3280
575,574000,0,3200
576,575000,0,3280
577,576000,80,3280
578,577000,160,3280
579,578000,80,3200
580,579000,80,3280
581,580000,160,3200
582,581000,160,3280
583,582000,0,3200
584,583000,80,3280
585,584000,80,3200
586,585000,160,3280
587,586000,0,3200
588,587000,80,3280
589,588000,80,3280
590,589000,160,3280
591,590000,80,3200
592,591000,80,3200
593,592000,160,3280
594,593000,160,3280
595,594000,80,3200
596,595000,80,3280
597,596000,80,3280
598,597000,80,3360
599,598000,0,3200
600,599000,80,3200
601,600000,80,3280
602,601000,80,3280
603,602000,0,3200
604,603000,0,3280
605,604000,80,3280
606,605000,160,3280
607,606000,80,3200
608,607000,80,3200
609,608000,80,3280
610,609000,160,3280
611,610000,0,3200
612,611000,80,3200
613,612000,80,3280
614,613000,160,3280
615,614000,80,3200
616,615000,80,3280
617,616000,80,3200
618,617000,80,3280
619,618000,80,3200
620,619000,80,3280
621,620000,80,3280
622,621000,80,3280
623,622000,0,3200
624,623000,80,3200
625,624000,80,3280
626,625000,160,3280
627,626000,0,3200
628,627000,80,3200
629,628000,80,3200
630,629000,160,3280
631,630000,80,3200
632,631000,80,3280
633,632000,80,3280
634,633000,160,3280
635,634000,0,3200
636,635000,80,3280
637,636000,80,3200
638,637000,80,3280
639,638000,80,3200
640,639000,80,3280
641,640000,160,3200
642,641000,160,3280
643,642000,0,3200
644,643000,80,3200
645,644000,80,3200
646,645000,160,3280
647,646000,0,3200
648,647000,80,3280
649,648000,0,3280
650,649000,160,3280
651,650000,0,3200
652,651000,80,3200
653,652000,80,3200
654,653000,160,3280
655,654000,0,3200
656,655000,80,3200
657,656000,80,3200
658,657000,80,3280
659,658000,80,3200
660,659000,80,3200
661,660000,80,3280
662,661000,160,3280
663,662000,80,3200
664,663000,80,3280
