Save Time: 2026-07-14 15:23:55,,,
Units:(mV),,,
,CH1,CH2,
Frequency:,2.845 Hz,1.423 Hz,
Period:,351.500 mS,702.667 mS,
SP:,1000.000 uS,1000.000 uS,
PK-PK:,3.600 V,3.440 V,
,,,
561,560000,80,3120
562,561000,80,3200
563,562000,160,3280
564,563000,0,3200
565,564000,80,3200
566,565000,80,3200
567,566000,160,3280
568,567000,0,3200
569,568000,0,3200
570,569000,80,3280
571,570000,160,3280
572,571000,0,3200
573,572000,0,3200
574,573000,0,3280
575,574000,160,3280
576,575000,0,3200
577,576000,80,3280
578,577000,160,3280
579,578000,160,3280
580,579000,0,3200
581,580000,0,3280
582,581000,80,3280
583,582000,80,3280
584,583000,80,3200
585,584000,80,3280
586,585000,80,3200
587,586000,160,3280
588,587000,0,3200
589,588000,0,3200
590,589000,0,3120
591,590000,160,3280
592,591000,0,3120
593,592000,80,3280
594,593000,80,3280
595,594000,160,3280
596,595000,0,3200
597,596000,0,3280
598,597000,80,3200
599,598000,160,3280
600,599000,80,3200
601,600000,80,3280
602,601000,160,3200
603,602000,160,3280
604,603000,80,3200
605,604000,80,3280
606,605000,80,3200
607,606000,80,3280
608,607000,0,3200
609,608000,80,3280
610,609000,80,3200
611,610000,240,3280
612,611000,80,3200
613,612000,80,3200
614,613000,80,3280
615,614000,160,3280
616,615000,80,3200
617,616000,80,3200
618,617000,80,3200
619,618000,160,3280
620,619000,0,3200
621,620000,80,3200
622,621000,80,3200
623,622000,160,3280
624,623000,80,3200
625,624000,80,3280
626,625000,80,3280
627,626000,80,3280
628,627000,0,3200
629,628000,80,3200
630,629000,80,3200
631,630000,160,3280
632,631000,80,3200
633,632000,80,3280
634,633000,80,3280
635,634000,80,3280
636,635000,0,3200
637,636000,80,3280
638,637000,160,3200
639,638000,160,3280
640,639000,80,3200
641,640000,160,3280
642,641000,80,3200
643,642000,160,3280
644,643000,0,3200
645,644000,80,3200
646,645000,80,3200
647,646000,160,3360
648,647000,80,3200
649,648000,80,3280
650,649000,80,3200
651,650000,160,3280
652,651000,80,3200
653,652000,80,3200
654,653000,80,3280
655,654000,160,3280
656,655000,0,3120
657,656000,80,3280
658,657000,80,3280
659,658000,160,3280
660,659000,80,3120
661,660000,80,3200
662,661000,80,3200
663,662000,80,3280
664,663000,0,3200
665,664000,80,3200
666,665000,80,3200
667,666000,80,3280
668,667000,0,3200
669,668000,0,3280
670,669000,80,3200
671,670000,160,3280
672,671000,0,3200
673,672000,80,3200
674,673000,80,3200
675,674000,80,3280
676,675000,0,3200
677,676000,80,3280
678,677000,80,3280
679,678000,80,3280
680,679000,0,3200
681,680000,80,3200
682,681000,80,3200
683,682000,160,3280
684,683000,80,3200
685,684000,160,3200
686,685000,80,3280
687,686000,160,3280
688,687000,0,3200
689,688000,0,3280
690,689000,80,3280
691,690000,80,3280
692,691000,80,3200
693,692000,80,3200
