Save Time:,7/14/2026 14:49,,
,,CH1,CH2
Frequency:,,2.845 Hz,2.845 Hz
Period:,,351.500 mS,351.500 mS
SP:,,1000.000 uS,1000.000 uS
PK-PK:,,3.600 V,3.520 V
,,,
Units:(mV),,,
2014,2014000.000us,80,80
2015,2015000.000us,0,0
2016,2016000.000us,80,0
2017,2017000.000us,80,80
2018,2018000.000us,80,80
2019,2019000.000us,80,0
2020,2020000.000us,80,0
2021,2021000.000us,80,80
2022,2022000.000us,80,80
2023,2023000.000us,80,0
2024,2024000.000us,80,80
2025,2025000.000us,80,0
2026,2026000.000us,160,80
2027,2027000.000us,0,0
2028,2028000.000us,80,80
2029,2029000.000us,80,0
2030,2030000.000us,160,80
2031,2031000.000us,0,0
2032,2032000.000us,0,80
2033,2033000.000us,80,0
2034,2034000.000us,160,80
2035,2035000.000us,0,0
2036,2036000.000us,80,80
2037,2037000.000us,0,80
2038,2038000.000us,80,80
2039,2039000.000us,0,0
2040,2040000.000us,80,0
2041,2041000.000us,80,0
2042,2042000.000us,80,80
2043,2043000.000us,0,0
2044,2044000.000us,80,80
2045,2045000.000us,80,80
2046,2046000.000us,80,80
2047,2047000.000us,0,0
2048,2048000.000us,0,80
2049,2049000.000us,80,80
2050,2050000.000us,80,80
2051,2051000.000us,0,-80
2052,2052000.000us,80,-80
2053,2053000.000us,0,0
2054,2054000.000us,80,80
2055,2055000.000us,0,0
2056,2056000.000us,80,80
2057,2057000.000us,80,80
2058,2058000.000us,80,80
2059,2059000.000us,0,0
2060,2060000.000us,80,80
2061,2061000.000us,80,80
2062,2062000.000us,80,80
2063,2063000.000us,80,-80
2064,2064000.000us,80,0
2065,2065000.000us,80,80
2066,2066000.000us,80,80
2067,2067000.000us,0,0
2068,2068000.000us,80,80
2069,2069000.000us,80,0
2070,2070000.000us,80,80
2071,2071000.000us,0,0
2072,2072000.000us,80,0
2073,2073000.000us,80,0
2074,2074000.000us,80,80
2075,2075000.000us,0,0
2076,2076000.000us,80,0
2077,2077000.000us,80,80
2078,2078000.000us,80,80
2079,2079000.000us,0,0
2080,2080000.000us,80,80
2081,2081000.000us,80,0
2082,2082000.000us,160,80
2083,2083000.000us,80,0
2084,2084000.000us,80,80
2085,2085000.000us,80,80
2086,2086000.000us,160,80
2087,2087000.000us,0,0
2088,2088000.000us,0,80
2089,2089000.000us,80,0
2090,2090000.000us,80,80
2091,2091000.000us,80,0
2092,2092000.000us,80,0
2093,2093000.000us,80,0
2094,2094000.000us,80,80
2095,2095000.000us,0,-80
2096,2096000.000us,0,80
2097,2097000.000us,80,0
2098,2098000.000us,160,80
2099,2099000.000us,80,0
2100,2100000.000us,80,80
2101,2101000.000us,80,0
2102,2102000.000us,160,80
2103,2103000.000us,0,-80
2104,2104000.000us,160,0
2105,2105000.000us,80,0
2106,2106000.000us,80,80
2107,2107000.000us,0,0
2108,2108000.000us,80,80
2109,2109000.000us,160,80
2110,2110000.000us,160,80
2111,2111000.000us,0,0
2112,2112000.000us,80,80
2113,2113000.000us,0,0
2114,2114000.000us,160,80
2115,2115000.000us,0,-80
2116,2116000.000us,80,80
2117,2117000.000us,80,80
2118,2118000.000us,160,80
2119,2119000.000us,0,0
2120,2120000.000us,80,0
2121,2121000.000us,80,0
2122,2122000.000us,160,80
2123,2123000.000us,80,0
2124,2124000.000us,80,80
2125,2125000.000us,80,0
2126,2126000.000us,80,3440
2127,2127000.000us,0,0
2128,2128000.000us,80,3440
2129,2129000.000us,80,3360
2130,2130000.000us,160,3440
2131,2131000.000us,0,0
2132,2132000.000us,80,80
2133,2133000.000us,80,0
2134,2134000.000us,160,80
2135,2135000.000us,0,0
2136,2136000.000us,0,80
2137,2137000.000us,80,80
2138,2138000.000us,80,80
2139,2139000.000us,0,-80
2140,2140000.000us,80,80
2141,2141000.000us,80,80
2142,2142000.000us,160,80
2143,2143000.000us,80,0
2144,2144000.000us,160,0
2145,2145000.000us,80,80
2146,2146000.000us,160,80
2147,2147000.000us,80,0
2148,2148000.000us,160,80
2149,2149000.000us,80,0
2150,2150000.000us,160,80
2151,2151000.000us,0,0
2152,2152000.000us,80,0
2153,2153000.000us,80,0
2154,2154000.000us,80,80
2155,2155000.000us,80,0
2156,2156000.000us,80,0
2157,2157000.000us,80,80
2158,2158000.000us,160,80
2159,2159000.000us,80,0
2160,2160000.000us,80,0
2161,2161000.000us,80,0
2162,2162000.000us,160,80
2163,2163000.000us,0,0
2164,2164000.000us,0,0
2165,2165000.000us,80,0
2166,2166000.000us,80,80
2167,2167000.000us,0,0
2168,2168000.000us,80,0
2169,2169000.000us,0,0
2170,2170000.000us,80,80
2171,2171000.000us,0,0
2172,2172000.000us,80,80
2173,2173000.000us,3440,0
2174,2174000.000us,3520,80
2175,2175000.000us,3360,0
2176,2176000.000us,3440,80
2177,2177000.000us,3440,80
2178,2178000.000us,3520,80
2179,2179000.000us,3440,0
2180,2180000.000us,3440,80
2181,2181000.000us,3520,3360
2182,2182000.000us,3520,3440
2183,2183000.000us,3360,0
2184,2184000.000us,3440,0
2185,2185000.000us,3440,80
2186,2186000.000us,3520,80
2187,2187000.000us,3440,-80
2188,2188000.000us,3440,0
2189,2189000.000us,3440,80
2190,2190000.000us,3440,80
2191,2191000.000us,3360,0
2192,2192000.000us,3440,80
2193,2193000.000us,3440,80
2194,2194000.000us,3520,80
2195,2195000.000us,3440,0
2196,2196000.000us,3520,0
2197,2197000.000us,3440,0
2198,2198000.000us,3520,80
2199,2199000.000us,3360,0
2200,2200000.000us,3440,80
2201,2201000.000us,3520,80
2202,2202000.000us,3520,80
2203,2203000.000us,3360,0
2204,2204000.000us,3520,0
2205,2205000.000us,3440,0
2206,2206000.000us,3520,80
2207,2207000.000us,3360,0
2208,2208000.000us,3520,0
2209,2209000.000us,3440,0
2210,2210000.000us,3520,80
2211,2211000.000us,3360,0
2212,2212000.000us,3440,80
2213,2213000.000us,3440,80
2214,2214000.000us,3440,80
2215,2215000.000us,3360,0
2216,2216000.000us,3440,80
2217,2217000.000us,3440,0
2218,2218000.000us,3520,80
2219,2219000.000us,3440,0
2220,2220000.000us,3440,80
2221,2221000.000us,3440,80
2222,2222000.000us,3520,80
2223,2223000.000us,3440,0
2224,2224000.000us,3440,80
2225,2225000.000us,3520,0
2226,2226000.000us,3520,80
2227,2227000.000us,3440,0
2228,2228000.000us,3440,0
2229,2229000.000us,3520,0
2230,2230000.000us,3520,80
2231,2231000.000us,3440,0
2232,2232000.000us,3440,80
2233,2233000.000us,3440,80
2234,2234000.000us,3520,80
2235,2235000.000us,3440,0
2236,2236000.000us,3440,80
2237,2237000.000us,3440,80
2238,2238000.000us,3440,80
2239,2239000.000us,3360,0
2240,2240000.000us,3440,0
2241,2241000.000us,3440,0
2242,2242000.000us,3520,160
2243,2243000.000us,3440,0
2244,2244000.000us,3440,80
2245,2245000.000us,3440,0
2246,2246000.000us,3440,80
2247,2247000.000us,3360,0
2248,2248000.000us,3440,0
2249,2249000.000us,3440,0
2250,2250000.000us,3520,80
2251,2251000.000us,3360,0
2252,2252000.000us,3520,0
2253,2253000.000us,3440,80
2254,2254000.000us,3520,80
2255,2255000.000us,3440,0
2256,2256000.000us,3520,0
2257,2257000.000us,3440,80
2258,2258000.000us,3520,80
2259,2259000.000us,3440,0
2260,2260000.000us,3440,0
2261,2261000.000us,3440,80
2262,2262000.000us,3520,80
2263,2263000.000us,3440,0
2264,2264000.000us,3520,0
2265,2265000.000us,3520,0
2266,2266000.000us,3520,80
2267,2267000.000us,3360,0
2268,2268000.000us,3520,80
2269,2269000.000us,3440,80
2270,2270000.000us,3520,80
2271,2271000.000us,3440,0
2272,2272000.000us,3440,80
2273,2273000.000us,3520,80
2274,2274000.000us,3520,80
2275,2275000.000us,3440,0
2276,2276000.000us,3440,80
2277,2277000.000us,3440,0
2278,2278000.000us,3520,80
2279,2279000.000us,3360,0
2280,2280000.000us,3520,80
2281,2281000.000us,3520,0
2282,2282000.000us,3520,80
2283,2283000.000us,3360,0
2284,2284000.000us,3440,0
2285,2285000.000us,3440,0
2286,2286000.000us,3520,80
2287,2287000.000us,3360,0
2288,2288000.000us,3440,80
2289,2289000.000us,3440,80
2290,2290000.000us,3520,80
2291,2291000.000us,3440,0
2292,2292000.000us,3520,0
2293,2293000.000us,3440,0
2294,2294000.000us,3520,80
2295,2295000.000us,3440,0
2296,2296000.000us,3520,0
2297,2297000.000us,3440,0
2298,2298000.000us,3520,80
2299,2299000.000us,3440,0
2300,2300000.000us,3440,80
2301,2301000.000us,3520,0
2302,2302000.000us,3520,160
2303,2303000.000us,3360,-80
2304,2304000.000us,3440,-80
2305,2305000.000us,3440,0
2306,2306000.000us,3520,80
2307,2307000.000us,3360,0
2308,2308000.000us,3360,80
2309,2309000.000us,3440,80
2310,2310000.000us,3520,80
2311,2311000.000us,3440,0
2312,2312000.000us,3440,0
2313,2313000.000us,3440,0
2314,2314000.000us,3520,160
2315,2315000.000us,3360,0
2316,2316000.000us,3440,80
2317,2317000.000us,3440,80
2318,2318000.000us,3520,80
2319,2319000.000us,3360,0
2320,2320000.000us,3440,80
2321,2321000.000us,3440,0
2322,2322000.000us,3520,80
2323,2323000.000us,3440,0
2324,2324000.000us,3440,80
2325,2325000.000us,3440,0
2326,2326000.000us,3520,160
2327,2327000.000us,3360,0
2328,2328000.000us,3520,160
2329,2329000.000us,3360,0
2330,2330000.000us,3440,80
2331,2331000.000us,3360,0
