Save Time: 2026-07-14 15:24:45,,,
Units:(mV),,,
,CH1,CH2,
Frequency:,2.845 Hz,?,
Period:,351.500 mS,?,
SP:,1000.000 uS,1000.000 uS,
PK-PK:,3.600 V,800.000 mV,
,,,
942,941000,3520,-400
943,942000,3360,-560
944,943000,3440,-400
945,944000,3440,-560
946,945000,3520,-400
947,946000,3440,-560
948,947000,3440,-480
949,948000,3440,-480
950,949000,3520,-480
951,950000,3360,-560
952,951000,3440,-480
953,952000,3440,-560
954,953000,3520,-480
955,954000,3440,-560
956,955000,3440,-480
957,956000,3520,-480
958,957000,3520,-480
959,958000,3440,-560
960,959000,3440,-480
961,960000,3440,-560
962,961000,3520,-480
963,962000,3360,-560
964,963000,3440,-480
965,964000,3440,-480
966,965000,3520,-480
967,966000,3360,-560
968,967000,3440,-560
969,968000,3440,-400
970,969000,3520,-400
971,970000,3440,-560
972,971000,3440,-560
973,972000,3520,-560
974,973000,3520,-400
975,974000,3440,-560
976,975000,3440,-480
977,976000,3440,-400
978,977000,3520,-400
979,978000,3440,-560
980,979000,3440,-560
981,980000,3440,-480
982,981000,3520,-480
983,982000,3360,-560
984,983000,3520,-480
985,984000,3520,-480
986,985000,3520,-400
987,986000,3440,-560
988,987000,3440,-560
989,988000,3440,-480
990,989000,3520,-400
991,990000,3440,-560
992,991000,3440,-480
993,992000,3520,-480
994,993000,3520,-480
995,994000,3360,-560
996,995000,3360,-480
997,996000,3520,-480
998,997000,3520,-400
999,998000,3440,-560
1000,999000,3440,-480
1001,1000000,3440,-400
1002,1001000,3520,-400
1003,1002000,3440,-480
1004,1003000,3440,-480
1005,1004000,3440,-400
1006,1005000,3440,-400
1007,1006000,3440,-560
1008,1007000,3440,-480
1009,1008000,3520,-560
1010,1009000,3520,-400
1011,1010000,3440,-560
1012,1011000,3440,-480
1013,1012000,3440,-480
1014,1013000,3520,-400
1015,1014000,3440,-560
1016,1015000,3520,-480
1017,1016000,3360,-400
1018,1017000,3520,-400
1019,1018000,3360,-560
1020,1019000,3440,-480
1021,1020000,3440,-560
1022,1021000,3520,-480
1023,1022000,3440,-560
1024,1023000,3440,-480
1025,1024000,3440,-480
1026,1025000,3440,-400
1027,1026000,0,-560
1028,1027000,80,-560
1029,1028000,80,-480
1030,1029000,160,-480
1031,1030000,80,-560
1032,1031000,80,-560
1033,1032000,80,-560
1034,1033000,160,-400
1035,1034000,0,-560
1036,1035000,160,-560
1037,1036000,80,-480
1038,1037000,80,-480
1039,1038000,80,-560
1040,1039000,80,-480
1041,1040000,80,-480
1042,1041000,80,-400
1043,1042000,0,-560
1044,1043000,80,-480
1045,1044000,80,-480
1046,1045000,80,-400
1047,1046000,0,-560
1048,1047000,80,-480
1049,1048000,80,-560
1050,1049000,160,-480
1051,1050000,0,-560
1052,1051000,80,-480
1053,1052000,80,-480
1054,1053000,80,-480
1055,1054000,80,-560
1056,1055000,80,-560
1057,1056000,80,-480
1058,1057000,160,-480
1059,1058000,0,-560
1060,1059000,80,-480
1061,1060000,80,-480
1062,1061000,160,-400
1063,1062000,80,-560
1064,1063000,80,-560
1065,1064000,80,-560
1066,1065000,160,-480
1067,1066000,0,-560
1068,1067000,80,-560
1069,1068000,160,-560
1070,1069000,160,-480
1071,1070000,0,-560
1072,1071000,0,-480
1073,1072000,80,-480
1074,1073000,80,-400
1075,1074000,80,-560
1076,1075000,80,-560
1077,1076000,80,-480
1078,1077000,3520,-480
1079,1078000,80,-560
1080,1079000,3440,-560
1081,1080000,3360,-560
1082,1081000,3520,-480
1083,1082000,3360,-560
1084,1083000,3520,-480
1085,1084000,3520,-480
1086,1085000,3520,-400
1087,1086000,3360,-560
1088,1087000,3440,-480
1089,1088000,3520,-480
1090,1089000,3520,-480
1091,1090000,3440,-560
1092,1091000,3440,-480
1093,1092000,3440,-560
1094,1093000,3520,-400
1095,1094000,3360,-560
1096,1095000,3440,-480
1097,1096000,3440,-480
1098,1097000,3520,-480
1099,1098000,3440,-560
1100,1099000,3520,-480
1101,1100000,3440,-560
1102,1101000,3520,-480
1103,1102000,3360,-560
1104,1103000,3440,-480
1105,1104000,3440,-480
1106,1105000,3520,-400
1107,1106000,3440,-480
1108,1107000,3520,-480
1109,1108000,3520,-480
1110,1109000,3520,-480
1111,1110000,3360,-560
