time	I(R1)
Step Information: Rtierra=1K  (Step: 1/3)
1.931273817609324e-02	7.959120e-06
1.932273817609324e-02	7.959120e-06
1.933273817609324e-02	7.959120e-06
1.934273817609324e-02	7.959120e-06
1.935273817609324e-02	7.959120e-06
1.936273817609324e-02	7.959120e-06
1.937273817609324e-02	7.959120e-06
1.938273817609324e-02	7.959120e-06
1.939273817609324e-02	7.959120e-06
1.940273817609324e-02	7.959120e-06
1.941273817609324e-02	7.959120e-06
1.942273817609324e-02	7.959120e-06
1.943273817609324e-02	7.959120e-06
1.944273817609324e-02	7.959121e-06
1.945273817609324e-02	7.959121e-06
1.946273817609324e-02	7.959121e-06
1.947273817609324e-02	7.959121e-06
1.948273817609324e-02	7.959121e-06
1.949273817609324e-02	7.959121e-06
1.950273817609324e-02	7.959121e-06
1.951273817609324e-02	7.959121e-06
1.952273817609324e-02	7.959121e-06
1.953273817609324e-02	7.959121e-06
1.954273817609324e-02	7.959121e-06
1.955273817609324e-02	7.959121e-06
1.956273817609324e-02	7.959121e-06
1.957273817609324e-02	7.959121e-06
1.958273817609324e-02	7.959121e-06
1.959273817609324e-02	7.959121e-06
1.960273817609324e-02	7.959120e-06
1.961273817609324e-02	7.959120e-06
1.962273817609324e-02	7.959120e-06
1.963273817609324e-02	7.959120e-06
1.964273817609324e-02	7.959120e-06
1.965273817609324e-02	7.959120e-06
1.966273817609324e-02	7.959120e-06
1.967273817609324e-02	7.959120e-06
1.968273817609324e-02	7.959120e-06
1.969273817609324e-02	7.959120e-06
1.970273817609324e-02	7.959120e-06
1.971273817609324e-02	7.959120e-06
1.972273817609324e-02	7.959120e-06
1.973273817609324e-02	7.959120e-06
1.974273817609324e-02	7.959120e-06
1.975273817609324e-02	7.959120e-06
1.976273817609324e-02	7.959120e-06
1.977273817609324e-02	7.959120e-06
1.978273817609324e-02	7.959120e-06
1.979273817609324e-02	7.959120e-06
1.980273817609324e-02	7.959121e-06
1.981273817609324e-02	7.959121e-06
1.982273817609324e-02	7.959121e-06
1.983273817609324e-02	7.959121e-06
1.984273817609324e-02	7.959121e-06
1.985273817609324e-02	7.959121e-06
1.986273817609324e-02	7.959121e-06
1.987273817609324e-02	7.959121e-06
1.988273817609324e-02	7.959121e-06
1.989273817609324e-02	7.959121e-06
1.990273817609324e-02	7.959121e-06
1.991273817609324e-02	7.959121e-06
1.992273817609324e-02	7.959121e-06
1.993273817609324e-02	7.959121e-06
1.994273817609324e-02	7.959120e-06
1.995273817609324e-02	7.959120e-06
1.996273817609324e-02	7.959120e-06
1.997273817609324e-02	7.959120e-06
1.998273817609324e-02	7.959120e-06
1.999273817609324e-02	7.959120e-06
2.000000000000000e-02	7.959120e-06
Step Information: Rtierra=100K  (Step: 2/3)
0.000000000000000e+00	1.449132e-11
9.999999439624929e-11	-2.566681e-09
1.999999887924986e-10	-5.071535e-09
1.599999910339989e-09	-3.941437e-08
3.199999820679977e-09	-7.821392e-08
6.399999641359955e-09	-1.543980e-07
1.279999928271991e-08	-3.012870e-07
2.559999856543982e-08	-5.762395e-07
4.654609112017188e-08	-9.700774e-07
7.016925270309886e-08	-1.256960e-06
8.255160018870519e-08	-1.166006e-06
9.132269566755174e-08	-8.203239e-07
1.009081772639444e-07	-1.981413e-07
1.130084580218547e-07	6.925077e-07
1.276362265820235e-07	1.743992e-06
1.492844233741446e-07	3.178237e-06
1.715247138727863e-07	4.465192e-06
1.972559696315118e-07	5.640048e-06
2.296724890103469e-07	6.644150e-06
2.595636807185432e-07	7.115076e-06
3.032847391437764e-07	7.349716e-06
3.573485196338280e-07	7.452862e-06
4.414143904290122e-07	7.544448e-06
5.788082744813459e-07	7.662526e-06
8.139506982919255e-07	7.832771e-06
1.028610062896202e-06	7.966404e-06
1.313482282806033e-06	8.119880e-06
1.591310804601759e-06	8.250510e-06
1.974086977874249e-06	8.406636e-06
2.378726535045966e-06	8.548361e-06
2.941240946993519e-06	8.713511e-06
