time	V(out_pos,out_1)	I(Vcell22)
Step Information: Rtierra=1K  (Step: 1/3)
8.019018816887251e-04	3.189291e+00	-3.189342e-01
8.119018816887251e-04	3.189293e+00	-3.189356e-01
8.219018816887251e-04	3.189296e+00	-3.189348e-01
8.319018816887251e-04	3.189298e+00	-3.189361e-01
8.419018816887251e-04	3.189300e+00	-3.189352e-01
8.519018816887251e-04	3.189302e+00	-3.189365e-01
8.619018816887251e-04	3.189303e+00	-3.189356e-01
8.719018816887251e-04	3.189305e+00	-3.189368e-01
8.819018816887251e-04	3.189306e+00	-3.189359e-01
8.919018816887251e-04	3.189307e+00	-3.189371e-01
9.019018816887251e-04	3.189308e+00	-3.189361e-01
9.119018816887251e-04	3.189309e+00	-3.189373e-01
9.219018816887251e-04	3.189310e+00	-3.189363e-01
9.319018816887251e-04	3.189311e+00	-3.189375e-01
9.419018816887250e-04	3.189312e+00	-3.189364e-01
9.519018816887251e-04	3.189312e+00	-3.189376e-01
9.619018816887251e-04	3.189313e+00	-3.189366e-01
9.719018816887251e-04	3.189313e+00	-3.189377e-01
9.819018816887252e-04	3.189314e+00	-3.189367e-01
9.919018816887252e-04	3.189314e+00	-3.189378e-01
1.001901881688725e-03	3.189315e+00	-3.189367e-01
1.011901881688725e-03	3.189315e+00	-3.189379e-01
1.021901881688725e-03	3.189315e+00	-3.189368e-01
1.031901881688725e-03	3.189315e+00	-3.189379e-01
1.041901881688725e-03	3.189316e+00	-3.189369e-01
1.051901881688725e-03	3.189316e+00	-3.189380e-01
1.061901881688725e-03	3.189316e+00	-3.189369e-01
1.071901881688725e-03	3.189316e+00	-3.189380e-01
1.081901881688725e-03	3.189316e+00	-3.189369e-01
1.091901881688725e-03	3.189317e+00	-3.189380e-01
1.101901881688725e-03	3.189317e+00	-3.189370e-01
1.111901881688725e-03	3.189317e+00	-3.189380e-01
1.121901881688725e-03	3.189317e+00	-3.189370e-01
1.131901881688725e-03	3.189317e+00	-3.189381e-01
1.141901881688725e-03	3.189317e+00	-3.189370e-01
1.151901881688725e-03	3.189317e+00	-3.189381e-01
1.161901881688725e-03	3.189317e+00	-3.189370e-01
1.171901881688725e-03	3.189317e+00	-3.189381e-01
1.181901881688725e-03	3.189317e+00	-3.189370e-01
1.191901881688725e-03	3.189317e+00	-3.189381e-01
1.201901881688725e-03	3.189317e+00	-3.189370e-01
1.211901881688725e-03	3.189317e+00	-3.189381e-01
1.221901881688725e-03	3.189317e+00	-3.189371e-01
1.231901881688725e-03	3.189317e+00	-3.189381e-01
1.241901881688725e-03	3.189317e+00	-3.189371e-01
1.251901881688725e-03	3.189317e+00	-3.189381e-01
1.261901881688725e-03	3.189317e+00	-3.189371e-01
1.271901881688725e-03	3.189317e+00	-3.189381e-01
1.281901881688725e-03	3.189317e+00	-3.189371e-01
1.291901881688725e-03	3.189317e+00	-3.189381e-01
1.301901881688725e-03	3.189317e+00	-3.189371e-01
1.311901881688725e-03	3.189317e+00	-3.189381e-01
1.321901881688725e-03	3.189317e+00	-3.189371e-01
1.331901881688725e-03	3.189317e+00	-3.189381e-01
1.341901881688725e-03	3.189317e+00	-3.189371e-01
1.351901881688725e-03	3.189317e+00	-3.189381e-01
1.361901881688725e-03	3.189317e+00	-3.189371e-01
1.371901881688725e-03	3.189317e+00	-3.189381e-01
1.381901881688725e-03	3.189317e+00	-3.189371e-01
1.391901881688725e-03	3.189317e+00	-3.189381e-01
1.401901881688725e-03	3.189317e+00	-3.189371e-01
1.411901881688725e-03	3.189317e+00	-3.189381e-01
1.421901881688725e-03	3.189317e+00	-3.189371e-01
1.431901881688725e-03	3.189317e+00	-3.189381e-01
1.441901881688725e-03	3.189317e+00	-3.189371e-01
1.451901881688725e-03	3.189317e+00	-3.189381e-01
1.461901881688725e-03	3.189317e+00	-3.189371e-01
1.471901881688725e-03	3.189317e+00	-3.189381e-01
1.481901881688725e-03	3.189317e+00	-3.189371e-01
1.491901881688725e-03	3.189317e+00	-3.189381e-01
1.501901881688725e-03	3.189317e+00	-3.189371e-01
1.511901881688725e-03	3.189317e+00	-3.189382e-01
