time	V(out_pos,out_neg)	I(R1)	I(Vcell12)
Step Information: Rtierra=1K  (Step: 1/3)
1.140273817609324e-02	3.299689e+00	8.399329e-06	-8.023022e-06
1.141273817609324e-02	3.299689e+00	8.386716e-06	-8.557067e-06
1.142273817609324e-02	3.299689e+00	8.374472e-06	-8.018748e-06
1.143273817609324e-02	3.299689e+00	8.362585e-06	-8.553508e-06
1.144273817609324e-02	3.299689e+00	8.351043e-06	-8.014727e-06
1.145273817609324e-02	3.299689e+00	8.339838e-06	-8.550191e-06
1.146273817609324e-02	3.299689e+00	8.328958e-06	-8.010939e-06
1.147273817609324e-02	3.299689e+00	8.318395e-06	-8.547099e-06
1.148273817609324e-02	3.299689e+00	8.308138e-06	-8.007369e-06
1.149273817609324e-02	3.299689e+00	8.298179e-06	-8.544217e-06
1.150273817609324e-02	3.299689e+00	8.288508e-06	-8.004001e-06
1.151273817609324e-02	3.299689e+00	8.279118e-06	-8.541529e-06
1.152273817609324e-02	3.299689e+00	8.269999e-06	-8.000820e-06
1.153273817609324e-02	3.299689e+00	8.261143e-06	-8.539021e-06
1.154273817609324e-02	3.299689e+00	8.252544e-06	-7.997814e-06
1.155273817609324e-02	3.299689e+00	8.244194e-06	-8.536681e-06
1.156273817609324e-02	3.299689e+00	8.236084e-06	-7.994971e-06
1.157273817609324e-02	3.299689e+00	8.228209e-06	-8.534498e-06
1.158273817609324e-02	3.299689e+00	8.220561e-06	-7.992280e-06
1.159273817609324e-02	3.299689e+00	8.213134e-06	-8.532463e-06
1.160273817609324e-02	3.299689e+00	8.205920e-06	-7.989731e-06
1.161273817609324e-02	3.299689e+00	8.198913e-06	-8.530563e-06
1.162273817609324e-02	3.299689e+00	8.192109e-06	-7.987313e-06
1.163273817609324e-02	3.299689e+00	8.185500e-06	-8.528791e-06
1.164273817609324e-02	3.299689e+00	8.179081e-06	-7.985021e-06
1.165273817609324e-02	3.299689e+00	8.172847e-06	-8.527139e-06
1.166273817609324e-02	3.299689e+00	8.166792e-06	-7.982844e-06
1.167273817609324e-02	3.299689e+00	8.160911e-06	-8.525598e-06
1.168273817609324e-02	3.299689e+00	8.155199e-06	-7.980776e-06
1.169273817609324e-02	3.299689e+00	8.149650e-06	-8.524162e-06
1.170273817609324e-02	3.299690e+00	8.144260e-06	-7.978810e-06
1.171273817609324e-02	3.299689e+00	8.139026e-06	-8.522825e-06
1.172273817609324e-02	3.299689e+00	8.133941e-06	-7.976939e-06
1.173273817609324e-02	3.299689e+00	8.129002e-06	-8.521579e-06
1.174273817609324e-02	3.299689e+00	8.124204e-06	-7.975158e-06
1.175273817609324e-02	3.299689e+00	8.119543e-06	-8.520420e-06
1.176273817609324e-02	3.299689e+00	8.115016e-06	-7.973461e-06
1.177273817609324e-02	3.299689e+00	8.110619e-06	-8.519341e-06
1.178273817609324e-02	3.299689e+00	8.106348e-06	-7.971843e-06
1.179273817609324e-02	3.299689e+00	8.102198e-06	-8.518340e-06
1.180273817609324e-02	3.299689e+00	8.098166e-06	-7.970300e-06
1.181273817609324e-02	3.299689e+00	8.094251e-06	-8.517410e-06
1.182273817609324e-02	3.299689e+00	8.090446e-06	-7.968825e-06
1.183273817609324e-02	3.299689e+00	8.086751e-06	-8.516547e-06
1.184273817609324e-02	3.299689e+00	8.083161e-06	-7.967417e-06
1.185273817609324e-02	3.299689e+00	8.079674e-06	-8.515747e-06
1.186273817609324e-02	3.299689e+00	8.076285e-06	-7.966071e-06
1.187273817609324e-02	3.299689e+00	8.072993e-06	-8.515008e-06
1.188273817609324e-02	3.299689e+00	8.069796e-06	-7.964783e-06
1.189273817609324e-02	3.299689e+00	8.066690e-06	-8.514324e-06
1.190273817609324e-02	3.299689e+00	8.063671e-06	-7.963551e-06
1.191273817609324e-02	3.299689e+00	8.060739e-06	-8.513693e-06
1.192273817609324e-02	3.299689e+00	8.057890e-06	-7.962370e-06
1.193273817609324e-02	3.299689e+00	8.055124e-06	-8.513111e-06
