time	V(out_pos,out_1)	I(Vcell22)
Step Information: Rtierra=1K  (Step: 1/3)
1.705771684168077e-03	-2.612853e-02	2.180996e-07
1.715771684168077e-03	-2.612829e-02	-6.408879e-07
1.725771684168076e-03	-2.612829e-02	2.152408e-07
1.735771684168076e-03	-2.612805e-02	-6.435461e-07
1.745771684168076e-03	-2.612805e-02	2.125398e-07
1.755771684168077e-03	-2.612782e-02	-6.460510e-07
1.765771684168077e-03	-2.612782e-02	2.099879e-07
1.775771684168077e-03	-2.612782e-02	-6.484111e-07
1.785771684168077e-03	-2.612782e-02	2.075765e-07
1.795771684168077e-03	-2.612758e-02	-6.506348e-07
1.805771684168076e-03	-2.612758e-02	2.052977e-07
1.815771684168076e-03	-2.612734e-02	-6.527296e-07
1.825771684168076e-03	-2.612710e-02	2.031440e-07
1.835771684168077e-03	-2.612710e-02	-6.547029e-07
1.845771684168077e-03	-2.612710e-02	2.011085e-07
1.855771684168077e-03	-2.612686e-02	-6.565616e-07
1.865771684168077e-03	-2.612686e-02	1.991843e-07
1.875771684168077e-03	-2.612686e-02	-6.583120e-07
1.885771684168076e-03	-2.612686e-02	1.973652e-07
1.895771684168076e-03	-2.612662e-02	-6.599604e-07
1.905771684168076e-03	-2.612662e-02	1.956452e-07
1.915771684168076e-03	-2.612662e-02	-6.615126e-07
1.925771684168077e-03	-2.612662e-02	1.940188e-07
1.935771684168077e-03	-2.612662e-02	-6.629738e-07
1.945771684168077e-03	-2.612638e-02	1.924807e-07
1.955771684168077e-03	-2.612638e-02	-6.643494e-07
1.965771684168077e-03	-2.612638e-02	1.910258e-07
1.975771684168077e-03	-2.612638e-02	-6.656441e-07
1.985771684168077e-03	-2.612638e-02	1.896495e-07
1.995771684168077e-03	-2.612615e-02	-6.668624e-07
2.005771684168076e-03	-2.612638e-02	1.883474e-07
2.015771684168076e-03	-2.612615e-02	-6.680088e-07
2.025771684168076e-03	-2.612638e-02	1.871152e-07
2.035771684168076e-03	-2.612615e-02	-6.690872e-07
2.045771684168076e-03	-2.612638e-02	1.859490e-07
2.055771684168076e-03	-2.612591e-02	-6.701016e-07
2.065771684168076e-03	-2.612615e-02	1.848450e-07
2.075771684168076e-03	-2.612591e-02	-6.710555e-07
2.085771684168077e-03	-2.612615e-02	1.837999e-07
2.095771684168077e-03	-2.612591e-02	-6.719523e-07
2.105771684168077e-03	-2.612591e-02	1.828101e-07
2.115771684168077e-03	-2.612615e-02	-6.727953e-07
2.125771684168077e-03	-2.612615e-02	1.818727e-07
2.135771684168077e-03	-2.612615e-02	-6.735875e-07
2.145771684168077e-03	-2.612615e-02	1.809846e-07
2.155771684168077e-03	-2.612615e-02	-6.743318e-07
2.165771684168076e-03	-2.612615e-02	1.801431e-07
2.175771684168076e-03	-2.612615e-02	-6.750309e-07
2.185771684168076e-03	-2.612615e-02	1.793455e-07
2.195771684168076e-03	-2.612591e-02	-6.756873e-07
2.205771684168076e-03	-2.612591e-02	1.785893e-07
2.215771684168076e-03	-2.612591e-02	-6.763034e-07
2.225771684168076e-03	-2.612567e-02	1.778723e-07
2.235771684168076e-03	-2.612591e-02	-6.768816e-07
2.245771684168076e-03	-2.612567e-02	1.771922e-07
2.255771684168077e-03	-2.612591e-02	-6.774239e-07
2.265771684168077e-03	-2.612567e-02	1.765469e-07
2.275771684168077e-03	-2.612591e-02	-6.779325e-07
2.285771684168077e-03	-2.612591e-02	1.759345e-07
2.295771684168077e-03	-2.612591e-02	-6.784091e-07
2.305771684168077e-03	-2.612591e-02	1.753531e-07
2.315771684168077e-03	-2.612591e-02	-6.788556e-07
2.325771684168076e-03	-2.612567e-02	1.748009e-07
2.335771684168076e-03	-2.612591e-02	-6.792737e-07
2.345771684168076e-03	-2.612591e-02	1.742764e-07
2.355771684168076e-03	-2.612567e-02	-6.796650e-07
2.365771684168076e-03	-2.612591e-02	1.737779e-07
2.375771684168076e-03	-2.612567e-02	-6.800310e-07
2.385771684168076e-03	-2.612591e-02	1.733040e-07
2.395771684168076e-03	-2.612567e-02	-6.803731e-07
2.405771684168076e-03	-2.612591e-02	1.728533e-07
2.415771684168077e-03	-2.612567e-02	-6.806927e-07
2.425771684168077e-03	-2.612591e-02	1.724245e-07
2.435771684168077e-03	-2.612567e-02	-6.809911e-07
2.445771684168077e-03	-2.612591e-02	1.720164e-07
2.455771684168077e-03	-2.612567e-02	-6.812694e-07
2.465771684168077e-03	-2.612567e-02	1.716277e-07
2.475771684168077e-03	-2.612567e-02	-6.815288e-07
2.485771684168076e-03	-2.612567e-02	1.712574e-07
2.495771684168076e-03	-2.612591e-02	-6.817703e-07
2.505771684168076e-03	-2.612567e-02	1.709045e-07
2.515771684168076e-03	-2.612567e-02	-6.819949e-07
2.525771684168076e-03	-2.612591e-02	1.705680e-07
2.535771684168076e-03	-2.612567e-02	-6.822037e-07
2.545771684168076e-03	-2.612567e-02	1.702470e-07
2.555771684168076e-03	-2.612567e-02	-6.823975e-07
2.565771684168076e-03	-2.612567e-02	1.699405e-07
2.575771684168076e-03	-2.612567e-02	-6.825771e-07
2.585771684168077e-03	-2.612591e-02	1.696478e-07
2.595771684168077e-03	-2.612567e-02	-6.827433e-07
2.605771684168077e-03	-2.612567e-02	1.693681e-07
2.615771684168077e-03	-2.612567e-02	-6.828970e-07
2.625771684168077e-03	-2.612567e-02	1.691007e-07
2.635771684168077e-03	-2.612567e-02	-6.830387e-07
2.645771684168076e-03	-2.612567e-02	1.688448e-07
2.655771684168076e-03	-2.612567e-02	-6.831692e-07
2.665771684168076e-03	-2.612567e-02	1.685999e-07
2.675771684168076e-03	-2.612567e-02	-6.832892e-07
2.685771684168076e-03	-2.612567e-02	1.683653e-07
2.695771684168076e-03	-2.612567e-02	-6.833990e-07
2.705771684168076e-03	-2.612567e-02	1.681404e-07
2.715771684168076e-03	-2.612567e-02	-6.834995e-07
2.725771684168076e-03	-2.612543e-02	1.679248e-07
2.735771684168076e-03	-2.612567e-02	-6.835911e-07
2.745771684168077e-03	-2.612567e-02	1.677177e-07
2.755771684168077e-03	-2.612567e-02	-6.836742e-07
2.765771684168077e-03	-2.612567e-02	1.675189e-07
2.775771684168077e-03	-2.612543e-02	-6.837494e-07
2.785771684168077e-03	-2.612567e-02	1.673278e-07
2.795771684168077e-03	-2.612567e-02	-6.838171e-07
2.805771684168076e-03	-2.612567e-02	1.671440e-07
2.815771684168076e-03	-2.612567e-02	-6.838777e-07
2.825771684168076e-03	-2.612567e-02	1.669670e-07
2.835771684168076e-03	-2.612543e-02	-6.839317e-07
2.845771684168076e-03	-2.612543e-02	1.667966e-07
2.855771684168076e-03	-2.612567e-02	-6.839794e-07
2.865771684168076e-03	-2.612567e-02	1.666323e-07
2.875771684168076e-03	-2.612567e-02	-6.840211e-07
2.885771684168076e-03	-2.612567e-02	1.664738e-07
2.895771684168076e-03	-2.612567e-02	-6.840572e-07
2.905771684168076e-03	-2.612567e-02	1.663208e-07
2.915771684168077e-03	-2.612543e-02	-6.840880e-07
2.925771684168077e-03	-2.612543e-02	1.661729e-07
2.935771684168077e-03	-2.612567e-02	-6.841138e-07
2.945771684168077e-03	-2.612567e-02	1.660299e-07
2.955771684168077e-03	-2.612567e-02	-6.841349e-07
2.965771684168076e-03	-2.612567e-02	1.658915e-07
2.975771684168076e-03	-2.612591e-02	-6.841515e-07
2.985771684168076e-03	-2.612567e-02	1.657574e-07
2.995771684168076e-03	-2.612567e-02	-6.841639e-07
