time	I(R1)
Step Information: Rtierra=1K  (Step: 1/3)
1.536038390393885e-02	3.781767e-06
1.537038390393885e-02	3.781766e-06
1.538038390393885e-02	3.781765e-06
1.539038390393885e-02	3.781764e-06
1.540038390393885e-02	3.781764e-06
1.541038390393885e-02	3.781763e-06
1.542038390393885e-02	3.781762e-06
1.543038390393885e-02	3.781761e-06
1.544038390393885e-02	3.781760e-06
1.545038390393885e-02	3.781759e-06
1.546038390393885e-02	3.781759e-06
1.547038390393885e-02	3.781758e-06
1.548038390393885e-02	3.781757e-06
1.549038390393885e-02	3.781756e-06
1.550038390393885e-02	3.781756e-06
1.551038390393885e-02	3.781755e-06
1.552038390393885e-02	3.781754e-06
1.553038390393885e-02	3.781754e-06
1.554038390393885e-02	3.781753e-06
1.555038390393885e-02	3.781752e-06
1.556038390393885e-02	3.781752e-06
1.557038390393885e-02	3.781751e-06
1.558038390393885e-02	3.781750e-06
1.559038390393885e-02	3.781749e-06
1.560038390393885e-02	3.781749e-06
1.561038390393885e-02	3.781748e-06
1.562038390393885e-02	3.781748e-06
1.563038390393885e-02	3.781747e-06
1.564038390393885e-02	3.781746e-06
1.565038390393885e-02	3.781746e-06
1.566038390393885e-02	3.781745e-06
1.567038390393885e-02	3.781745e-06
1.568038390393885e-02	3.781744e-06
1.569038390393885e-02	3.781744e-06
1.570038390393885e-02	3.781743e-06
1.571038390393885e-02	3.781743e-06
1.572038390393885e-02	3.781742e-06
1.573038390393885e-02	3.781742e-06
1.574038390393885e-02	3.781741e-06
1.575038390393885e-02	3.781741e-06
1.576038390393885e-02	3.781740e-06
1.577038390393885e-02	3.781740e-06
1.578038390393885e-02	3.781739e-06
1.579038390393885e-02	3.781739e-06
1.580038390393885e-02	3.781739e-06
1.581038390393885e-02	3.781738e-06
1.582038390393885e-02	3.781738e-06
1.583038390393885e-02	3.781737e-06
1.584038390393885e-02	3.781737e-06
1.585038390393885e-02	3.781736e-06
1.586038390393885e-02	3.781736e-06
1.587038390393885e-02	3.781736e-06
1.588038390393885e-02	3.781735e-06
1.589038390393885e-02	3.781735e-06
1.590038390393885e-02	3.781734e-06
1.591038390393885e-02	3.781734e-06
1.592038390393885e-02	3.781734e-06
1.593038390393885e-02	3.781734e-06
1.594038390393885e-02	3.781733e-06
1.595038390393885e-02	3.781733e-06
1.596038390393885e-02	3.781732e-06
1.597038390393885e-02	3.781732e-06
1.598038390393885e-02	3.781732e-06
1.599038390393885e-02	3.781731e-06
1.600038390393885e-02	3.781731e-06
1.601038390393885e-02	3.781731e-06
1.602038390393885e-02	3.781730e-06
1.603038390393885e-02	3.781730e-06
1.604038390393885e-02	3.781730e-06
1.605038390393885e-02	3.781729e-06
1.606038390393885e-02	3.781729e-06
1.607038390393885e-02	3.781729e-06
1.608038390393885e-02	3.781729e-06
1.609038390393885e-02	3.781729e-06
1.610038390393885e-02	3.781728e-06
1.611038390393885e-02	3.781728e-06
1.612038390393885e-02	3.781728e-06
1.613038390393885e-02	3.781727e-06
1.614038390393885e-02	3.781727e-06
1.615038390393885e-02	3.781727e-06
1.616038390393885e-02	3.781727e-06
1.617038390393885e-02	3.781726e-06
1.618038390393885e-02	3.781726e-06
1.619038390393885e-02	3.781726e-06
1.620038390393885e-02	3.781726e-06
1.621038390393885e-02	3.781726e-06
1.622038390393885e-02	3.781725e-06
1.623038390393885e-02	3.781725e-06
1.624038390393885e-02	3.781725e-06
1.625038390393885e-02	3.781725e-06
1.626038390393885e-02	3.781724e-06
1.627038390393885e-02	3.781724e-06
1.628038390393885e-02	3.781724e-06
1.629038390393885e-02	3.781724e-06
1.630038390393885e-02	3.781724e-06
1.631038390393885e-02	3.781724e-06
1.632038390393885e-02	3.781723e-06
1.633038390393885e-02	3.781723e-06
1.634038390393885e-02	3.781723e-06
1.635038390393885e-02	3.781723e-06
1.636038390393885e-02	3.781722e-06
1.637038390393885e-02	3.781722e-06
1.638038390393885e-02	3.781722e-06
1.639038390393885e-02	3.781722e-06
1.640038390393885e-02	3.781722e-06
1.641038390393885e-02	3.781722e-06
1.642038390393885e-02	3.781721e-06
1.643038390393885e-02	3.781721e-06
1.644038390393885e-02	3.781721e-06
1.645038390393885e-02	3.781721e-06
1.646038390393885e-02	3.781721e-06
1.647038390393885e-02	3.781721e-06
1.648038390393885e-02	3.781721e-06
1.649038390393885e-02	3.781720e-06
1.650038390393885e-02	3.781720e-06
1.651038390393885e-02	3.781720e-06
1.652038390393885e-02	3.781720e-06
1.653038390393885e-02	3.781720e-06
1.654038390393885e-02	3.781720e-06
1.655038390393885e-02	3.781719e-06
1.656038390393885e-02	3.781719e-06
1.657038390393885e-02	3.781719e-06
1.658038390393885e-02	3.781719e-06
1.659038390393885e-02	3.781719e-06
1.660038390393885e-02	3.781719e-06
1.661038390393885e-02	3.781719e-06
1.662038390393885e-02	3.781719e-06
1.663038390393885e-02	3.781719e-06
1.664038390393885e-02	3.781719e-06
1.665038390393885e-02	3.781718e-06
1.666038390393885e-02	3.781718e-06
1.667038390393885e-02	3.781718e-06
1.668038390393885e-02	3.781718e-06
1.669038390393885e-02	3.781718e-06
1.670038390393885e-02	3.781718e-06
1.671038390393885e-02	3.781718e-06
1.672038390393885e-02	3.781718e-06
1.673038390393885e-02	3.781717e-06
1.674038390393885e-02	3.781717e-06
1.675038390393885e-02	3.781717e-06
1.676038390393885e-02	3.781717e-06
1.677038390393885e-02	3.781717e-06
1.678038390393885e-02	3.781717e-06
1.679038390393885e-02	3.781717e-06
1.680038390393885e-02	3.781717e-06
1.681038390393885e-02	3.781717e-06
1.682038390393885e-02	3.781717e-06
1.683038390393885e-02	3.781717e-06
1.684038390393885e-02	3.781717e-06
1.685038390393885e-02	3.781716e-06
1.686038390393885e-02	3.781716e-06
1.687038390393885e-02	3.781716e-06
1.688038390393885e-02	3.781716e-06
1.689038390393885e-02	3.781716e-06
1.690038390393885e-02	3.781716e-06
1.691038390393885e-02	3.781716e-06
1.692038390393885e-02	3.781716e-06
1.693038390393885e-02	3.781716e-06
1.694038390393885e-02	3.781716e-06
1.695038390393885e-02	3.781716e-06
1.696038390393885e-02	3.781716e-06
1.697038390393885e-02	3.781716e-06
1.698038390393885e-02	3.781715e-06
1.699038390393885e-02	3.781715e-06
1.700038390393885e-02	3.781715e-06
1.701038390393885e-02	3.781715e-06
1.702038390393885e-02	3.781715e-06
1.703038390393885e-02	3.781715e-06
1.704038390393885e-02	3.781715e-06
1.705038390393885e-02	3.781715e-06
1.706038390393885e-02	3.781715e-06
1.707038390393885e-02	3.781715e-06
1.708038390393885e-02	3.781715e-06
1.709038390393885e-02	3.781715e-06
1.710038390393885e-02	3.781715e-06
1.711038390393885e-02	3.781715e-06
1.712038390393885e-02	3.781714e-06
1.713038390393885e-02	3.781714e-06
1.714038390393885e-02	3.781714e-06
1.715038390393885e-02	3.781714e-06
1.716038390393885e-02	3.781714e-06
1.717038390393885e-02	3.781714e-06
1.718038390393885e-02	3.781714e-06
1.719038390393885e-02	3.781714e-06
1.720038390393885e-02	3.781714e-06
1.721038390393885e-02	3.781714e-06
1.722038390393885e-02	3.781714e-06
1.723038390393885e-02	3.781714e-06
1.724038390393885e-02	3.781714e-06
1.725038390393885e-02	3.781714e-06
