time	I(V1)	I(Vcell12)
1.000000109027653e-02	4.481135e-06	-1.584376e-01
1.000000217920470e-02	4.433137e-06	-1.584351e-01
1.000000435706105e-02	4.326847e-06	-1.584375e-01
1.000000871277375e-02	4.103891e-06	-1.584350e-01
1.000001492414046e-02	3.791087e-06	-1.584373e-01
1.000002566035588e-02	3.279998e-06	-1.584346e-01
1.000004713278674e-02	2.360932e-06	-1.584367e-01
1.000007178067183e-02	1.646512e-06	-1.584339e-01
1.000008485455078e-02	2.052052e-06	-1.584366e-01
1.000009415034660e-02	3.168041e-06	-1.584346e-01
1.000010451004814e-02	4.924550e-06	-1.584378e-01
1.000011683986518e-02	7.096760e-06	-1.584363e-01
1.000013358940108e-02	9.909049e-06	-1.584400e-01
1.000016465955616e-02	1.462153e-05	-1.584395e-01
1.000019524773888e-02	1.850360e-05	-1.584437e-01
1.000023612112022e-02	2.196083e-05	-1.584426e-01
1.000027860764871e-02	2.333830e-05	-1.584456e-01
1.000033038270609e-02	2.352010e-05	-1.584431e-01
1.000039594606498e-02	2.357898e-05	-1.584454e-01
1.000051137089991e-02	2.361564e-05	-1.584427e-01
1.000069882600154e-02	2.363640e-05	-1.584448e-01
1.000090765652210e-02	2.366791e-05	-1.584419e-01
1.000110518961722e-02	2.376047e-05	-1.584440e-01
1.000130782691511e-02	2.398077e-05	-1.584413e-01
1.000146825324812e-02	2.423931e-05	-1.584437e-01
1.000164577037110e-02	2.451465e-05	-1.584412e-01
1.000181129770030e-02	2.472192e-05	-1.584435e-01
1.000209619104438e-02	2.494924e-05	-1.584408e-01
1.000236382079438e-02	2.503038e-05	-1.584429e-01
1.000260212996145e-02	2.502312e-05	-1.584399e-01
1.000285204022935e-02	2.495799e-05	-1.584419e-01
1.000311538418983e-02	2.484588e-05	-1.584387e-01
1.000338759239025e-02	2.469562e-05	-1.584405e-01
1.000368020405788e-02	2.450951e-05	-1.584371e-01
1.000399451393794e-02	2.429197e-05	-1.584385e-01
1.000434951433225e-02	2.403564e-05	-1.584348e-01
1.000475384084363e-02	2.373911e-05	-1.584357e-01
1.000523683856659e-02	2.338946e-05	-1.584312e-01
1.000582538564606e-02	2.297811e-05	-1.584309e-01
1.000658594180059e-02	2.248028e-05	-1.584247e-01
1.000761522916914e-02	2.187150e-05	-1.584217e-01
1.000914963276905e-02	2.109873e-05	-1.584104e-01
1.001045247626551e-02	2.056076e-05	-1.584050e-01
1.001156387595454e-02	2.018072e-05	-1.583956e-01
1.001269593248786e-02	1.985948e-05	-1.583909e-01
1.001394914671185e-02	1.956856e-05	-1.583803e-01
1.001516766106820e-02	1.933762e-05	-1.583748e-01
1.001641392478725e-02	1.914455e-05	-1.583640e-01
1.001765753857567e-02	1.898598e-05	-1.583582e-01
1.001898558599232e-02	1.884726e-05	-1.583468e-01
1.002037975791063e-02	1.872756e-05	-1.583397e-01
1.002191956190313e-02	1.861975e-05	-1.583266e-01
1.002361371475410e-02	1.852225e-05	-1.583172e-01
1.002557727717352e-02	1.842943e-05	-1.583007e-01
1.002787664141253e-02	1.833776e-05	-1.582865e-01
