time	-I(Vcell15)
9.986777201000462e-03	3.199398e-02
9.996777201000463e-03	3.200193e-02
1.000000000000000e-02	3.199398e-02
1.000000000100000e-02	3.199849e-02
1.000000000200000e-02	3.199637e-02
1.000000000642560e-02	3.199921e-02
1.000000001112437e-02	3.199681e-02
1.000000001861569e-02	3.199906e-02
1.000000003359835e-02	3.199687e-02
1.000000006356365e-02	3.199903e-02
1.000000012349427e-02	3.199688e-02
1.000000024335549e-02	3.199903e-02
1.000000048307794e-02	3.199689e-02
1.000000096252284e-02	3.199902e-02
1.000000192141264e-02	3.199688e-02
1.000000383919223e-02	3.199901e-02
1.000000767475142e-02	3.199686e-02
1.000001534586981e-02	3.199895e-02
1.000002541078513e-02	3.199676e-02
1.000004538884382e-02	3.199878e-02
1.000008534496121e-02	3.199646e-02
1.000016525719598e-02	3.199827e-02
1.000032508166552e-02	3.199571e-02
1.000064473060461e-02	3.199959e-02
1.000111411124195e-02	3.200321e-02
1.000173685792290e-02	3.201203e-02
1.000247234308955e-02	3.201555e-02
1.000261956077214e-02	3.201738e-02
1.000291399613731e-02	3.201837e-02
1.000350286686766e-02	3.201862e-02
1.000365008455025e-02	3.201853e-02
1.000394451991542e-02	3.201832e-02
1.000453339064577e-02	3.201786e-02
1.000571113210647e-02	3.201690e-02
1.000806661502786e-02	3.201503e-02
1.001277758087065e-02	3.201195e-02
1.002219951255622e-02	3.200791e-02
1.003219951255622e-02	3.200411e-02
1.004219951255622e-02	3.199716e-02
1.005219951255622e-02	3.197255e-02
1.005344951255622e-02	3.196365e-02
1.005594951255622e-02	3.192494e-02
1.006094951255622e-02	3.151088e-02
1.007094951255622e-02	3.053201e-02
1.008094951255622e-02	2.951400e-02
1.009094951255622e-02	2.848249e-02
1.010000000000000e-02	2.755880e-02
1.010000000100000e-02	2.755882e-02
1.010000001700000e-02	2.755881e-02
1.010000002442142e-02	2.755881e-02
1.010000003174984e-02	2.755881e-02
1.010000004640667e-02	2.755881e-02
1.010000007572034e-02	2.755880e-02
1.010000013434767e-02	2.755879e-02
1.010000025160235e-02	2.755877e-02
1.010000048611170e-02	2.755873e-02
1.010000095513040e-02	2.755865e-02
1.010000189316781e-02	2.755851e-02
1.010000376924262e-02	2.755826e-02
1.010000752139224e-02	2.755777e-02
1.010001502569149e-02	2.755680e-02
1.010003003428998e-02	2.755470e-02
1.010006005148696e-02	2.752680e-02
1.010009753211051e-02	2.754882e-02
1.010013481468419e-02	2.754855e-02
1.010016932898103e-02	2.754846e-02
1.010020244564704e-02	2.754768e-02
1.010024720838618e-02	2.754588e-02
1.010031209853164e-02	2.754114e-02
1.010032396863817e-02	2.754010e-02
1.010034770885123e-02	2.753783e-02
1.010039518927734e-02	2.753309e-02
1.010049015012957e-02	2.752352e-02
1.010068007183403e-02	2.750435e-02
1.010105991524294e-02	2.746600e-02
1.010149963079779e-02	2.742166e-02
1.010205400780350e-02	2.736582e-02
1.010276888874557e-02	2.729395e-02
1.010395386368687e-02	2.717513e-02
1.010624025612048e-02	2.694704e-02
1.011081304098769e-02	2.649564e-02
1.011995861072211e-02	2.561273e-02
1.012995861072211e-02	2.467755e-02
1.013995861072211e-02	2.377160e-02
1.014995861072211e-02	2.288868e-02
1.015995861072211e-02	2.200957e-02
1.016995861072211e-02	2.089719e-02
1.017995861072211e-02	1.810198e-02
1.018995861072211e-02	1.559248e-02
1.019995861072211e-02	1.434430e-02
1.020995861072211e-02	1.426809e-02
1.021995861072211e-02	1.388380e-02
1.022995861072211e-02	1.350967e-02
1.023995861072211e-02	1.317135e-02
1.024995861072211e-02	1.291124e-02
1.025995861072211e-02	1.282362e-02
1.026995861072211e-02	1.308082e-02
1.027995861072211e-02	1.401127e-02
1.028995861072211e-02	1.618513e-02
1.029995861072211e-02	2.334142e-02
1.030995861072211e-02	3.668746e-02
1.031995861072211e-02	5.354444e-02
1.032995861072211e-02	7.273751e-02
1.033995861072211e-02	9.276076e-02
1.034995861072211e-02	1.106669e-01
1.035995861072211e-02	1.147845e-01
1.036995861072211e-02	1.107882e-01
1.037995861072211e-02	1.049967e-01
1.038995861072211e-02	8.350215e-02
1.039995861072211e-02	4.842763e-02
1.040995861072211e-02	2.252267e-02
1.041995861072211e-02	6.489427e-03
1.042995861072211e-02	-3.578790e-06
1.043995861072211e-02	2.779665e-05
1.044995861072211e-02	-5.991715e-06
1.045995861072211e-02	2.717643e-05
1.046995861072211e-02	-6.277767e-06
1.047995861072211e-02	2.682443e-05
1.048995861072211e-02	-6.606264e-06
1.049995861072211e-02	2.648627e-05
1.050995861072211e-02	-6.918414e-06
1.051995861072211e-02	2.616617e-05
1.052995861072211e-02	-7.213822e-06
1.053995861072211e-02	2.586298e-05
1.054995861072211e-02	-7.493374e-06
1.055995861072211e-02	2.557580e-05
1.056995861072211e-02	-7.759888e-06
1.057995861072211e-02	2.529471e-05
1.058995861072211e-02	-8.027847e-06
1.059995861072211e-02	2.501374e-05
1.060995861072211e-02	-8.291582e-06
1.061995861072211e-02	2.474080e-05
1.062995861072211e-02	-8.545366e-06
1.063995861072211e-02	2.447981e-05
1.064995861072211e-02	-8.786572e-06
1.065995861072211e-02	2.423243e-05
1.066995861072211e-02	-9.017228e-06
1.067995861072211e-02	2.398815e-05
1.068995861072211e-02	-9.250040e-06
1.069995861072211e-02	2.374471e-05
1.070995861072211e-02	-9.477687e-06
1.071995861072211e-02	2.351015e-05
1.072995861072211e-02	-9.694611e-06
1.073995861072211e-02	2.328818e-05
1.074995861072211e-02	-9.898348e-06
1.075995861072211e-02	2.308028e-05
1.076995861072211e-02	-1.008802e-05
1.077995861072211e-02	2.288680e-05
1.078995861072211e-02	-1.026361e-05
1.079995861072211e-02	2.270746e-05
1.080995861072211e-02	-1.042555e-05
1.081995861072211e-02	2.254162e-05
1.082995861072211e-02	-1.057456e-05
1.083995861072211e-02	2.238849e-05
1.084995861072211e-02	-1.071147e-05
1.085995861072211e-02	2.224718e-05
1.086995861072211e-02	-1.083715e-05
1.087995861072211e-02	2.211680e-05
1.088995861072211e-02	-1.095250e-05
1.089995861072211e-02	2.199644e-05
1.090995861072211e-02	-1.105837e-05
1.091995861072211e-02	2.188527e-05
1.092995861072211e-02	-1.115556e-05
1.093995861072211e-02	2.178251e-05
1.094995861072211e-02	-1.124483e-05
1.095995861072211e-02	2.168740e-05
1.096995861072211e-02	-1.132688e-05
1.097995861072211e-02	2.159927e-05
1.098995861072211e-02	-1.140236e-05
1.099995861072211e-02	2.151751e-05
1.100000000100000e-02	-1.097868e-05
1.100000000200000e-02	-1.327264e-05
1.100000001800000e-02	-1.017868e-05
1.100000005000000e-02	-8.052121e-06
1.100000011400000e-02	-2.601882e-06
1.100000024200000e-02	8.373801e-07
1.100000049800000e-02	4.832863e-06
1.100000101000000e-02	4.560636e-06
1.100000203400000e-02	5.466629e-06
1.100000408200000e-02	4.480733e-06
1.100000817800000e-02	5.507007e-06
1.100001637000000e-02	4.513338e-06
1.100003275400001e-02	5.546104e-06
1.100006552200002e-02	4.530321e-06
1.100013105800003e-02	5.548811e-06
1.100026213000006e-02	4.528939e-06
1.100052427400013e-02	5.547616e-06
1.100104856200025e-02	4.525914e-06
1.100209713800050e-02	5.541876e-06
1.100419429000100e-02	4.514349e-06
1.100838859400201e-02	5.519048e-06
1.101677720200402e-02	4.469565e-06
1.102677720200402e-02	5.455364e-06
1.103677720200402e-02	4.402675e-06
1.104677720200402e-02	5.390965e-06
1.105677720200402e-02	4.340641e-06
1.106677720200402e-02	5.331204e-06
1.107677720200402e-02	4.283037e-06
1.108677720200402e-02	5.275677e-06
1.109677720200402e-02	4.229480e-06
1.110677720200402e-02	5.224019e-06
1.111677720200402e-02	4.179624e-06
1.112677720200402e-02	5.175901e-06
1.113677720200402e-02	4.133155e-06
1.114677720200402e-02	5.131025e-06
1.115677720200402e-02	4.089790e-06
1.116677720200402e-02	5.089123e-06
1.117677720200402e-02	4.049275e-06
1.118677720200402e-02	5.049952e-06
1.119677720200402e-02	4.011377e-06
1.120677720200402e-02	5.013291e-06
1.121677720200402e-02	3.975889e-06
1.122677720200402e-02	4.978944e-06
1.123677720200402e-02	3.942622e-06
1.124677720200402e-02	4.946728e-06
1.125677720200402e-02	3.911404e-06
1.126677720200402e-02	4.916483e-06
1.127677720200402e-02	3.882079e-06
1.128677720200402e-02	4.888058e-06
1.129677720200402e-02	3.854506e-06
1.130677720200402e-02	4.861319e-06
1.131677720200402e-02	3.828556e-06
1.132677720200402e-02	4.836144e-06
1.133677720200402e-02	3.804113e-06
1.134677720200402e-02	4.812421e-06
1.135677720200402e-02	3.781069e-06
1.136677720200402e-02	4.790047e-06
1.137677720200402e-02	3.759327e-06
1.138677720200402e-02	4.768929e-06
1.139677720200402e-02	3.738798e-06
1.140677720200402e-02	4.748981e-06
1.141677720200402e-02	3.719399e-06
1.142677720200402e-02	4.730126e-06
1.143677720200402e-02	3.701055e-06
1.144677720200402e-02	4.712291e-06
1.145677720200402e-02	3.683698e-06
1.146677720200402e-02	4.695410e-06
1.147677720200402e-02	3.667264e-06
1.148677720200402e-02	4.679423e-06
1.149677720200402e-02	3.651694e-06
1.150677720200402e-02	4.664272e-06
1.151677720200402e-02	3.636936e-06
1.152677720200402e-02	4.649906e-06
1.153677720200402e-02	3.622938e-06
1.154677720200402e-02	4.636278e-06
1.155677720200402e-02	3.609654e-06
1.156677720200402e-02	4.623343e-06
1.157677720200402e-02	3.597043e-06
1.158677720200402e-02	4.611060e-06
1.159677720200402e-02	3.585065e-06
1.160677720200402e-02	4.599392e-06
1.161677720200402e-02	3.573683e-06
1.162677720200402e-02	4.588302e-06
1.163677720200402e-02	3.562864e-06
1.164677720200402e-02	4.577759e-06
1.165677720200402e-02	3.552576e-06
1.166677720200402e-02	4.567732e-06
1.167677720200402e-02	3.542790e-06
1.168677720200402e-02	4.558194e-06
1.169677720200402e-02	3.533479e-06
1.170677720200402e-02	4.549118e-06
1.171677720200402e-02	3.524619e-06
1.172677720200402e-02	4.540481e-06
1.173677720200402e-02	3.516186e-06
1.174677720200402e-02	4.532260e-06
1.175677720200402e-02	3.508159e-06
1.176677720200402e-02	4.524435e-06
1.177677720200402e-02	3.500518e-06
1.178677720200402e-02	4.516987e-06
1.179677720200402e-02	3.493246e-06
1.180677720200402e-02	4.509900e-06
1.181677720200402e-02	3.486326e-06
1.182677720200402e-02	4.503157e-06
1.183677720200402e-02	3.479744e-06
1.184677720200402e-02	4.496746e-06
1.185677720200402e-02	3.473486e-06
1.186677720200402e-02	4.490653e-06
1.187677720200402e-02	3.467542e-06
1.188677720200402e-02	4.484868e-06
1.189677720200402e-02	3.461902e-06
1.190677720200402e-02	4.479383e-06
1.191677720200402e-02	3.456556e-06
1.192677720200402e-02	4.474189e-06
1.193677720200402e-02	3.451499e-06
1.194677720200402e-02	4.469281e-06
1.195677720200402e-02	3.446726e-06
1.196677720200402e-02	4.464654e-06
1.197677720200402e-02	3.442232e-06
1.198677720200402e-02	4.460305e-06
1.199677720200402e-02	3.438013e-06
1.200677720200402e-02	4.456229e-06
1.201677720200402e-02	3.434067e-06
1.202677720200402e-02	4.452423e-06
1.203677720200402e-02	3.430386e-06
1.204677720200402e-02	4.448877e-06
1.205677720200402e-02	3.426958e-06
1.206677720200402e-02	4.445575e-06
1.207677720200402e-02	3.423763e-06
1.208677720200402e-02	4.442490e-06
1.209677720200402e-02	3.420765e-06
1.210677720200402e-02	4.439579e-06
1.211677720200402e-02	3.417915e-06
1.212677720200402e-02	4.436787e-06
1.213677720200402e-02	3.415149e-06
1.214677720200402e-02	4.434043e-06
1.215677720200402e-02	3.412399e-06
1.216677720200402e-02	4.431283e-06
1.217677720200402e-02	3.409604e-06
1.218677720200402e-02	4.428456e-06
1.219677720200402e-02	3.406725e-06
1.220677720200402e-02	4.425535e-06
1.221677720200402e-02	3.403750e-06
1.222677720200402e-02	4.422522e-06
1.223677720200402e-02	3.400693e-06
1.224677720200402e-02	4.419440e-06
1.225677720200402e-02	3.397582e-06
1.226677720200402e-02	4.416320e-06
1.227677720200402e-02	3.394450e-06
1.228677720200402e-02	4.413197e-06
1.229677720200402e-02	3.391329e-06
1.230677720200402e-02	4.410097e-06
1.231677720200402e-02	3.388245e-06
1.232677720200402e-02	4.407045e-06
1.233677720200402e-02	3.385216e-06
1.234677720200402e-02	4.404055e-06
1.235677720200402e-02	3.382257e-06
1.236677720200402e-02	4.401140e-06
1.237677720200402e-02	3.379376e-06
1.238677720200402e-02	4.398306e-06
1.239677720200402e-02	3.376578e-06
1.240677720200402e-02	4.395557e-06
1.241677720200402e-02	3.373865e-06
1.242677720200402e-02	4.392893e-06
1.243677720200402e-02	3.371239e-06
1.244677720200402e-02	4.390315e-06
1.245677720200402e-02	3.368697e-06
1.246677720200402e-02	4.387822e-06
1.247677720200402e-02	3.366240e-06
1.248677720200402e-02	4.385412e-06
1.249677720200402e-02	3.363865e-06
1.250677720200402e-02	4.383082e-06
1.251677720200402e-02	3.361569e-06
1.252677720200402e-02	4.380832e-06
1.253677720200402e-02	3.359350e-06
1.254677720200402e-02	4.378656e-06
1.255677720200402e-02	3.357206e-06
1.256677720200402e-02	4.376554e-06
1.257677720200402e-02	3.355134e-06
1.258677720200402e-02	4.374524e-06
1.259677720200402e-02	3.353131e-06
1.260677720200402e-02	4.372560e-06
1.261677720200402e-02	3.351195e-06
1.262677720200402e-02	4.370663e-06
1.263677720200402e-02	3.349324e-06
1.264677720200402e-02	4.368828e-06
1.265677720200402e-02	3.347514e-06
1.266677720200402e-02	4.367055e-06
1.267677720200402e-02	3.345765e-06
1.268677720200402e-02	4.365340e-06
1.269677720200402e-02	3.344072e-06
1.270677720200402e-02	4.363681e-06
1.271677720200402e-02	3.342436e-06
1.272677720200402e-02	4.362078e-06
1.273677720200402e-02	3.340852e-06
1.274677720200402e-02	4.360526e-06
1.275677720200402e-02	3.339320e-06
1.276677720200402e-02	4.359024e-06
1.277677720200402e-02	3.337837e-06
1.278677720200402e-02	4.357571e-06
1.279677720200402e-02	3.336402e-06
1.280677720200402e-02	4.356165e-06
1.281677720200402e-02	3.335012e-06
1.282677720200402e-02	4.354804e-06
1.283677720200402e-02	3.333668e-06
1.284677720200402e-02	4.353486e-06
1.285677720200402e-02	3.332365e-06
1.286677720200402e-02	4.352211e-06
