Save Time:,2026-05-11 12:52:02,,,
,,CH1,CH2,
Frequency:,,?,?,
Period:,,?,?,
SP:,,500.000 uS,500.000 uS,
PK-PK:,,3.720 V,3.960 V,
,,,,
Units:(mV),Tiempo,S,G,VGS
631,315000.000us,3040,960,-2080
632,315500.000us,3000,920,-2080
633,316000.000us,3040,960,-2080
634,316500.000us,3080,920,-2160
635,317000.000us,3080,1000,-2080
636,317500.000us,3040,920,-2120
637,318000.000us,3040,960,-2080
638,318500.000us,3080,960,-2120
639,319000.000us,3320,1040,-2280
640,319500.000us,3040,960,-2080
641,320000.000us,3320,1000,-2320
642,320500.000us,3360,1000,-2360
643,321000.000us,3520,1120,-2400
644,321500.000us,3360,1000,-2360
645,322000.000us,3480,1120,-2360
646,322500.000us,3520,1120,-2400
647,323000.000us,3520,1120,-2400
648,323500.000us,3240,1000,-2240
649,324000.000us,3240,1040,-2200
650,324500.000us,3280,1000,-2280
651,325000.000us,3280,1000,-2280
652,325500.000us,3000,920,-2080
653,326000.000us,3040,960,-2080
654,326500.000us,2960,920,-2040
655,327000.000us,3000,960,-2040
656,327500.000us,2960,920,-2040
657,328000.000us,2960,960,-2000
658,328500.000us,2960,960,-2000
659,329000.000us,3000,960,-2040
660,329500.000us,2960,880,-2080
661,330000.000us,3000,920,-2080
662,330500.000us,2960,960,-2000
663,331000.000us,3000,960,-2040
664,331500.000us,2960,920,-2040
665,332000.000us,3000,960,-2040
666,332500.000us,2960,920,-2040
667,333000.000us,3040,960,-2080
668,333500.000us,2960,920,-2040
669,334000.000us,3000,960,-2040
670,334500.000us,3040,920,-2120
671,335000.000us,3040,960,-2080
672,335500.000us,2960,920,-2040
673,336000.000us,3000,960,-2040
674,336500.000us,3040,960,-2080
675,337000.000us,3080,1000,-2080
676,337500.000us,3040,960,-2080
677,338000.000us,3040,960,-2080
678,338500.000us,3040,960,-2080
679,339000.000us,3320,1080,-2240
680,339500.000us,3040,920,-2120
681,340000.000us,3320,1040,-2280
682,340500.000us,3320,1040,-2280
683,341000.000us,3520,1120,-2400
684,341500.000us,3320,1040,-2280
685,342000.000us,3520,1120,-2400
686,342500.000us,3520,1080,-2440
687,343000.000us,3520,1120,-2400
688,343500.000us,3360,1000,-2360
689,344000.000us,3360,1000,-2360
690,344500.000us,3240,1000,-2240
691,345000.000us,3280,1040,-2240
692,345500.000us,2960,920,-2040
693,346000.000us,2960,920,-2040
694,346500.000us,3000,920,-2080
695,347000.000us,3000,960,-2040
696,347500.000us,2960,920,-2040
697,348000.000us,2960,920,-2040
698,348500.000us,3000,960,-2040
699,349000.000us,3000,960,-2040
700,349500.000us,2920,920,-2000
701,350000.000us,2960,920,-2040
702,350500.000us,3000,920,-2080
703,351000.000us,3000,960,-2040
704,351500.000us,2960,920,-2040
705,352000.000us,3000,920,-2080
706,352500.000us,3000,960,-2040
707,353000.000us,3040,960,-2080
708,353500.000us,3000,920,-2080
709,354000.000us,3000,960,-2040
710,354500.000us,2960,920,-2040
711,355000.000us,3040,960,-2080
712,355500.000us,2960,920,-2040
713,356000.000us,3000,920,-2080
714,356500.000us,3040,960,-2080
715,357000.000us,3080,1000,-2080
716,357500.000us,3000,920,-2080
717,358000.000us,3040,960,-2080
718,358500.000us,3080,960,-2120
719,359000.000us,3320,1040,-2280
720,359500.000us,3040,920,-2120
721,360000.000us,3320,1040,-2280
722,360500.000us,3360,1080,-2280
723,361000.000us,3520,1120,-2400
724,361500.000us,3360,1040,-2320
725,362000.000us,3520,1120,-2400
726,362500.000us,3520,1080,-2440
727,363000.000us,3520,1080,-2440
728,363500.000us,3280,1000,-2280
729,364000.000us,3280,1040,-2240
730,364500.000us,3320,1040,-2280
731,365000.000us,3320,1040,-2280
732,365500.000us,2960,920,-2040
733,366000.000us,3000,920,-2080
734,366500.000us,3000,960,-2040
735,367000.000us,3000,960,-2040
736,367500.000us,2960,920,-2040
737,368000.000us,3000,920,-2080
