time	Ix(M3:D)
1.007808058598839e-02	-3.869852e-05
1.008808058598839e-02	-3.729959e-05
1.009808058598839e-02	-3.590246e-05
1.010000000000000e-02	-3.564254e-05
1.010000000100000e-02	-3.564253e-05
1.010000001700000e-02	-3.564245e-05
1.010000004900000e-02	-3.564260e-05
1.010000011300000e-02	-3.564291e-05
1.010000024100000e-02	-3.564316e-05
1.010000049700000e-02	-3.564262e-05
1.010000100900000e-02	-3.563934e-05
1.010000203300000e-02	-3.563024e-05
1.010000408100000e-02	-3.561547e-05
1.010000817700000e-02	-3.560393e-05
1.010001636900000e-02	-3.560549e-05
1.010003275300001e-02	-3.561522e-05
1.010006552100002e-02	-3.561970e-05
1.010013105700003e-02	-3.561317e-05
1.010026212900006e-02	-3.559470e-05
1.010052427300013e-02	-3.555767e-05
1.010104856100025e-02	-3.548369e-05
1.010209713700050e-02	-3.533594e-05
1.010419428900100e-02	-3.504150e-05
1.010838859300201e-02	-3.445834e-05
1.011677720100402e-02	-3.331509e-05
1.012677720100402e-02	-3.199707e-05
1.013677720100402e-02	-3.074837e-05
1.014677720100401e-02	-2.960109e-05
1.015677720100402e-02	-2.854647e-05
1.016677720100402e-02	-2.740313e-05
1.017677720100402e-02	-2.576711e-05
1.018677720100401e-02	-2.368972e-05
1.019677720100402e-02	-2.200019e-05
1.020642687875436e-02	-2.121519e-05
1.021642687875436e-02	-2.099432e-05
1.022642687875436e-02	-2.164963e-05
1.023642687875436e-02	-2.349569e-05
1.024642687875436e-02	-2.458653e-05
1.025642687875436e-02	-2.440679e-05
1.026642687875436e-02	-2.421305e-05
1.027642687875436e-02	-2.400738e-05
1.028642687875436e-02	-2.379243e-05
1.029642687875436e-02	-2.357089e-05
1.030642687875436e-02	-2.334265e-05
1.031642687875436e-02	-2.310798e-05
1.032642687875436e-02	-2.286305e-05
1.033642687875436e-02	-2.259968e-05
1.034642687875436e-02	-2.228374e-05
1.035642687875436e-02	-2.174000e-05
1.036642687875436e-02	-2.118607e-05
1.037642687875436e-02	-2.090512e-05
1.038642687875436e-02	-2.069996e-05
1.039642687875436e-02	-2.039853e-05
1.040642687875436e-02	-1.947652e-05
1.041642687875436e-02	-1.853007e-05
1.042641835458377e-02	-1.822494e-05
1.043641835458377e-02	-1.751380e-05
