time	Ix(M3:S)
2.066777201000463e-03	-8.572994e-06
2.076777201000463e-03	-8.572824e-06
2.086777201000463e-03	-8.572661e-06
2.096777201000463e-03	-8.572507e-06
2.106777201000463e-03	-8.572360e-06
2.116777201000463e-03	-8.572220e-06
2.126777201000463e-03	-8.572087e-06
2.136777201000463e-03	-8.571960e-06
2.146777201000463e-03	-8.571839e-06
2.156777201000463e-03	-8.571724e-06
2.166777201000463e-03	-8.571615e-06
2.176777201000463e-03	-8.571511e-06
2.186777201000463e-03	-8.571411e-06
2.196777201000463e-03	-8.571317e-06
2.206777201000463e-03	-8.571227e-06
2.216777201000463e-03	-8.571142e-06
2.226777201000463e-03	-8.571061e-06
2.236777201000463e-03	-8.570983e-06
2.246777201000463e-03	-8.570910e-06
2.256777201000463e-03	-8.570840e-06
2.266777201000463e-03	-8.570773e-06
2.276777201000463e-03	-8.570710e-06
2.286777201000463e-03	-8.570649e-06
2.296777201000463e-03	-8.570591e-06
2.306777201000463e-03	-8.570537e-06
2.316777201000463e-03	-8.570484e-06
2.326777201000463e-03	-8.570434e-06
2.336777201000463e-03	-8.570388e-06
2.346777201000463e-03	-8.570343e-06
2.356777201000463e-03	-8.570300e-06
2.366777201000463e-03	-8.570260e-06
2.376777201000463e-03	-8.570220e-06
2.386777201000463e-03	-8.570183e-06
2.396777201000463e-03	-8.570149e-06
2.406777201000463e-03	-8.570115e-06
2.416777201000463e-03	-8.570083e-06
2.426777201000463e-03	-8.570053e-06
2.436777201000463e-03	-8.570024e-06
2.446777201000463e-03	-8.569997e-06
2.456777201000463e-03	-8.569970e-06
2.466777201000463e-03	-8.569946e-06
2.476777201000463e-03	-8.569922e-06
2.486777201000463e-03	-8.569899e-06
2.496777201000463e-03	-8.569878e-06
2.506777201000463e-03	-8.569858e-06
2.516777201000463e-03	-8.569838e-06
2.526777201000463e-03	-8.569820e-06
2.536777201000463e-03	-8.569803e-06
2.546777201000463e-03	-8.569786e-06
2.556777201000463e-03	-8.569770e-06
2.566777201000463e-03	-8.569755e-06
