time	Ix(M3:D)
9.516777201000462e-03	-5.182748e-06
9.526777201000463e-03	-5.182748e-06
9.536777201000463e-03	-5.182748e-06
9.546777201000462e-03	-5.182748e-06
9.556777201000462e-03	-5.182748e-06
9.566777201000463e-03	-5.182748e-06
9.576777201000463e-03	-5.182748e-06
9.586777201000462e-03	-5.182748e-06
9.596777201000462e-03	-5.182748e-06
9.606777201000463e-03	-5.182748e-06
9.616777201000463e-03	-5.182748e-06
9.626777201000462e-03	-5.182748e-06
9.636777201000462e-03	-5.182748e-06
9.646777201000462e-03	-5.182748e-06
9.656777201000463e-03	-5.182748e-06
9.666777201000462e-03	-5.182748e-06
9.676777201000462e-03	-5.182748e-06
9.686777201000462e-03	-5.182748e-06
9.696777201000463e-03	-5.182748e-06
9.706777201000463e-03	-5.182748e-06
9.716777201000462e-03	-5.182748e-06
9.726777201000462e-03	-5.182748e-06
9.736777201000463e-03	-5.182748e-06
9.746777201000463e-03	-5.182748e-06
9.756777201000462e-03	-5.182748e-06
9.766777201000462e-03	-5.182748e-06
9.776777201000463e-03	-5.182748e-06
9.786777201000463e-03	-5.182748e-06
9.796777201000462e-03	-5.182748e-06
9.806777201000462e-03	-5.182748e-06
9.816777201000462e-03	-5.182748e-06
9.826777201000463e-03	-5.182748e-06
9.836777201000462e-03	-5.182748e-06
9.846777201000462e-03	-5.182748e-06
9.856777201000462e-03	-5.182748e-06
9.866777201000463e-03	-5.182748e-06
9.876777201000463e-03	-5.182748e-06
9.886777201000462e-03	-5.182748e-06
9.896777201000462e-03	-5.182748e-06
9.906777201000463e-03	-5.182748e-06
9.916777201000463e-03	-5.182748e-06
9.926777201000462e-03	-5.182748e-06
9.936777201000462e-03	-5.182748e-06
9.946777201000463e-03	-5.182748e-06
9.956777201000463e-03	-5.182748e-06
9.966777201000462e-03	-5.182748e-06
9.976777201000462e-03	-5.182748e-06
9.986777201000462e-03	-5.182748e-06
9.996777201000463e-03	-5.182748e-06
1.000000000000000e-02	-5.182570e-06
1.000000000100000e-02	-5.182565e-06
1.000000000200000e-02	-5.182565e-06
1.000000000440036e-02	-5.182562e-06
1.000000000670974e-02	-5.182535e-06
1.000000001132851e-02	-5.182485e-06
1.000000002056605e-02	-5.182394e-06
1.000000003904114e-02	-5.182215e-06
1.000000007599130e-02	-5.181853e-06
1.000000014989163e-02	-5.181115e-06
1.000000029769228e-02	-5.179600e-06
1.000000059329359e-02	-5.176434e-06
1.000000118449621e-02	-5.169625e-06
1.000000236690145e-02	-5.154513e-06
1.000000473171193e-02	-5.120548e-06
1.000000946133288e-02	-5.046116e-06
1.000001768974453e-02	-4.910939e-06
1.000002963193180e-02	-4.693575e-06
1.000005351630633e-02	-2.778151e-06
1.000010099211722e-02	4.145944e-07
1.000015399174585e-02	-2.876033e-06
1.000020605492801e-02	-7.053126e-06
1.000026204290272e-02	-9.267799e-06
1.000031701510436e-02	-1.088137e-05
1.000042695950766e-02	-1.286284e-05
1.000045444560848e-02	-1.310342e-05
1.000050941781013e-02	-1.332275e-05
1.000061936221343e-02	-1.391029e-05
1.000083925102003e-02	-1.526047e-05
1.000118355096460e-02	-1.717169e-05
1.000178014341608e-02	-1.939072e-05
1.000250495157335e-02	-2.057010e-05
1.000264196014571e-02	-2.058506e-05
1.000291597729044e-02	-2.042381e-05
1.000346401157991e-02	-2.004455e-05
1.000456008015883e-02	-1.926089e-05
1.000675221731669e-02	-1.792200e-05
1.000947219981180e-02	-1.672068e-05
1.001364843820815e-02	-1.528030e-05
1.001755033682126e-02	-1.400498e-05
1.002032578569307e-02	-1.332141e-05
1.002167795163884e-02	-1.320522e-05
1.002254909616907e-02	-1.321931e-05
1.002341866838804e-02	-1.324517e-05
1.002430851605936e-02	-1.326973e-05
1.002540613345165e-02	-1.329692e-05
1.002662233916394e-02	-1.332506e-05
1.002792091211630e-02	-1.335143e-05
1.003007300112240e-02	-1.338723e-05
1.003211722098293e-02	-1.340628e-05
1.003620566070400e-02	-1.340155e-05
1.004137179319014e-02	-1.333527e-05
1.005137179319014e-02	-1.312301e-05
1.006137179319014e-02	-1.288653e-05
1.007137179319014e-02	-1.265876e-05
1.008137179319014e-02	-1.245068e-05
1.009137179319014e-02	-1.225916e-05
1.010000000000000e-02	-1.208299e-05
1.010000000100000e-02	-1.208298e-05
1.010000001700000e-02	-1.208292e-05
1.010000004900000e-02	-1.208321e-05
1.010000011300000e-02	-1.208373e-05
1.010000024100000e-02	-1.208471e-05
1.010000049700000e-02	-1.208690e-05
1.010000100900000e-02	-1.209126e-05
1.010000203300000e-02	-1.209784e-05
1.010000408100000e-02	-1.210460e-05
1.010000817700000e-02	-1.210906e-05
1.010001636900000e-02	-1.211050e-05
1.010003275300001e-02	-1.210855e-05
1.010006552100002e-02	-1.210410e-05
1.010013105700003e-02	-1.210047e-05
1.010026212900006e-02	-1.209797e-05
1.010052427300013e-02	-1.209352e-05
1.010104856100025e-02	-1.208451e-05
1.010209713700050e-02	-1.206660e-05
1.010419428900100e-02	-1.203114e-05
1.010838859300201e-02	-1.196183e-05
1.011677720100402e-02	-1.182830e-05
1.012677720100402e-02	-1.167726e-05
1.013677720100402e-02	-1.153795e-05
1.014677720100401e-02	-1.145363e-05
1.015277249717158e-02	-1.156833e-05
1.015622030427478e-02	-1.179287e-05
1.015961392130058e-02	-1.205722e-05
1.016248218470478e-02	-1.221470e-05
1.016508545514827e-02	-1.231948e-05
1.017029199603526e-02	-1.252451e-05
1.018029199603526e-02	-1.297528e-05
1.019029199603526e-02	-1.376880e-05
1.020029199603526e-02	-1.557086e-05
1.021029199603526e-02	-1.689937e-05
1.022029199603526e-02	-1.710714e-05
1.023029199603526e-02	-1.734473e-05
1.024029199603526e-02	-1.751929e-05
1.025029199603526e-02	-1.767027e-05
1.026029199603526e-02	-1.780288e-05
1.027029199603526e-02	-1.791814e-05
1.028029199603526e-02	-1.801778e-05
1.029029199603526e-02	-1.810203e-05
1.030029199603526e-02	-1.816827e-05
1.031029199603526e-02	-1.820616e-05
1.032029199603526e-02	-1.816597e-05
1.033029199603526e-02	-1.791206e-05
1.034029199603526e-02	-1.774874e-05
1.035029199603526e-02	-1.783459e-05
1.036029199603526e-02	-1.789171e-05
1.037029199603526e-02	-1.751178e-05
1.038029199603526e-02	-1.681476e-05
1.039029199603526e-02	-1.654350e-05
1.040029199603526e-02	-1.579606e-05
1.041029199603526e-02	-1.440368e-05
1.042029199603526e-02	-1.360987e-05
1.043029199603526e-02	-1.220759e-05
1.044029199603526e-02	-1.000047e-05
1.045029199603526e-02	-9.943315e-06
1.046029199603526e-02	-1.157527e-05
1.047029199603526e-02	-1.226532e-05
1.048029199603526e-02	-1.222204e-05
1.049029199603526e-02	-1.215250e-05
1.050029199603526e-02	-1.208703e-05
1.051029199603526e-02	-1.202160e-05
1.052029199603526e-02	-1.195745e-05
1.053029199603526e-02	-1.189428e-05
1.054029199603526e-02	-1.183212e-05
1.055029199603526e-02	-1.177096e-05
1.056029199603526e-02	-1.171079e-05
1.057029199603526e-02	-1.165160e-05
1.058029199603526e-02	-1.159337e-05
1.059029199603526e-02	-1.153609e-05
1.060029199603526e-02	-1.147975e-05
1.061029199603526e-02	-1.142432e-05
1.062029199603526e-02	-1.136980e-05
1.063029199603526e-02	-1.131524e-05
1.064029199603526e-02	-1.125904e-05
1.065029199603526e-02	-1.120083e-05
1.066029199603526e-02	-1.114135e-05
1.067029199603526e-02	-1.108131e-05
1.068029199603526e-02	-1.102126e-05
1.069029199603526e-02	-1.096157e-05
1.070029199603526e-02	-1.090252e-05
1.071029199603526e-02	-1.084427e-05
1.072029199603526e-02	-1.078699e-05
1.073029199603526e-02	-1.073076e-05
1.074029199603526e-02	-1.067567e-05
1.075029199603526e-02	-1.062175e-05
1.076029199603526e-02	-1.056903e-05
1.077029199603526e-02	-1.051752e-05
1.078029199603526e-02	-1.046725e-05
1.079029199603526e-02	-1.041817e-05
1.080029199603526e-02	-1.037032e-05
1.081029199603526e-02	-1.032363e-05
1.082029199603526e-02	-1.027812e-05
1.083029199603526e-02	-1.023374e-05
1.084029199603526e-02	-1.019049e-05
1.085029199603526e-02	-1.014831e-05
1.086029199603526e-02	-1.010721e-05
1.087029199603526e-02	-1.006711e-05
1.088029199603526e-02	-1.002803e-05
1.089029199603526e-02	-9.989891e-06
1.090029199603526e-02	-9.952708e-06
1.091029199603526e-02	-9.916412e-06
1.092029199603526e-02	-9.881009e-06
1.093029199603526e-02	-9.846433e-06
1.094029199603526e-02	-9.812693e-06
1.095029199603526e-02	-9.779725e-06
1.096029199603526e-02	-9.747536e-06
1.097029199603526e-02	-9.716066e-06
1.098029199603526e-02	-9.685322e-06
1.099029199603526e-02	-9.655307e-06
1.100000000100000e-02	-8.805536e-06
1.100000000200000e-02	-8.805395e-06
1.100000001800000e-02	-8.802945e-06
1.100000005000000e-02	-8.802135e-06
1.100000011400000e-02	-8.800223e-06
1.100000024200000e-02	-8.796575e-06
1.100000049800000e-02	-8.792882e-06
1.100000101000000e-02	-8.798002e-06
1.100000203400000e-02	-8.836841e-06
1.100000408200000e-02	-8.945412e-06
1.100000817800000e-02	-9.135099e-06
1.100001637000000e-02	-9.361091e-06
1.100003275400001e-02	-9.540490e-06
1.100006552200002e-02	-9.618269e-06
1.100013105800003e-02	-9.627043e-06
1.100026213000006e-02	-9.625543e-06
1.100052427400013e-02	-9.625101e-06
1.100104856200025e-02	-9.623456e-06
1.100209713800050e-02	-9.620473e-06
1.100419429000100e-02	-9.614398e-06
1.100838859400201e-02	-9.602414e-06
1.101677720200402e-02	-9.578734e-06
1.102677720200402e-02	-9.550999e-06
1.103677720200402e-02	-9.523819e-06
1.104677720200402e-02	-9.497202e-06
1.105677720200402e-02	-9.471128e-06
1.106677720200402e-02	-9.445577e-06
1.107677720200402e-02	-9.420533e-06
1.108677720200402e-02	-9.395978e-06
1.109677720200402e-02	-9.371897e-06
1.110677720200402e-02	-9.348273e-06
1.111677720200402e-02	-9.325093e-06
1.112677720200402e-02	-9.302340e-06
1.113677720200402e-02	-9.280002e-06
1.114677720200402e-02	-9.258065e-06
1.115677720200402e-02	-9.236517e-06
1.116677720200402e-02	-9.215347e-06
1.117677720200402e-02	-9.194541e-06
1.118677720200402e-02	-9.174090e-06
1.119677720200402e-02	-9.153983e-06
1.120677720200402e-02	-9.134210e-06
1.121677720200402e-02	-9.114760e-06
1.122677720200402e-02	-9.095626e-06
1.123677720200402e-02	-9.076798e-06
1.124677720200402e-02	-9.058267e-06
1.125677720200402e-02	-9.040025e-06
1.126677720200402e-02	-9.022066e-06
1.127677720200402e-02	-9.004380e-06
1.128677720200402e-02	-8.986960e-06
1.129677720200402e-02	-8.969801e-06
1.130677720200402e-02	-8.952896e-06
1.131677720200402e-02	-8.936237e-06
1.132677720200402e-02	-8.919820e-06
1.133677720200402e-02	-8.903638e-06
1.134677720200402e-02	-8.887687e-06
1.135677720200402e-02	-8.871961e-06
1.136677720200402e-02	-8.856453e-06
1.137677720200402e-02	-8.841160e-06
1.138677720200402e-02	-8.826077e-06
1.139677720200402e-02	-8.811199e-06
1.140677720200402e-02	-8.796522e-06
1.141677720200402e-02	-8.782043e-06
1.142677720200402e-02	-8.767755e-06
1.143677720200402e-02	-8.753656e-06
1.144677720200402e-02	-8.739744e-06
1.145677720200402e-02	-8.726012e-06
1.146677720200402e-02	-8.712459e-06
1.147677720200402e-02	-8.699080e-06
1.148677720200402e-02	-8.685873e-06
1.149677720200402e-02	-8.672834e-06
1.150677720200402e-02	-8.659962e-06
1.151677720200402e-02	-8.647252e-06
1.152677720200402e-02	-8.634702e-06
1.153677720200402e-02	-8.622310e-06
1.154677720200402e-02	-8.610072e-06
1.155677720200402e-02	-8.597986e-06
1.156677720200402e-02	-8.586051e-06
1.157677720200402e-02	-8.574264e-06
1.158677720200402e-02	-8.562622e-06
1.159677720200402e-02	-8.551123e-06
1.160677720200402e-02	-8.539766e-06
1.161677720200402e-02	-8.528548e-06
1.162677720200402e-02	-8.517468e-06
1.163677720200402e-02	-8.506524e-06
1.164677720200402e-02	-8.495713e-06
1.165677720200402e-02	-8.485034e-06
1.166677720200402e-02	-8.474488e-06
1.167677720200402e-02	-8.464070e-06
1.168677720200402e-02	-8.453779e-06
1.169677720200402e-02	-8.443615e-06
1.170677720200402e-02	-8.433576e-06
1.171677720200402e-02	-8.423660e-06
1.172677720200402e-02	-8.413867e-06
1.173677720200402e-02	-8.404196e-06
1.174677720200402e-02	-8.394645e-06
1.175677720200402e-02	-8.385213e-06
1.176677720200402e-02	-8.375899e-06
1.177677720200402e-02	-8.366703e-06
1.178677720200402e-02	-8.357623e-06
1.179677720200402e-02	-8.348659e-06
1.180677720200402e-02	-8.339810e-06
1.181677720200402e-02	-8.331076e-06
1.182677720200402e-02	-8.322456e-06
1.183677720200402e-02	-8.313949e-06
1.184677720200402e-02	-8.305556e-06
1.185677720200402e-02	-8.297275e-06
1.186677720200402e-02	-8.289107e-06
1.187677720200402e-02	-8.281051e-06
1.188677720200402e-02	-8.273108e-06
1.189677720200402e-02	-8.265276e-06
1.190677720200402e-02	-8.257557e-06
1.191677720200402e-02	-8.249951e-06
1.192677720200402e-02	-8.242458e-06
1.193677720200402e-02	-8.235078e-06
1.194677720200402e-02	-8.227813e-06
1.195677720200402e-02	-8.220662e-06
1.196677720200402e-02	-8.213626e-06
