time	Ix(M3:S)
6.326777201000462e-03	-5.182749e-06
6.336777201000463e-03	-5.182749e-06
6.346777201000462e-03	-5.182749e-06
6.356777201000463e-03	-5.182749e-06
6.366777201000462e-03	-5.182749e-06
6.376777201000463e-03	-5.182749e-06
6.386777201000463e-03	-5.182749e-06
6.396777201000463e-03	-5.182749e-06
6.406777201000463e-03	-5.182749e-06
6.416777201000463e-03	-5.182749e-06
6.426777201000463e-03	-5.182749e-06
6.436777201000462e-03	-5.182749e-06
6.446777201000463e-03	-5.182749e-06
6.456777201000462e-03	-5.182749e-06
6.466777201000463e-03	-5.182749e-06
6.476777201000462e-03	-5.182749e-06
6.486777201000463e-03	-5.182749e-06
6.496777201000462e-03	-5.182749e-06
6.506777201000463e-03	-5.182749e-06
6.516777201000462e-03	-5.182749e-06
6.526777201000463e-03	-5.182749e-06
6.536777201000462e-03	-5.182749e-06
6.546777201000463e-03	-5.182749e-06
6.556777201000463e-03	-5.182749e-06
6.566777201000463e-03	-5.182749e-06
6.576777201000463e-03	-5.182749e-06
6.586777201000463e-03	-5.182749e-06
6.596777201000463e-03	-5.182749e-06
6.606777201000462e-03	-5.182749e-06
6.616777201000463e-03	-5.182748e-06
6.626777201000462e-03	-5.182748e-06
6.636777201000463e-03	-5.182749e-06
6.646777201000462e-03	-5.182749e-06
6.656777201000463e-03	-5.182749e-06
6.666777201000462e-03	-5.182749e-06
6.676777201000463e-03	-5.182749e-06
6.686777201000462e-03	-5.182749e-06
6.696777201000463e-03	-5.182748e-06
6.706777201000463e-03	-5.182748e-06
6.716777201000463e-03	-5.182749e-06
6.726777201000463e-03	-5.182749e-06
6.736777201000463e-03	-5.182749e-06
6.746777201000463e-03	-5.182749e-06
6.756777201000462e-03	-5.182748e-06
6.766777201000463e-03	-5.182748e-06
6.776777201000462e-03	-5.182748e-06
6.786777201000463e-03	-5.182748e-06
6.796777201000462e-03	-5.182749e-06
6.806777201000463e-03	-5.182749e-06
6.816777201000462e-03	-5.182748e-06
6.826777201000463e-03	-5.182748e-06
6.836777201000462e-03	-5.182748e-06
6.846777201000463e-03	-5.182748e-06
6.856777201000462e-03	-5.182749e-06
6.866777201000463e-03	-5.182749e-06
6.876777201000463e-03	-5.182748e-06
6.886777201000463e-03	-5.182748e-06
6.896777201000463e-03	-5.182748e-06
6.906777201000463e-03	-5.182748e-06
6.916777201000463e-03	-5.182748e-06
6.926777201000462e-03	-5.182748e-06
6.936777201000463e-03	-5.182748e-06
6.946777201000462e-03	-5.182748e-06
6.956777201000463e-03	-5.182748e-06
6.966777201000462e-03	-5.182748e-06
6.976777201000463e-03	-5.182748e-06
6.986777201000462e-03	-5.182748e-06
6.996777201000463e-03	-5.182748e-06
7.006777201000462e-03	-5.182748e-06
7.016777201000463e-03	-5.182748e-06
7.026777201000462e-03	-5.182748e-06
7.036777201000463e-03	-5.182748e-06
7.046777201000463e-03	-5.182748e-06
7.056777201000463e-03	-5.182748e-06
7.066777201000463e-03	-5.182748e-06
7.076777201000462e-03	-5.182748e-06
7.086777201000463e-03	-5.182748e-06
7.096777201000462e-03	-5.182748e-06
7.106777201000463e-03	-5.182748e-06
7.116777201000462e-03	-5.182748e-06
7.126777201000463e-03	-5.182748e-06
7.136777201000462e-03	-5.182748e-06
7.146777201000463e-03	-5.182748e-06
7.156777201000462e-03	-5.182748e-06
7.166777201000463e-03	-5.182748e-06
7.176777201000462e-03	-5.182748e-06
7.186777201000463e-03	-5.182748e-06
7.196777201000462e-03	-5.182748e-06
7.206777201000463e-03	-5.182748e-06
7.216777201000463e-03	-5.182748e-06
7.226777201000463e-03	-5.182748e-06
7.236777201000463e-03	-5.182748e-06
7.246777201000462e-03	-5.182748e-06
7.256777201000463e-03	-5.182748e-06
7.266777201000462e-03	-5.182748e-06
7.276777201000463e-03	-5.182748e-06
7.286777201000462e-03	-5.182748e-06
7.296777201000463e-03	-5.182748e-06
7.306777201000462e-03	-5.182748e-06
7.316777201000463e-03	-5.182748e-06
7.326777201000462e-03	-5.182748e-06
7.336777201000463e-03	-5.182748e-06
7.346777201000462e-03	-5.182748e-06
7.356777201000463e-03	-5.182748e-06
7.366777201000463e-03	-5.182748e-06
7.376777201000463e-03	-5.182748e-06
7.386777201000463e-03	-5.182748e-06
7.396777201000462e-03	-5.182748e-06
7.406777201000463e-03	-5.182748e-06
7.416777201000462e-03	-5.182748e-06
7.426777201000463e-03	-5.182748e-06
7.436777201000462e-03	-5.182748e-06
7.446777201000463e-03	-5.182748e-06
7.456777201000462e-03	-5.182748e-06
7.466777201000463e-03	-5.182748e-06
7.476777201000462e-03	-5.182748e-06
7.486777201000463e-03	-5.182748e-06
7.496777201000462e-03	-5.182748e-06
7.506777201000463e-03	-5.182748e-06
7.516777201000462e-03	-5.182748e-06
7.526777201000463e-03	-5.182748e-06
7.536777201000463e-03	-5.182748e-06
7.546777201000463e-03	-5.182748e-06
7.556777201000463e-03	-5.182748e-06
7.566777201000462e-03	-5.182748e-06
7.576777201000463e-03	-5.182748e-06
7.586777201000462e-03	-5.182748e-06
7.596777201000463e-03	-5.182748e-06
7.606777201000462e-03	-5.182748e-06
7.616777201000463e-03	-5.182748e-06
7.626777201000462e-03	-5.182748e-06
7.636777201000463e-03	-5.182748e-06
7.646777201000462e-03	-5.182748e-06
7.656777201000463e-03	-5.182748e-06
7.666777201000462e-03	-5.182748e-06
7.676777201000463e-03	-5.182748e-06
7.686777201000462e-03	-5.182748e-06
7.696777201000463e-03	-5.182748e-06
7.706777201000463e-03	-5.182748e-06
7.716777201000462e-03	-5.182748e-06
7.726777201000463e-03	-5.182748e-06
7.736777201000462e-03	-5.182748e-06
7.746777201000463e-03	-5.182748e-06
7.756777201000462e-03	-5.182748e-06
7.766777201000463e-03	-5.182748e-06
7.776777201000462e-03	-5.182748e-06
7.786777201000463e-03	-5.182748e-06
7.796777201000462e-03	-5.182748e-06
7.806777201000463e-03	-5.182748e-06
7.816777201000463e-03	-5.182748e-06
7.826777201000463e-03	-5.182748e-06
7.836777201000462e-03	-5.182748e-06
7.846777201000462e-03	-5.182748e-06
7.856777201000463e-03	-5.182748e-06
7.866777201000463e-03	-5.182748e-06
7.876777201000463e-03	-5.182748e-06
7.886777201000462e-03	-5.182748e-06
7.896777201000462e-03	-5.182748e-06
7.906777201000463e-03	-5.182748e-06
7.916777201000463e-03	-5.182748e-06
7.926777201000462e-03	-5.182748e-06
7.936777201000462e-03	-5.182748e-06
7.946777201000463e-03	-5.182748e-06
7.956777201000463e-03	-5.182748e-06
7.966777201000462e-03	-5.182748e-06
7.976777201000462e-03	-5.182748e-06
7.986777201000463e-03	-5.182748e-06
7.996777201000463e-03	-5.182748e-06
8.006777201000462e-03	-5.182748e-06
8.016777201000462e-03	-5.182748e-06
8.026777201000463e-03	-5.182748e-06
8.036777201000463e-03	-5.182748e-06
8.046777201000463e-03	-5.182748e-06
8.056777201000462e-03	-5.182748e-06
8.066777201000462e-03	-5.182748e-06
8.076777201000463e-03	-5.182748e-06
8.086777201000463e-03	-5.182748e-06
8.096777201000462e-03	-5.182748e-06
8.106777201000462e-03	-5.182748e-06
8.116777201000463e-03	-5.182748e-06
8.126777201000463e-03	-5.182748e-06
8.136777201000462e-03	-5.182748e-06
8.146777201000462e-03	-5.182748e-06
8.156777201000463e-03	-5.182748e-06
8.166777201000463e-03	-5.182748e-06
8.176777201000462e-03	-5.182748e-06
8.186777201000462e-03	-5.182748e-06
8.196777201000462e-03	-5.182748e-06
8.206777201000463e-03	-5.182748e-06
8.216777201000463e-03	-5.182748e-06
8.226777201000462e-03	-5.182748e-06
8.236777201000462e-03	-5.182748e-06
8.246777201000463e-03	-5.182748e-06
8.256777201000463e-03	-5.182748e-06
8.266777201000462e-03	-5.182748e-06
8.276777201000462e-03	-5.182748e-06
8.286777201000463e-03	-5.182748e-06
8.296777201000463e-03	-5.182748e-06
8.306777201000462e-03	-5.182748e-06
8.316777201000462e-03	-5.182748e-06
8.326777201000463e-03	-5.182748e-06
8.336777201000463e-03	-5.182748e-06
8.346777201000462e-03	-5.182748e-06
8.356777201000462e-03	-5.182748e-06
8.366777201000462e-03	-5.182748e-06
8.376777201000463e-03	-5.182748e-06
8.386777201000463e-03	-5.182748e-06
8.396777201000462e-03	-5.182748e-06
8.406777201000462e-03	-5.182748e-06
8.416777201000463e-03	-5.182748e-06
8.426777201000463e-03	-5.182748e-06
8.436777201000462e-03	-5.182748e-06
8.446777201000462e-03	-5.182748e-06
8.456777201000463e-03	-5.182748e-06
8.466777201000463e-03	-5.182748e-06
8.476777201000462e-03	-5.182748e-06
8.486777201000462e-03	-5.182748e-06
8.496777201000463e-03	-5.182748e-06
8.506777201000463e-03	-5.182748e-06
8.516777201000462e-03	-5.182748e-06
8.526777201000462e-03	-5.182748e-06
8.536777201000462e-03	-5.182748e-06
8.546777201000463e-03	-5.182748e-06
8.556777201000463e-03	-5.182748e-06
8.566777201000462e-03	-5.182748e-06
8.576777201000462e-03	-5.182748e-06
8.586777201000463e-03	-5.182748e-06
8.596777201000463e-03	-5.182748e-06
8.606777201000462e-03	-5.182748e-06
8.616777201000462e-03	-5.182748e-06
8.626777201000463e-03	-5.182748e-06
8.636777201000463e-03	-5.182748e-06
8.646777201000462e-03	-5.182748e-06
8.656777201000462e-03	-5.182748e-06
8.666777201000463e-03	-5.182748e-06
8.676777201000463e-03	-5.182748e-06
8.686777201000462e-03	-5.182748e-06
8.696777201000462e-03	-5.182748e-06
8.706777201000462e-03	-5.182748e-06
8.716777201000463e-03	-5.182748e-06
8.726777201000463e-03	-5.182748e-06
8.736777201000462e-03	-5.182748e-06
8.746777201000462e-03	-5.182748e-06
8.756777201000463e-03	-5.182748e-06
8.766777201000463e-03	-5.182748e-06
8.776777201000462e-03	-5.182748e-06
8.786777201000462e-03	-5.182748e-06
8.796777201000463e-03	-5.182748e-06
8.806777201000463e-03	-5.182748e-06
8.816777201000462e-03	-5.182748e-06
8.826777201000462e-03	-5.182748e-06
8.836777201000462e-03	-5.182748e-06
8.846777201000463e-03	-5.182748e-06
8.856777201000463e-03	-5.182748e-06
8.866777201000462e-03	-5.182748e-06
8.876777201000462e-03	-5.182748e-06
8.886777201000463e-03	-5.182748e-06
8.896777201000463e-03	-5.182748e-06
8.906777201000462e-03	-5.182748e-06
8.916777201000462e-03	-5.182748e-06
8.926777201000463e-03	-5.182748e-06
8.936777201000463e-03	-5.182748e-06
8.946777201000462e-03	-5.182748e-06
8.956777201000462e-03	-5.182748e-06
8.966777201000463e-03	-5.182748e-06
8.976777201000463e-03	-5.182748e-06
8.986777201000462e-03	-5.182748e-06
8.996777201000462e-03	-5.182748e-06
9.006777201000462e-03	-5.182748e-06
9.016777201000463e-03	-5.182748e-06
9.026777201000463e-03	-5.182748e-06
9.036777201000462e-03	-5.182748e-06
9.046777201000462e-03	-5.182748e-06
9.056777201000463e-03	-5.182748e-06
9.066777201000463e-03	-5.182748e-06
9.076777201000462e-03	-5.182748e-06
9.086777201000462e-03	-5.182748e-06
9.096777201000463e-03	-5.182748e-06
9.106777201000463e-03	-5.182748e-06
9.116777201000462e-03	-5.182748e-06
9.126777201000462e-03	-5.182748e-06
9.136777201000463e-03	-5.182748e-06
9.146777201000463e-03	-5.182748e-06
9.156777201000462e-03	-5.182748e-06
9.166777201000462e-03	-5.182748e-06
9.176777201000462e-03	-5.182748e-06
9.186777201000463e-03	-5.182748e-06
9.196777201000463e-03	-5.182748e-06
9.206777201000462e-03	-5.182748e-06
9.216777201000462e-03	-5.182748e-06
9.226777201000463e-03	-5.182748e-06
9.236777201000463e-03	-5.182748e-06
9.246777201000462e-03	-5.182748e-06
9.256777201000462e-03	-5.182748e-06
9.266777201000463e-03	-5.182748e-06
9.276777201000463e-03	-5.182748e-06
9.286777201000462e-03	-5.182748e-06
9.296777201000462e-03	-5.182748e-06
9.306777201000463e-03	-5.182748e-06
9.316777201000463e-03	-5.182748e-06
9.326777201000462e-03	-5.182748e-06
9.336777201000462e-03	-5.182748e-06
9.346777201000462e-03	-5.182748e-06
9.356777201000463e-03	-5.182748e-06
9.366777201000463e-03	-5.182748e-06
9.376777201000462e-03	-5.182748e-06
9.386777201000462e-03	-5.182748e-06
9.396777201000463e-03	-5.182748e-06
9.406777201000463e-03	-5.182748e-06
9.416777201000462e-03	-5.182748e-06
9.426777201000462e-03	-5.182748e-06
9.436777201000463e-03	-5.182748e-06
9.446777201000463e-03	-5.182748e-06
9.456777201000462e-03	-5.182748e-06
9.466777201000462e-03	-5.182748e-06
9.476777201000462e-03	-5.182748e-06
9.486777201000463e-03	-5.182748e-06
9.496777201000462e-03	-5.182748e-06
9.506777201000462e-03	-5.182748e-06
9.516777201000462e-03	-5.182748e-06
9.526777201000463e-03	-5.182748e-06
9.536777201000463e-03	-5.182748e-06
9.546777201000462e-03	-5.182748e-06
9.556777201000462e-03	-5.182748e-06
9.566777201000463e-03	-5.182748e-06
9.576777201000463e-03	-5.182748e-06
9.586777201000462e-03	-5.182748e-06
9.596777201000462e-03	-5.182748e-06
9.606777201000463e-03	-5.182748e-06
9.616777201000463e-03	-5.182748e-06
9.626777201000462e-03	-5.182748e-06
9.636777201000462e-03	-5.182748e-06
9.646777201000462e-03	-5.182748e-06
9.656777201000463e-03	-5.182748e-06
9.666777201000462e-03	-5.182748e-06
9.676777201000462e-03	-5.182748e-06
9.686777201000462e-03	-5.182748e-06
9.696777201000463e-03	-5.182748e-06
9.706777201000463e-03	-5.182748e-06
9.716777201000462e-03	-5.182748e-06
9.726777201000462e-03	-5.182748e-06
9.736777201000463e-03	-5.182748e-06
9.746777201000463e-03	-5.182748e-06
9.756777201000462e-03	-5.182748e-06
9.766777201000462e-03	-5.182748e-06
9.776777201000463e-03	-5.182748e-06
9.786777201000463e-03	-5.182748e-06
9.796777201000462e-03	-5.182748e-06
9.806777201000462e-03	-5.182748e-06
9.816777201000462e-03	-5.182748e-06
9.826777201000463e-03	-5.182748e-06
9.836777201000462e-03	-5.182748e-06
9.846777201000462e-03	-5.182748e-06
9.856777201000462e-03	-5.182748e-06
9.866777201000463e-03	-5.182748e-06
9.876777201000463e-03	-5.182748e-06
9.886777201000462e-03	-5.182748e-06
9.896777201000462e-03	-5.182748e-06
9.906777201000463e-03	-5.182748e-06
9.916777201000463e-03	-5.182748e-06
9.926777201000462e-03	-5.182748e-06
9.936777201000462e-03	-5.182748e-06
9.946777201000463e-03	-5.182748e-06
9.956777201000463e-03	-5.182748e-06
9.966777201000462e-03	-5.182748e-06
9.976777201000462e-03	-5.182748e-06
9.986777201000462e-03	-5.182748e-06
9.996777201000463e-03	-5.182748e-06
1.000000000000000e-02	-5.182681e-06
1.000000000100000e-02	-5.182662e-06
1.000000000200000e-02	-5.182654e-06
1.000000000440036e-02	-5.182668e-06
1.000000000670974e-02	-5.182647e-06
1.000000001132851e-02	-5.182608e-06
1.000000002056605e-02	-5.182521e-06
1.000000003904114e-02	-5.182344e-06
1.000000007599130e-02	-5.181978e-06
1.000000014989163e-02	-5.181234e-06
1.000000029769228e-02	-5.179706e-06
1.000000059329359e-02	-5.176518e-06
1.000000118449621e-02	-5.169679e-06
1.000000236690145e-02	-5.154540e-06
1.000000473171193e-02	-5.120559e-06
1.000000946133288e-02	-5.046126e-06
1.000001768974454e-02	-4.910954e-06
1.000002963193180e-02	-4.693595e-06
1.000005351630632e-02	-2.778230e-06
1.000010099211722e-02	4.145203e-07
1.000015399174582e-02	-2.875911e-06
1.000020605492797e-02	-7.053010e-06
1.000026204290267e-02	-9.267754e-06
1.000031701510431e-02	-1.088132e-05
1.000042695950758e-02	-1.286285e-05
1.000045444560840e-02	-1.310343e-05
1.000050941781004e-02	-1.332274e-05
