time	V(N016,N024)	V(N048,out_1)	V(N074,N084)
1.169524994354072e-03	-4.469252e-02	-4.469800e-02	-4.468000e-02
1.179524994354072e-03	-4.468918e-02	-4.468393e-02	-4.469996e-02
1.189524994354072e-03	-4.469252e-02	-4.469800e-02	-4.468002e-02
1.199524994354072e-03	-4.468918e-02	-4.468393e-02	-4.469993e-02
1.209524994354072e-03	-4.469252e-02	-4.469800e-02	-4.468005e-02
1.219524994354072e-03	-4.468918e-02	-4.468393e-02	-4.469990e-02
1.229524994354072e-03	-4.469252e-02	-4.469800e-02	-4.468008e-02
1.239524994354072e-03	-4.468918e-02	-4.468393e-02	-4.469987e-02
1.249524994354072e-03	-4.469252e-02	-4.469800e-02	-4.468011e-02
1.259524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469984e-02
1.269524994354072e-03	-4.469252e-02	-4.469800e-02	-4.468014e-02
1.279524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469982e-02
1.289524994354072e-03	-4.469252e-02	-4.469800e-02	-4.468017e-02
1.299524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469979e-02
1.309524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468020e-02
1.319524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469976e-02
1.329524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468022e-02
1.339524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469973e-02
1.349524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468025e-02
1.359524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469971e-02
1.369524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468028e-02
1.379524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469968e-02
1.389524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468030e-02
1.399524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469965e-02
1.409524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468033e-02
1.419524994354072e-03	-4.468966e-02	-4.468393e-02	-4.469963e-02
1.429524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468035e-02
1.439524994354072e-03	-4.468966e-02	-4.468393e-02	-4.469960e-02
1.449524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468038e-02
1.459524994354072e-03	-4.468966e-02	-4.468393e-02	-4.469958e-02
1.469524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468040e-02
1.479524994354072e-03	-4.468966e-02	-4.468393e-02	-4.469956e-02
1.489524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468043e-02
1.499524994354072e-03	-4.468966e-02	-4.468393e-02	-4.469953e-02
1.509524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468045e-02
1.519524994354072e-03	-4.468966e-02	-4.468393e-02	-4.469951e-02
1.529524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468048e-02
1.539524994354072e-03	-4.468966e-02	-4.468393e-02	-4.469949e-02
1.549524994354072e-03	-4.469299e-02	-4.469776e-02	-4.468050e-02
1.559524994354072e-03	-4.468966e-02	-4.468393e-02	-4.469946e-02
1.569524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468052e-02
1.579524994354072e-03	-4.468966e-02	-4.468393e-02	-4.469944e-02
1.589524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468054e-02
1.599524994354072e-03	-4.468966e-02	-4.468393e-02	-4.469942e-02
1.609524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468057e-02
1.619524994354072e-03	-4.468966e-02	-4.468393e-02	-4.469940e-02
1.629524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468059e-02
1.639524994354072e-03	-4.468918e-02	-4.468393e-02	-4.469937e-02
1.649524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468061e-02
1.659524994354072e-03	-4.468918e-02	-4.468417e-02	-4.469935e-02
1.669524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468063e-02
1.679524994354072e-03	-4.468918e-02	-4.468417e-02	-4.469933e-02
1.689524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468065e-02
