time	V(N018,N016)	V(N050,N048)	V(N082,N074)
2.177260631953241e-02	3.278877e+00	3.278846e+00	3.278920e+00
2.178260631953241e-02	3.278883e+00	3.278924e+00	3.278865e+00
2.179260631953241e-02	3.278878e+00	3.278846e+00	3.278920e+00
2.180260631953241e-02	3.278883e+00	3.278924e+00	3.278865e+00
2.181260631953241e-02	3.278878e+00	3.278846e+00	3.278920e+00
2.182260631953241e-02	3.278883e+00	3.278924e+00	3.278865e+00
2.183260631953241e-02	3.278878e+00	3.278846e+00	3.278920e+00
2.184260631953241e-02	3.278883e+00	3.278924e+00	3.278865e+00
2.185260631953241e-02	3.278878e+00	3.278846e+00	3.278920e+00
2.186260631953241e-02	3.278883e+00	3.278924e+00	3.278865e+00
2.187260631953241e-02	3.278878e+00	3.278846e+00	3.278920e+00
2.188260631953241e-02	3.278883e+00	3.278924e+00	3.278865e+00
2.189260631953241e-02	3.278878e+00	3.278846e+00	3.278920e+00
2.190260631953241e-02	3.278883e+00	3.278924e+00	3.278865e+00
2.191260631953241e-02	3.278878e+00	3.278846e+00	3.278920e+00
2.192260631953241e-02	3.278883e+00	3.278924e+00	3.278865e+00
2.193260631953241e-02	3.278878e+00	3.278846e+00	3.278920e+00
2.194260631953241e-02	3.278883e+00	3.278924e+00	3.278865e+00
2.195260631953241e-02	3.278878e+00	3.278846e+00	3.278920e+00
2.196260631953241e-02	3.278883e+00	3.278924e+00	3.278865e+00
2.197260631953241e-02	3.278878e+00	3.278846e+00	3.278920e+00
2.198260631953241e-02	3.278884e+00	3.278924e+00	3.278865e+00
2.199260631953241e-02	3.278878e+00	3.278847e+00	3.278920e+00
2.200260631953241e-02	3.278884e+00	3.278923e+00	3.278865e+00
2.201260631953241e-02	3.278878e+00	3.278847e+00	3.278920e+00
2.202260631953241e-02	3.278883e+00	3.278924e+00	3.278865e+00
2.203260631953241e-02	3.278878e+00	3.278847e+00	3.278920e+00
2.204260631953241e-02	3.278883e+00	3.278924e+00	3.278865e+00
2.205260631953241e-02	3.278878e+00	3.278847e+00	3.278920e+00
2.206260631953241e-02	3.278883e+00	3.278924e+00	3.278865e+00
2.207260631953241e-02	3.278878e+00	3.278847e+00	3.278920e+00
2.208260631953241e-02	3.278883e+00	3.278924e+00	3.278865e+00
2.209260631953241e-02	3.278877e+00	3.278847e+00	3.278920e+00
2.210260631953241e-02	3.278883e+00	3.278923e+00	3.278865e+00
2.211260631953241e-02	3.278877e+00	3.278847e+00	3.278920e+00
2.212260631953241e-02	3.278883e+00	3.278923e+00	3.278865e+00
2.213260631953241e-02	3.278878e+00	3.278847e+00	3.278920e+00
2.214260631953241e-02	3.278883e+00	3.278923e+00	3.278865e+00
2.215260631953241e-02	3.278878e+00	3.278847e+00	3.278920e+00
2.216260631953241e-02	3.278883e+00	3.278923e+00	3.278865e+00
2.217260631953241e-02	3.278878e+00	3.278847e+00	3.278920e+00
2.218260631953241e-02	3.278883e+00	3.278923e+00	3.278865e+00
2.219260631953241e-02	3.278878e+00	3.278847e+00	3.278920e+00
2.220260631953241e-02	3.278883e+00	3.278923e+00	3.278865e+00
2.221260631953241e-02	3.278878e+00	3.278847e+00	3.278920e+00
2.222260631953241e-02	3.278883e+00	3.278923e+00	3.278865e+00
2.223260631953241e-02	3.278878e+00	3.278847e+00	3.278920e+00
2.224260631953241e-02	3.278883e+00	3.278923e+00	3.278865e+00
2.225260631953241e-02	3.278878e+00	3.278847e+00	3.278920e+00
2.226260631953241e-02	3.278883e+00	3.278923e+00	3.278865e+00
2.227260631953241e-02	3.278878e+00	3.278847e+00	3.278920e+00
2.228260631953241e-02	3.278883e+00	3.278923e+00	3.278865e+00
2.229260631953241e-02	3.278878e+00	3.278847e+00	3.278920e+00
2.230260631953241e-02	3.278883e+00	3.278922e+00	3.278865e+00
2.231260631953241e-02	3.278878e+00	3.278848e+00	3.278919e+00
2.232260631953241e-02	3.278883e+00	3.278922e+00	3.278865e+00
2.233260631953241e-02	3.278878e+00	3.278848e+00	3.278919e+00
2.234260631953241e-02	3.278884e+00	3.278922e+00	3.278865e+00
2.235260631953241e-02	3.278878e+00	3.278848e+00	3.278919e+00
2.236260631953241e-02	3.278884e+00	3.278922e+00	3.278866e+00
2.237260631953241e-02	3.278878e+00	3.278848e+00	3.278919e+00
2.238260631953241e-02	3.278884e+00	3.278922e+00	3.278866e+00
2.239260631953241e-02	3.278878e+00	3.278848e+00	3.278919e+00
2.240260631953241e-02	3.278884e+00	3.278922e+00	3.278866e+00
2.241260631953241e-02	3.278878e+00	3.278848e+00	3.278919e+00
2.242260631953241e-02	3.278884e+00	3.278922e+00	3.278866e+00
2.243260631953241e-02	3.278878e+00	3.278848e+00	3.278919e+00
2.244260631953241e-02	3.278883e+00	3.278922e+00	3.278866e+00
2.245260631953241e-02	3.278878e+00	3.278848e+00	3.278919e+00
2.246260631953241e-02	3.278883e+00	3.278922e+00	3.278866e+00
2.247260631953241e-02	3.278877e+00	3.278848e+00	3.278919e+00
2.248260631953241e-02	3.278883e+00	3.278922e+00	3.278866e+00
2.249260631953241e-02	3.278877e+00	3.278848e+00	3.278919e+00
2.250260631953241e-02	3.278883e+00	3.278922e+00	3.278866e+00
2.251260631953241e-02	3.278877e+00	3.278848e+00	3.278919e+00
2.252260631953241e-02	3.278883e+00	3.278922e+00	3.278866e+00
2.253260631953241e-02	3.278877e+00	3.278848e+00	3.278919e+00
2.254260631953241e-02	3.278883e+00	3.278922e+00	3.278866e+00
2.255260631953241e-02	3.278877e+00	3.278848e+00	3.278919e+00
2.256260631953241e-02	3.278883e+00	3.278922e+00	3.278866e+00
2.257260631953241e-02	3.278878e+00	3.278848e+00	3.278919e+00
2.258260631953241e-02	3.278883e+00	3.278922e+00	3.278866e+00
2.259260631953241e-02	3.278878e+00	3.278848e+00	3.278919e+00
2.260260631953241e-02	3.278883e+00	3.278922e+00	3.278866e+00
2.261260631953241e-02	3.278878e+00	3.278848e+00	3.278919e+00
2.262260631953241e-02	3.278883e+00	3.278921e+00	3.278866e+00
2.263260631953241e-02	3.278878e+00	3.278849e+00	3.278919e+00
2.264260631953241e-02	3.278883e+00	3.278921e+00	3.278866e+00
2.265260631953241e-02	3.278878e+00	3.278849e+00	3.278919e+00
2.266260631953241e-02	3.278883e+00	3.278921e+00	3.278866e+00
2.267260631953241e-02	3.278878e+00	3.278849e+00	3.278919e+00
2.268260631953241e-02	3.278883e+00	3.278921e+00	3.278866e+00
2.269260631953241e-02	3.278878e+00	3.278849e+00	3.278919e+00
2.270260631953241e-02	3.278883e+00	3.278921e+00	3.278866e+00
2.271260631953241e-02	3.278878e+00	3.278849e+00	3.278919e+00
2.272260631953241e-02	3.278883e+00	3.278921e+00	3.278866e+00
2.273260631953241e-02	3.278878e+00	3.278849e+00	3.278919e+00
2.274260631953241e-02	3.278883e+00	3.278921e+00	3.278866e+00
2.275260631953241e-02	3.278878e+00	3.278849e+00	3.278919e+00
2.276260631953241e-02	3.278883e+00	3.278921e+00	3.278866e+00
2.277260631953241e-02	3.278878e+00	3.278849e+00	3.278919e+00
2.278260631953241e-02	3.278883e+00	3.278921e+00	3.278866e+00
2.279260631953241e-02	3.278878e+00	3.278849e+00	3.278919e+00
2.280260631953241e-02	3.278883e+00	3.278921e+00	3.278866e+00
2.281260631953241e-02	3.278878e+00	3.278849e+00	3.278919e+00
2.282260631953241e-02	3.278884e+00	3.278921e+00	3.278866e+00
2.283260631953241e-02	3.278878e+00	3.278849e+00	3.278919e+00
2.284260631953241e-02	3.278884e+00	3.278921e+00	3.278866e+00
2.285260631953241e-02	3.278878e+00	3.278849e+00	3.278919e+00
2.286260631953241e-02	3.278884e+00	3.278920e+00	3.278866e+00
2.287260631953241e-02	3.278878e+00	3.278850e+00	3.278919e+00
2.288260631953241e-02	3.278884e+00	3.278920e+00	3.278866e+00
2.289260631953241e-02	3.278878e+00	3.278850e+00	3.278919e+00
2.290260631953241e-02	3.278884e+00	3.278921e+00	3.278866e+00
2.291260631953241e-02	3.278878e+00	3.278850e+00	3.278919e+00
2.292260631953241e-02	3.278884e+00	3.278921e+00	3.278866e+00
2.293260631953241e-02	3.278878e+00	3.278849e+00	3.278919e+00
2.294260631953241e-02	3.278884e+00	3.278921e+00	3.278866e+00
2.295260631953241e-02	3.278878e+00	3.278849e+00	3.278919e+00
2.296260631953241e-02	3.278884e+00	3.278921e+00	3.278866e+00
2.297260631953241e-02	3.278878e+00	3.278849e+00	3.278919e+00
2.298260631953241e-02	3.278883e+00	3.278920e+00	3.278866e+00
2.299260631953241e-02	3.278878e+00	3.278850e+00	3.278919e+00
2.300260631953241e-02	3.278883e+00	3.278920e+00	3.278866e+00
2.301260631953241e-02	3.278877e+00	3.278850e+00	3.278919e+00
2.302260631953241e-02	3.278883e+00	3.278920e+00	3.278866e+00
2.303260631953241e-02	3.278877e+00	3.278850e+00	3.278919e+00
2.304260631953241e-02	3.278883e+00	3.278920e+00	3.278866e+00
2.305260631953241e-02	3.278877e+00	3.278850e+00	3.278919e+00
2.306260631953241e-02	3.278883e+00	3.278920e+00	3.278866e+00
2.307260631953241e-02	3.278877e+00	3.278850e+00	3.278919e+00
2.308260631953241e-02	3.278883e+00	3.278920e+00	3.278866e+00
2.309260631953241e-02	3.278877e+00	3.278850e+00	3.278919e+00
2.310260631953241e-02	3.278883e+00	3.278920e+00	3.278866e+00
2.311260631953241e-02	3.278877e+00	3.278850e+00	3.278919e+00
2.312260631953241e-02	3.278883e+00	3.278920e+00	3.278866e+00
2.313260631953241e-02	3.278877e+00	3.278850e+00	3.278919e+00
