time	V(n032)
1.198677720200402e-02	-1.432684e-01
1.199677720200402e-02	-1.432683e-01
1.200677720200402e-02	-1.432682e-01
1.201677720200402e-02	-1.432681e-01
1.202677720200402e-02	-1.432680e-01
1.203677720200402e-02	-1.432679e-01
1.204677720200402e-02	-1.432678e-01
1.205677720200402e-02	-1.432678e-01
1.206677720200402e-02	-1.432677e-01
1.207677720200402e-02	-1.432676e-01
1.208677720200402e-02	-1.432675e-01
1.209677720200402e-02	-1.432674e-01
1.210677720200402e-02	-1.432674e-01
1.211677720200402e-02	-1.432673e-01
1.212677720200402e-02	-1.432672e-01
1.213677720200402e-02	-1.432672e-01
1.214677720200402e-02	-1.432671e-01
1.215677720200402e-02	-1.432670e-01
1.216677720200402e-02	-1.432670e-01
1.217677720200402e-02	-1.432669e-01
1.218677720200402e-02	-1.432668e-01
1.219677720200402e-02	-1.432668e-01
1.220677720200402e-02	-1.432667e-01
1.221677720200402e-02	-1.432667e-01
1.222677720200402e-02	-1.432666e-01
1.223677720200402e-02	-1.432666e-01
1.224677720200402e-02	-1.432665e-01
1.225677720200402e-02	-1.432665e-01
1.226677720200402e-02	-1.432664e-01
1.227677720200402e-02	-1.432664e-01
1.228677720200402e-02	-1.432663e-01
1.229677720200402e-02	-1.432663e-01
1.230677720200402e-02	-1.432662e-01
1.231677720200402e-02	-1.432662e-01
1.232677720200402e-02	-1.432661e-01
1.233677720200402e-02	-1.432661e-01
1.234677720200402e-02	-1.432660e-01
1.235677720200402e-02	-1.432660e-01
1.236677720200402e-02	-1.432660e-01
1.237677720200402e-02	-1.432659e-01
1.238677720200402e-02	-1.432659e-01
1.239677720200402e-02	-1.432658e-01
1.240677720200402e-02	-1.432658e-01
1.241677720200402e-02	-1.432658e-01
1.242677720200402e-02	-1.432657e-01
1.243677720200402e-02	-1.432657e-01
1.244677720200402e-02	-1.432656e-01
1.245677720200402e-02	-1.432656e-01
1.246677720200402e-02	-1.432656e-01
1.247677720200402e-02	-1.432655e-01
1.248677720200402e-02	-1.432655e-01
1.249677720200402e-02	-1.432655e-01
1.250677720200402e-02	-1.432655e-01
1.251677720200402e-02	-1.432654e-01
1.252677720200402e-02	-1.432654e-01
1.253677720200402e-02	-1.432654e-01
1.254677720200402e-02	-1.432653e-01
1.255677720200402e-02	-1.432653e-01
1.256677720200402e-02	-1.432653e-01
1.257677720200402e-02	-1.432652e-01
1.258677720200402e-02	-1.432652e-01
1.259677720200402e-02	-1.432652e-01
1.260677720200402e-02	-1.432652e-01
1.261677720200402e-02	-1.432651e-01
1.262677720200402e-02	-1.432651e-01
1.263677720200402e-02	-1.432651e-01
1.264677720200402e-02	-1.432651e-01
1.265677720200402e-02	-1.432650e-01
1.266677720200402e-02	-1.432650e-01
1.267677720200402e-02	-1.432650e-01
1.268677720200402e-02	-1.432649e-01
1.269677720200402e-02	-1.432649e-01
1.270677720200402e-02	-1.432649e-01
1.271677720200402e-02	-1.432649e-01
1.272677720200402e-02	-1.432649e-01
1.273677720200402e-02	-1.432648e-01
1.274677720200402e-02	-1.432648e-01
1.275677720200402e-02	-1.432648e-01
1.276677720200402e-02	-1.432648e-01
1.277677720200402e-02	-1.432648e-01
1.278677720200402e-02	-1.432647e-01
1.279677720200402e-02	-1.432647e-01
1.280677720200402e-02	-1.432647e-01
1.281677720200402e-02	-1.432647e-01
1.282677720200402e-02	-1.432647e-01
1.283677720200402e-02	-1.432646e-01
1.284677720200402e-02	-1.432646e-01
1.285677720200402e-02	-1.432646e-01
1.286677720200402e-02	-1.432646e-01
1.287677720200402e-02	-1.432645e-01
1.288677720200402e-02	-1.432645e-01
1.289677720200402e-02	-1.432645e-01
1.290677720200402e-02	-1.432645e-01
1.291677720200402e-02	-1.432645e-01
1.292677720200402e-02	-1.432645e-01
1.293677720200402e-02	-1.432645e-01
1.294677720200402e-02	-1.432644e-01
1.295677720200402e-02	-1.432644e-01
1.296677720200402e-02	-1.432644e-01
1.297677720200402e-02	-1.432644e-01
1.298677720200402e-02	-1.432644e-01
1.299677720200402e-02	-1.432644e-01
1.300677720200402e-02	-1.432643e-01
1.301677720200402e-02	-1.432643e-01
1.302677720200402e-02	-1.432643e-01
1.303677720200402e-02	-1.432643e-01
1.304677720200402e-02	-1.432643e-01
1.305677720200402e-02	-1.432643e-01
1.306677720200402e-02	-1.432642e-01
1.307677720200402e-02	-1.432642e-01
1.308677720200402e-02	-1.432642e-01
1.309677720200402e-02	-1.432642e-01
1.310677720200402e-02	-1.432642e-01
1.311677720200402e-02	-1.432642e-01
1.312677720200402e-02	-1.432642e-01
1.313677720200402e-02	-1.432642e-01
1.314677720200402e-02	-1.432642e-01
1.315677720200402e-02	-1.432641e-01
1.316677720200402e-02	-1.432641e-01
1.317677720200402e-02	-1.432641e-01
1.318677720200402e-02	-1.432641e-01
1.319677720200402e-02	-1.432641e-01
1.320677720200402e-02	-1.432641e-01
1.321677720200402e-02	-1.432641e-01
1.322677720200402e-02	-1.432641e-01
1.323677720200402e-02	-1.432641e-01
1.324677720200402e-02	-1.432640e-01
1.325677720200402e-02	-1.432640e-01
1.326677720200402e-02	-1.432640e-01
1.327677720200402e-02	-1.432640e-01
1.328677720200402e-02	-1.432640e-01
1.329677720200402e-02	-1.432640e-01
1.330677720200402e-02	-1.432640e-01
1.331677720200402e-02	-1.432640e-01
1.332677720200402e-02	-1.432640e-01
1.333677720200402e-02	-1.432640e-01
1.334677720200402e-02	-1.432640e-01
1.335677720200402e-02	-1.432639e-01
1.336677720200402e-02	-1.432639e-01
1.337677720200402e-02	-1.432639e-01
1.338677720200402e-02	-1.432639e-01
1.339677720200402e-02	-1.432639e-01
1.340677720200402e-02	-1.432639e-01
1.341677720200402e-02	-1.432639e-01
1.342677720200402e-02	-1.432639e-01
1.343677720200402e-02	-1.432639e-01
1.344677720200402e-02	-1.432639e-01
1.345677720200402e-02	-1.432638e-01
1.346677720200402e-02	-1.432638e-01
1.347677720200402e-02	-1.432638e-01
1.348677720200402e-02	-1.432638e-01
1.349677720200402e-02	-1.432638e-01
1.350677720200402e-02	-1.432638e-01
1.351677720200402e-02	-1.432638e-01
1.352677720200402e-02	-1.432638e-01
1.353677720200402e-02	-1.432638e-01
1.354677720200402e-02	-1.432638e-01
1.355677720200401e-02	-1.432638e-01
1.356677720200402e-02	-1.432638e-01
1.357677720200402e-02	-1.432638e-01
1.358677720200402e-02	-1.432638e-01
1.359677720200402e-02	-1.432638e-01
1.360677720200402e-02	-1.432637e-01
1.361677720200402e-02	-1.432637e-01
1.362677720200402e-02	-1.432637e-01
1.363677720200402e-02	-1.432637e-01
1.364677720200402e-02	-1.432637e-01
1.365677720200402e-02	-1.432637e-01
1.366677720200402e-02	-1.432637e-01
1.367677720200402e-02	-1.432637e-01
1.368677720200402e-02	-1.432637e-01
1.369677720200402e-02	-1.432637e-01
1.370677720200402e-02	-1.432637e-01
1.371677720200402e-02	-1.432637e-01
1.372677720200401e-02	-1.432637e-01
1.373677720200402e-02	-1.432637e-01
1.374677720200402e-02	-1.432637e-01
1.375677720200402e-02	-1.432637e-01
1.376677720200402e-02	-1.432637e-01
1.377677720200402e-02	-1.432637e-01
1.378677720200402e-02	-1.432637e-01
1.379677720200402e-02	-1.432637e-01
1.380677720200402e-02	-1.432636e-01
1.381677720200402e-02	-1.432636e-01
1.382677720200402e-02	-1.432636e-01
1.383677720200402e-02	-1.432636e-01
1.384677720200402e-02	-1.432636e-01
1.385677720200402e-02	-1.432636e-01
1.386677720200402e-02	-1.432636e-01
1.387677720200402e-02	-1.432636e-01
1.388677720200402e-02	-1.432636e-01
1.389677720200401e-02	-1.432636e-01
1.390677720200402e-02	-1.432636e-01
1.391677720200402e-02	-1.432636e-01
1.392677720200402e-02	-1.432636e-01
1.393677720200402e-02	-1.432636e-01
1.394677720200402e-02	-1.432636e-01
1.395677720200402e-02	-1.432636e-01
1.396677720200402e-02	-1.432636e-01
1.397677720200402e-02	-1.432636e-01
1.398677720200402e-02	-1.432636e-01
1.399677720200402e-02	-1.432636e-01
1.400677720200402e-02	-1.432636e-01
1.401677720200402e-02	-1.432636e-01
1.402677720200402e-02	-1.432635e-01
1.403677720200402e-02	-1.432635e-01
1.404677720200402e-02	-1.432635e-01
1.405677720200402e-02	-1.432635e-01
1.406677720200402e-02	-1.432635e-01
1.407677720200402e-02	-1.432635e-01
1.408677720200402e-02	-1.432635e-01
1.409677720200402e-02	-1.432635e-01
1.410677720200402e-02	-1.432635e-01
1.411677720200402e-02	-1.432635e-01
1.412677720200402e-02	-1.432635e-01
1.413677720200402e-02	-1.432635e-01
1.414677720200402e-02	-1.432635e-01
1.415677720200402e-02	-1.432635e-01
1.416677720200402e-02	-1.432635e-01
1.417677720200402e-02	-1.432635e-01
1.418677720200402e-02	-1.432635e-01
1.419677720200401e-02	-1.432635e-01
1.420677720200402e-02	-1.432635e-01
1.421677720200402e-02	-1.432635e-01
1.422677720200402e-02	-1.432635e-01
1.423677720200402e-02	-1.432635e-01
1.424677720200402e-02	-1.432635e-01
1.425677720200402e-02	-1.432635e-01
1.426677720200402e-02	-1.432635e-01
1.427677720200402e-02	-1.432635e-01
1.428677720200402e-02	-1.432635e-01
1.429677720200402e-02	-1.432635e-01
1.430677720200402e-02	-1.432635e-01
1.431677720200402e-02	-1.432635e-01
