time	Ix(Sgnd12:D)
1.253677720200402e-02	-7.747169e-06
1.254677720200402e-02	-7.747162e-06
1.255677720200402e-02	-7.747156e-06
1.256677720200402e-02	-7.747150e-06
1.257677720200402e-02	-7.747145e-06
1.258677720200402e-02	-7.747139e-06
1.259677720200402e-02	-7.747133e-06
1.260677720200402e-02	-7.747127e-06
1.261677720200402e-02	-7.747121e-06
1.262677720200402e-02	-7.747116e-06
1.263677720200402e-02	-7.747111e-06
1.264677720200402e-02	-7.747106e-06
1.265677720200402e-02	-7.747101e-06
1.266677720200402e-02	-7.747096e-06
1.267677720200402e-02	-7.747090e-06
1.268677720200402e-02	-7.747086e-06
1.269677720200402e-02	-7.747081e-06
1.270677720200402e-02	-7.747076e-06
1.271677720200402e-02	-7.747072e-06
1.272677720200402e-02	-7.747067e-06
1.273677720200402e-02	-7.747063e-06
1.274677720200402e-02	-7.747058e-06
1.275677720200402e-02	-7.747054e-06
1.276677720200402e-02	-7.747049e-06
1.277677720200402e-02	-7.747045e-06
1.278677720200402e-02	-7.747041e-06
1.279677720200402e-02	-7.747037e-06
1.280677720200402e-02	-7.747033e-06
1.281677720200402e-02	-7.747029e-06
1.282677720200402e-02	-7.747025e-06
1.283677720200402e-02	-7.747020e-06
1.284677720200402e-02	-7.747017e-06
1.285677720200402e-02	-7.747013e-06
1.286677720200402e-02	-7.747009e-06
1.287677720200402e-02	-7.747006e-06
1.288677720200402e-02	-7.747002e-06
1.289677720200402e-02	-7.746999e-06
1.290677720200402e-02	-7.746995e-06
1.291677720200402e-02	-7.746991e-06
1.292677720200402e-02	-7.746989e-06
1.293677720200402e-02	-7.746985e-06
1.294677720200402e-02	-7.746981e-06
1.295677720200402e-02	-7.746978e-06
1.296677720200402e-02	-7.746975e-06
1.297677720200402e-02	-7.746971e-06
1.298677720200402e-02	-7.746969e-06
1.299677720200402e-02	-7.746966e-06
1.300677720200402e-02	-7.746962e-06
1.301677720200402e-02	-7.746959e-06
1.302677720200402e-02	-7.746957e-06
1.303677720200402e-02	-7.746954e-06
1.304677720200402e-02	-7.746951e-06
1.305677720200402e-02	-7.746948e-06
1.306677720200402e-02	-7.746945e-06
1.307677720200402e-02	-7.746942e-06
1.308677720200402e-02	-7.746939e-06
1.309677720200402e-02	-7.746937e-06
1.310677720200402e-02	-7.746935e-06
1.311677720200402e-02	-7.746932e-06
1.312677720200402e-02	-7.746929e-06
1.313677720200402e-02	-7.746927e-06
1.314677720200402e-02	-7.746924e-06
1.315677720200402e-02	-7.746922e-06
1.316677720200402e-02	-7.746919e-06
1.317677720200402e-02	-7.746918e-06
1.318677720200402e-02	-7.746915e-06
1.319677720200402e-02	-7.746913e-06
1.320677720200402e-02	-7.746910e-06
1.321677720200402e-02	-7.746909e-06
1.322677720200402e-02	-7.746906e-06
1.323677720200402e-02	-7.746904e-06
1.324677720200402e-02	-7.746901e-06
1.325677720200402e-02	-7.746899e-06
1.326677720200402e-02	-7.746898e-06
1.327677720200402e-02	-7.746896e-06
1.328677720200402e-02	-7.746893e-06
1.329677720200402e-02	-7.746891e-06
1.330677720200402e-02	-7.746889e-06
1.331677720200402e-02	-7.746888e-06
1.332677720200402e-02	-7.746886e-06
1.333677720200402e-02	-7.746884e-06
1.334677720200402e-02	-7.746882e-06
1.335677720200402e-02	-7.746880e-06
1.336677720200402e-02	-7.746879e-06
1.337677720200402e-02	-7.746877e-06
1.338677720200402e-02	-7.746875e-06
1.339677720200402e-02	-7.746873e-06
1.340677720200402e-02	-7.746871e-06
1.341677720200402e-02	-7.746870e-06
1.342677720200402e-02	-7.746869e-06
1.343677720200402e-02	-7.746867e-06
1.344677720200402e-02	-7.746865e-06
1.345677720200402e-02	-7.746863e-06
1.346677720200402e-02	-7.746861e-06
1.347677720200402e-02	-7.746860e-06
1.348677720200402e-02	-7.746859e-06
1.349677720200402e-02	-7.746858e-06
1.350677720200402e-02	-7.746856e-06
1.351677720200402e-02	-7.746855e-06
1.352677720200402e-02	-7.746853e-06
1.353677720200402e-02	-7.746852e-06
1.354677720200402e-02	-7.746850e-06
1.355677720200401e-02	-7.746849e-06
1.356677720200402e-02	-7.746848e-06
1.357677720200402e-02	-7.746847e-06
1.358677720200402e-02	-7.746845e-06
1.359677720200402e-02	-7.746844e-06
1.360677720200402e-02	-7.746842e-06
1.361677720200402e-02	-7.746841e-06
1.362677720200402e-02	-7.746839e-06
1.363677720200402e-02	-7.746838e-06
1.364677720200402e-02	-7.746838e-06
1.365677720200402e-02	-7.746836e-06
1.366677720200402e-02	-7.746836e-06
1.367677720200402e-02	-7.746834e-06
1.368677720200402e-02	-7.746833e-06
1.369677720200402e-02	-7.746832e-06
1.370677720200402e-02	-7.746830e-06
1.371677720200402e-02	-7.746830e-06
1.372677720200401e-02	-7.746828e-06
1.373677720200402e-02	-7.746828e-06
1.374677720200402e-02	-7.746827e-06
1.375677720200402e-02	-7.746825e-06
1.376677720200402e-02	-7.746825e-06
1.377677720200402e-02	-7.746823e-06
1.378677720200402e-02	-7.746823e-06
1.379677720200402e-02	-7.746821e-06
1.380677720200402e-02	-7.746821e-06
1.381677720200402e-02	-7.746819e-06
1.382677720200402e-02	-7.746819e-06
1.383677720200402e-02	-7.746818e-06
1.384677720200402e-02	-7.746818e-06
1.385677720200402e-02	-7.746816e-06
1.386677720200402e-02	-7.746816e-06
1.387677720200402e-02	-7.746814e-06
1.388677720200402e-02	-7.746814e-06
1.389677720200401e-02	-7.746813e-06
1.390677720200402e-02	-7.746812e-06
1.391677720200402e-02	-7.746811e-06
1.392677720200402e-02	-7.746810e-06
1.393677720200402e-02	-7.746810e-06
1.394677720200402e-02	-7.746808e-06
1.395677720200402e-02	-7.746808e-06
1.396677720200402e-02	-7.746808e-06
1.397677720200402e-02	-7.746807e-06
1.398677720200402e-02	-7.746807e-06
1.399677720200402e-02	-7.746805e-06
1.400677720200402e-02	-7.746805e-06
1.401677720200402e-02	-7.746804e-06
1.402677720200402e-02	-7.746803e-06
1.403677720200402e-02	-7.746802e-06
1.404677720200402e-02	-7.746802e-06
1.405677720200402e-02	-7.746801e-06
1.406677720200402e-02	-7.746801e-06
1.407677720200402e-02	-7.746799e-06
1.408677720200402e-02	-7.746799e-06
1.409677720200402e-02	-7.746798e-06
1.410677720200402e-02	-7.746798e-06
1.411677720200402e-02	-7.746798e-06
1.412677720200402e-02	-7.746798e-06
1.413677720200402e-02	-7.746797e-06
1.414677720200402e-02	-7.746796e-06
1.415677720200402e-02	-7.746795e-06
