time	V(n001)	I(Cij)
2.625330109995782e-06	3.299984e+00	-3.312729e-03
2.634546612205555e-06	3.299984e+00	-3.312406e-03
2.642720153079674e-06	3.299984e+00	-3.312484e-03
2.651951862904543e-06	3.299984e+00	-3.312788e-03
2.660670903605630e-06	3.299984e+00	-3.312651e-03
2.670090151050939e-06	3.299984e+00	-3.312376e-03
2.679892734205159e-06	3.299984e+00	-3.312594e-03
2.689881931150525e-06	3.299984e+00	-3.312785e-03
2.701003139544796e-06	3.299984e+00	-3.312466e-03
2.710559499274697e-06	3.299984e+00	-3.312427e-03
2.721060936061464e-06	3.299984e+00	-3.312753e-03
2.729763741486323e-06	3.299984e+00	-3.312671e-03
2.739898839480222e-06	3.299984e+00	-3.312376e-03
2.749510417618491e-06	3.299984e+00	-3.312557e-03
2.759607240690310e-06	3.299984e+00	-3.312772e-03
2.772003271451089e-06	3.299984e+00	-3.312461e-03
2.782593856815851e-06	3.299984e+00	-3.312433e-03
2.793644517073502e-06	3.299984e+00	-3.312749e-03
2.803064994210661e-06	3.299984e+00	-3.312617e-03
2.813667512085237e-06	3.299984e+00	-3.312365e-03
2.824903382240085e-06	3.299984e+00	-3.312626e-03
2.836138101156641e-06	3.299984e+00	-3.312715e-03
2.847304894824624e-06	3.299984e+00	-3.312396e-03
2.856744838532143e-06	3.299984e+00	-3.312476e-03
2.867573284537731e-06	3.299984e+00	-3.312748e-03
2.878177323217964e-06	3.299984e+00	-3.312529e-03
2.889054984427815e-06	3.299984e+00	-3.312379e-03
2.901117565271415e-06	3.299984e+00	-3.312691e-03
2.911192977515118e-06	3.299984e+00	-3.312646e-03
2.922442254724754e-06	3.299984e+00	-3.312364e-03
2.932980151258608e-06	3.299984e+00	-3.312560e-03
2.944029712752689e-06	3.299984e+00	-3.312720e-03
2.956758816030575e-06	3.299984e+00	-3.312408e-03
2.967330148536379e-06	3.299984e+00	-3.312458e-03
2.978899326191216e-06	3.299984e+00	-3.312725e-03
2.990042690809524e-06	3.299984e+00	-3.312505e-03
3.001523792659580e-06	3.299984e+00	-3.312383e-03
3.014015062494660e-06	3.299984e+00	-3.312688e-03
3.024440373869814e-06	3.299984e+00	-3.312599e-03
3.036119015505968e-06	3.299984e+00	-3.312355e-03
