time	I(B1)	I(Rfuse2)	I(Rfuse_1)
4.829847342802536e-04	5.000000e-01	2.498397e-01	2.496430e-01
5.829847342802535e-04	5.000000e-01	2.498397e-01	2.496430e-01
6.829847342802535e-04	5.000000e-01	2.498397e-01	2.496430e-01
7.829847342802535e-04	5.000000e-01	2.498397e-01	2.496430e-01
8.829847342802535e-04	5.000000e-01	2.498397e-01	2.496430e-01
9.829847342802535e-04	5.000000e-01	2.498397e-01	2.496430e-01
1.082984734280254e-03	5.000000e-01	2.498397e-01	2.496430e-01
1.182984734280254e-03	5.000000e-01	2.498397e-01	2.496430e-01
1.282984734280253e-03	5.000000e-01	2.498397e-01	2.496430e-01
1.382984734280253e-03	5.000000e-01	2.498397e-01	2.496430e-01
1.482984734280253e-03	5.000000e-01	2.498397e-01	2.496430e-01
1.582984734280254e-03	5.000000e-01	2.498397e-01	2.496430e-01
1.682984734280253e-03	5.000000e-01	2.498397e-01	2.496430e-01
1.782984734280253e-03	5.000000e-01	2.498397e-01	2.496430e-01
1.882984734280253e-03	5.000000e-01	2.498397e-01	2.496430e-01
1.982984734280253e-03	5.000000e-01	2.498396e-01	2.496430e-01
2.082984734280253e-03	5.000000e-01	2.498396e-01	2.496430e-01
2.182984734280254e-03	5.000000e-01	2.498396e-01	2.496430e-01
2.282984734280253e-03	5.000000e-01	2.498396e-01	2.496430e-01
2.382984734280253e-03	5.000000e-01	2.498396e-01	2.496430e-01
2.482984734280253e-03	5.000000e-01	2.498396e-01	2.496430e-01
2.582984734280253e-03	5.000000e-01	2.498396e-01	2.496430e-01
2.682984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
2.782984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
2.882984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
2.982984734280254e-03	5.000000e-01	2.498396e-01	2.496431e-01
3.082984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
3.182984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
3.282984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
3.382984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
3.482984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
3.582984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
3.682984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
3.782984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
3.882984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
3.982984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
4.082984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
4.182984734280254e-03	5.000000e-01	2.498396e-01	2.496431e-01
4.282984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
4.382984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
4.482984734280254e-03	5.000000e-01	2.498396e-01	2.496431e-01
4.582984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
4.682984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
4.782984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
4.882984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
4.982984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
5.082984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
5.182984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
5.282984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
5.382984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
5.482984734280253e-03	5.000000e-01	2.498396e-01	2.496431e-01
5.582984734280253e-03	5.000000e-01	2.498395e-01	2.496431e-01
5.682984734280253e-03	5.000000e-01	2.498395e-01	2.496431e-01
5.782984734280253e-03	5.000000e-01	2.498395e-01	2.496431e-01
5.882984734280253e-03	5.000000e-01	2.498395e-01	2.496431e-01
5.982984734280253e-03	5.000000e-01	2.498395e-01	2.496431e-01
6.082984734280253e-03	5.000000e-01	2.498395e-01	2.496431e-01
6.182984734280253e-03	5.000000e-01	2.498395e-01	2.496431e-01
6.282984734280253e-03	5.000000e-01	2.498395e-01	2.496431e-01
6.382984734280253e-03	5.000000e-01	2.498395e-01	2.496431e-01
6.482984734280253e-03	5.000000e-01	2.498395e-01	2.496431e-01
6.582984734280253e-03	5.000000e-01	2.498395e-01	2.496431e-01
6.682984734280253e-03	5.000000e-01	2.498395e-01	2.496431e-01
6.782984734280253e-03	5.000000e-01	2.498395e-01	2.496431e-01
6.882984734280253e-03	5.000000e-01	2.498395e-01	2.496431e-01
6.982984734280253e-03	5.000000e-01	2.498395e-01	2.496432e-01
7.082984734280253e-03	5.000000e-01	2.498395e-01	2.496432e-01
7.182984734280253e-03	5.000000e-01	2.498395e-01	2.496432e-01
7.282984734280253e-03	5.000000e-01	2.498395e-01	2.496432e-01
7.382984734280253e-03	5.000000e-01	2.498395e-01	2.496432e-01
7.482984734280253e-03	5.000000e-01	2.498395e-01	2.496432e-01
7.582984734280253e-03	5.000000e-01	2.498395e-01	2.496432e-01
7.682984734280253e-03	5.000000e-01	2.498395e-01	2.496432e-01
7.782984734280253e-03	5.000000e-01	2.498395e-01	2.496432e-01
7.882984734280252e-03	5.000000e-01	2.498395e-01	2.496432e-01
7.982984734280253e-03	5.000000e-01	2.498395e-01	2.496432e-01
8.082984734280253e-03	5.000000e-01	2.498395e-01	2.496432e-01
8.182984734280254e-03	5.000000e-01	2.498395e-01	2.496432e-01
8.282984734280253e-03	5.000000e-01	2.498395e-01	2.496432e-01
8.382984734280252e-03	5.000000e-01	2.498395e-01	2.496432e-01
8.482984734280254e-03	5.000000e-01	2.498395e-01	2.496432e-01
8.582984734280253e-03	5.000000e-01	2.498395e-01	2.496432e-01
8.682984734280252e-03	5.000000e-01	2.498395e-01	2.496432e-01
8.782984734280254e-03	5.000000e-01	2.498395e-01	2.496432e-01
8.882984734280253e-03	5.000000e-01	2.498395e-01	2.496432e-01
8.982984734280252e-03	5.000000e-01	2.498395e-01	2.496432e-01
9.082984734280253e-03	5.000000e-01	2.498395e-01	2.496432e-01
9.182984734280253e-03	5.000000e-01	2.498395e-01	2.496432e-01
9.282984734280252e-03	5.000000e-01	2.498395e-01	2.496432e-01
9.382984734280253e-03	5.000000e-01	2.498395e-01	2.496432e-01
9.482984734280253e-03	5.000000e-01	2.498395e-01	2.496432e-01
9.582984734280252e-03	5.000000e-01	2.498395e-01	2.496432e-01
9.682984734280253e-03	5.000000e-01	2.498395e-01	2.496432e-01
9.782984734280253e-03	5.000000e-01	2.498395e-01	2.496432e-01
9.882984734280252e-03	5.000000e-01	2.498395e-01	2.496432e-01
9.982984734280253e-03	5.000000e-01	2.498395e-01	2.496432e-01
1.000000000000000e-02	5.000000e-01	2.496630e-01	2.493418e-01
1.000000000100000e-02	5.000000e-01	2.496816e-01	2.493652e-01
1.000000000200000e-02	5.000000e-01	2.497145e-01	2.494071e-01
1.000000000337040e-02	5.000000e-01	2.497487e-01	2.494503e-01
1.000000000608816e-02	5.000000e-01	2.497960e-01	2.495109e-01
1.000000000927558e-02	5.000000e-01	2.498284e-01	2.495563e-01
1.000000001366838e-02	5.000000e-01	2.498483e-01	2.495906e-01
1.000000001948985e-02	5.000000e-01	2.498561e-01	2.496130e-01
1.000000002843014e-02	5.000000e-01	2.498554e-01	2.496275e-01
1.000000004217740e-02	5.000000e-01	2.498500e-01	2.496365e-01
1.000000005680977e-02	5.000000e-01	2.498457e-01	2.496406e-01
1.000000007719427e-02	5.000000e-01	2.498427e-01	2.496429e-01
1.000000009571235e-02	5.000000e-01	2.498415e-01	2.496436e-01
1.000000012393589e-02	5.000000e-01	2.498408e-01	2.496438e-01
1.000000015758766e-02	5.000000e-01	2.498403e-01	2.496438e-01
1.000000021691516e-02	5.000000e-01	2.498399e-01	2.496436e-01
1.000000030423425e-02	5.000000e-01	2.498397e-01	2.496434e-01
1.000000047887243e-02	5.000000e-01	2.498396e-01	2.496432e-01
1.000000082814880e-02	5.000000e-01	2.498395e-01	2.496432e-01
1.000000135742560e-02	5.000000e-01	2.498395e-01	2.496432e-01
