config_id,t_s,V_out_diff_V
3.0,0.014926777202004016,3.237555
3.0,0.014936777202004016,3.237555
3.0,0.014946777202004016,3.2375548
3.0,0.014956777202004015,3.2375548
3.0,0.014966777202004016,3.237555
3.0,0.014976777202004016,3.237555
3.0,0.014986777202004016,3.237555
3.0,0.014996777202004015,3.2375548
3.0,0.015006777202004015,3.2375553
3.0,0.015016777202004016,3.2375553
3.0,0.015026777202004016,3.2375553
3.0,0.015036777202004015,3.2375553
3.0,0.015046777202004015,3.2375553
3.0,0.015056777202004016,3.2375553
3.0,0.015066777202004016,3.2375553
3.0,0.015076777202004015,3.2375555
3.0,0.015086777202004015,3.2375555
3.0,0.015096777202004016,3.237555
3.0,0.015106777202004016,3.2375553
3.0,0.015116777202004016,3.2375553
3.0,0.015126777202004015,3.2375553
3.0,0.015136777202004017,3.2375555
3.0,0.015146777202004016,3.2375553
3.0,0.015156777202004016,3.2375553
3.0,0.015166777202004015,3.2375555
3.0,0.015176777202004015,3.2375557
3.0,0.015186777202004016,3.2375553
3.0,0.015196777202004016,3.2375555
3.0,0.015206777202004015,3.2375553
3.0,0.015216777202004015,3.2375555
3.0,0.015226777202004016,3.2375557
3.0,0.015236777202004016,3.2375555
3.0,0.015246777202004015,3.2375557
3.0,0.015256777202004015,3.2375555
3.0,0.015266777202004016,3.2375557
3.0,0.015276777202004016,3.2375555
3.0,0.015286777202004016,3.2375557
3.0,0.015296777202004015,3.2375555
3.0,0.015306777202004017,3.2375555
3.0,0.015316777202004016,3.2375557
3.0,0.015326777202004016,3.2375555
3.0,0.015336777202004015,3.237556
3.0,0.015346777202004015,3.2375557
3.0,0.015356777202004016,3.2375557
3.0,0.015366777202004016,3.237556
3.0,0.015376777202004015,3.237556
3.0,0.015386777202004015,3.2375557
3.0,0.015396777202004016,3.2375557
3.0,0.015406777202004016,3.237556
3.0,0.015416777202004016,3.237556
3.0,0.015426777202004015,3.237556
3.0,0.015436777202004016,3.2375557
3.0,0.015446777202004016,3.2375557
3.0,0.015456777202004016,3.2375557
3.0,0.015466777202004015,3.2375562
3.0,0.015476777202004015,3.237556
3.0,0.015486777202004016,3.237556
3.0,0.015496777202004016,3.237556
3.0,0.015506777202004015,3.237556
3.0,0.015516777202004015,3.237556
3.0,0.015526777202004016,3.237556
3.0,0.015536777202004016,3.237556
3.0,0.015546777202004015,3.237556
3.0,0.015556777202004015,3.237556
3.0,0.015566777202004016,3.237556
3.0,0.015576777202004016,3.237556
3.0,0.015586777202004016,3.237556
3.0,0.015596777202004015,3.2375562
3.0,0.015606777202004016,3.2375562
3.0,0.015616777202004016,3.2375562
3.0,0.015626777202004016,3.2375562
3.0,0.015636777202004015,3.2375557
3.0,0.015646777202004015,3.237556
3.0,0.015656777202004014,3.237556
3.0,0.015666777202004014,3.237556
3.0,0.015676777202004017,3.2375562
3.0,0.015686777202004017,3.2375562
3.0,0.015696777202004016,3.2375562
3.0,0.015706777202004016,3.237556
3.0,0.015716777202004015,3.237556
3.0,0.015726777202004015,3.2375562
3.0,0.015736777202004015,3.2375562
3.0,0.015746777202004014,3.2375565
3.0,0.015756777202004017,3.237556
3.0,0.015766777202004017,3.2375562
3.0,0.015776777202004016,3.2375562
3.0,0.015786777202004016,3.2375565
3.0,0.015796777202004016,3.2375562
3.0,0.015806777202004015,3.2375562
3.0,0.015816777202004015,3.2375565
3.0,0.015826777202004014,3.237556
3.0,0.015836777202004014,3.2375562
3.0,0.015846777202004017,3.2375565
3.0,0.015856777202004017,3.2375562
3.0,0.015866777202004016,3.2375562
3.0,0.015876777202004016,3.2375565
3.0,0.015886777202004015,3.2375562
3.0,0.015896777202004015,3.2375565
3.0,0.015906777202004015,3.237556
3.0,0.015916777202004014,3.2375562
3.0,0.015926777202004017,3.2375565
3.0,0.015936777202004017,3.2375562
3.0,0.015946777202004016,3.2375565
3.0,0.015956777202004016,3.2375562
3.0,0.015966777202004016,3.2375565
3.0,0.015976777202004015,3.237556
3.0,0.015986777202004015,3.2375562
3.0,0.015996777202004014,3.2375565
3.0,0.016006777202004014,3.2375562
3.0,0.016016777202004017,3.2375565
3.0,0.016026777202004017,3.2375562
3.0,0.016036777202004016,3.2375565
3.0,0.016046777202004016,3.2375562
3.0,0.016056777202004015,3.2375565
3.0,0.016066777202004015,3.2375562
3.0,0.016076777202004015,3.2375565
3.0,0.016086777202004014,3.2375562
3.0,0.016096777202004017,3.2375567
3.0,0.016106777202004017,3.2375565
3.0,0.016116777202004016,3.2375562
3.0,0.016126777202004016,3.2375565
3.0,0.016136777202004016,3.2375562
3.0,0.016146777202004015,3.2375565
3.0,0.016156777202004015,3.2375562
3.0,0.016166777202004014,3.2375565
3.0,0.016176777202004014,3.2375565
3.0,0.016186777202004017,3.2375567
3.0,0.016196777202004017,3.2375565
3.0,0.016206777202004016,3.2375562
3.0,0.016216777202004016,3.2375565
3.0,0.016226777202004015,3.2375565
