time	I(Vgnd)
8.711843213502943e-03	8.878717e-06
8.721843213502943e-03	8.878745e-06
8.731843213502942e-03	8.878717e-06
8.741843213502942e-03	8.878745e-06
8.751843213502943e-03	8.878717e-06
8.761843213502943e-03	8.878745e-06
8.771843213502942e-03	8.878717e-06
8.781843213502942e-03	8.878745e-06
8.791843213502943e-03	8.878717e-06
8.801843213502943e-03	8.878745e-06
8.811843213502943e-03	8.878717e-06
8.821843213502942e-03	8.878745e-06
8.831843213502943e-03	8.878717e-06
8.841843213502943e-03	8.878745e-06
8.851843213502943e-03	8.878717e-06
8.861843213502942e-03	8.878745e-06
8.871843213502942e-03	8.878717e-06
8.881843213502943e-03	8.878745e-06
8.891843213502943e-03	8.878717e-06
8.901843213502942e-03	8.878745e-06
8.911843213502942e-03	8.878717e-06
8.921843213502943e-03	8.878745e-06
8.931843213502943e-03	8.878717e-06
8.941843213502942e-03	8.878745e-06
8.951843213502942e-03	8.878717e-06
8.961843213502943e-03	8.878745e-06
8.971843213502943e-03	8.878717e-06
8.981843213502943e-03	8.878745e-06
8.991843213502942e-03	8.878717e-06
9.001843213502942e-03	8.878745e-06
9.011843213502943e-03	8.878717e-06
9.021843213502943e-03	8.878745e-06
9.031843213502942e-03	8.878717e-06
9.041843213502942e-03	8.878745e-06
9.051843213502943e-03	8.878717e-06
9.061843213502943e-03	8.878745e-06
9.071843213502942e-03	8.878717e-06
9.081843213502942e-03	8.878745e-06
9.091843213502943e-03	8.878717e-06
9.101843213502943e-03	8.878745e-06
9.111843213502942e-03	8.878717e-06
9.121843213502942e-03	8.878745e-06
9.131843213502943e-03	8.878717e-06
9.141843213502943e-03	8.878745e-06
9.151843213502943e-03	8.878717e-06
9.161843213502942e-03	8.878745e-06
9.171843213502942e-03	8.878717e-06
9.181843213502943e-03	8.878745e-06
9.191843213502943e-03	8.878718e-06
9.201843213502942e-03	8.878745e-06
9.211843213502942e-03	8.878718e-06
9.221843213502943e-03	8.878745e-06
9.231843213502943e-03	8.878718e-06
9.241843213502942e-03	8.878745e-06
9.251843213502942e-03	8.878718e-06
9.261843213502943e-03	8.878745e-06
9.271843213502943e-03	8.878718e-06
9.281843213502942e-03	8.878745e-06
9.291843213502942e-03	8.878718e-06
9.301843213502943e-03	8.878745e-06
9.311843213502943e-03	8.878718e-06
9.321843213502943e-03	8.878745e-06
9.331843213502942e-03	8.878718e-06
9.341843213502942e-03	8.878745e-06
9.351843213502943e-03	8.878718e-06
9.361843213502943e-03	8.878744e-06
9.371843213502942e-03	8.878718e-06
9.381843213502942e-03	8.878744e-06
9.391843213502943e-03	8.878718e-06
9.401843213502943e-03	8.878744e-06
9.411843213502942e-03	8.878718e-06
9.421843213502942e-03	8.878744e-06
9.431843213502943e-03	8.878718e-06
9.441843213502943e-03	8.878744e-06
9.451843213502942e-03	8.878718e-06
9.461843213502942e-03	8.878744e-06
9.471843213502943e-03	8.878718e-06
9.481843213502943e-03	8.878744e-06
9.491843213502943e-03	8.878718e-06
9.501843213502942e-03	8.878744e-06
9.511843213502942e-03	8.878718e-06
9.521843213502943e-03	8.878744e-06
9.531843213502943e-03	8.878718e-06
9.541843213502942e-03	8.878744e-06
9.551843213502942e-03	8.878718e-06
9.561843213502943e-03	8.878744e-06
9.571843213502943e-03	8.878718e-06
9.581843213502942e-03	8.878744e-06
9.591843213502942e-03	8.878718e-06
9.601843213502943e-03	8.878744e-06
9.611843213502943e-03	8.878718e-06
9.621843213502942e-03	8.878744e-06
9.631843213502942e-03	8.878718e-06
9.641843213502942e-03	8.878744e-06
9.651843213502943e-03	8.878718e-06
9.661843213502943e-03	8.878744e-06
9.671843213502942e-03	8.878718e-06
9.681843213502942e-03	8.878744e-06
9.691843213502943e-03	8.878718e-06
9.701843213502943e-03	8.878744e-06
9.711843213502942e-03	8.878718e-06
9.721843213502942e-03	8.878744e-06
9.731843213502943e-03	8.878718e-06
9.741843213502943e-03	8.878744e-06
9.751843213502942e-03	8.878718e-06
9.761843213502942e-03	8.878744e-06
9.771843213502943e-03	8.878718e-06
9.781843213502943e-03	8.878744e-06
9.791843213502942e-03	8.878718e-06
9.801843213502942e-03	8.878744e-06
9.811843213502942e-03	8.878718e-06
9.821843213502943e-03	8.878744e-06
9.831843213502943e-03	8.878718e-06
9.841843213502942e-03	8.878744e-06
9.851843213502942e-03	8.878718e-06
9.861843213502943e-03	8.878744e-06
9.871843213502943e-03	8.878718e-06
9.881843213502942e-03	8.878744e-06
9.891843213502942e-03	8.878718e-06
9.901843213502943e-03	8.878744e-06
9.911843213502943e-03	8.878718e-06
9.921843213502942e-03	8.878744e-06
9.931843213502942e-03	8.878718e-06
9.941843213502943e-03	8.878744e-06
9.951843213502943e-03	8.878718e-06
9.961843213502942e-03	8.878744e-06
9.971843213502942e-03	8.878718e-06
9.981843213502942e-03	8.878744e-06
9.991843213502943e-03	8.878718e-06
1.000000000000000e-02	8.878744e-06
1.000000000100000e-02	8.878348e-06
1.000000000200000e-02	8.878402e-06
1.000000000347517e-02	8.878324e-06
1.000000000560198e-02	8.878211e-06
1.000000000985561e-02	8.877986e-06
1.000000001836286e-02	8.877536e-06
1.000000003537736e-02	8.876635e-06
1.000000006940637e-02	8.874829e-06
1.000000013746440e-02	8.871207e-06
1.000000027358044e-02	8.863914e-06
1.000000054581253e-02	8.849162e-06
1.000000109027671e-02	8.819112e-06
1.000000217920506e-02	8.757570e-06
1.000000435706178e-02	8.632057e-06
1.000000871277520e-02	8.381468e-06
1.000001494129765e-02	8.033637e-06
1.000002567667803e-02	7.467223e-06
1.000004714743879e-02	6.451139e-06
1.000006992190830e-02	5.677072e-06
1.000008603255093e-02	6.404963e-06
1.000010756403204e-02	1.039453e-05
1.000012538761683e-02	1.450189e-05
1.000014481424738e-02	1.851476e-05
1.000016664390799e-02	2.280177e-05
1.000020339762459e-02	2.918293e-05
1.000026064887085e-02	3.645010e-05
1.000033088421712e-02	4.074434e-05
1.000040309891653e-02	4.163624e-05
1.000041461755771e-02	4.165480e-05
1.000043765484007e-02	4.168086e-05
1.000048372940479e-02	4.171115e-05
1.000057587853422e-02	4.173922e-05
1.000076017679309e-02	4.175884e-05
1.000097280692404e-02	4.177255e-05
1.000117666427839e-02	4.180361e-05
1.000135122554361e-02	4.185361e-05
1.000150096775452e-02	4.190467e-05
1.000167031774406e-02	4.195076e-05
1.000185374165978e-02	4.197752e-05
1.000215714128897e-02	4.196823e-05
1.000243342470934e-02	4.190836e-05
1.000269751001092e-02	4.181285e-05
1.000299615586721e-02	4.166879e-05
1.000329543548004e-02	4.149752e-05
1.000364010265290e-02	4.127652e-05
1.000401544412980e-02	4.101474e-05
1.000448119955722e-02	4.066867e-05
1.000502694302067e-02	4.024589e-05
1.000575580216852e-02	3.966984e-05
1.000672670041417e-02	3.890754e-05
1.000828284480144e-02	3.774880e-05
1.001139513357598e-02	3.579573e-05
1.001488756116394e-02	3.422935e-05
1.001769408590171e-02	3.336463e-05
1.001970847309244e-02	3.290061e-05
1.002197763211521e-02	3.248945e-05
1.002444775306784e-02	3.214088e-05
1.002678862737485e-02	3.187926e-05
1.002914666698507e-02	3.166311e-05
1.003138564129639e-02	3.148940e-05
1.003369514319931e-02	3.133299e-05
1.003593387630815e-02	3.119737e-05
1.003821721206106e-02	3.107057e-05
1.004043592525913e-02	3.095553e-05
1.004267982451002e-02	3.084501e-05
1.004499157099713e-02	3.073567e-05
1.004775774151808e-02	3.060900e-05
1.005078477928728e-02	3.047404e-05
1.005419124446071e-02	3.032500e-05
1.005801473925946e-02	3.015984e-05
1.006091292714939e-02	3.003525e-05
1.006303289420813e-02	2.994403e-05
1.006455372651004e-02	2.987811e-05
1.006566835528609e-02	2.982916e-05
1.006649432078300e-02	2.979194e-05
1.006710920217941e-02	2.976299e-05
1.006756553046809e-02	2.973975e-05
1.006790223272602e-02	2.972028e-05
1.006814755062918e-02	2.970296e-05
1.006836477105051e-02	2.968177e-05
1.006859264323549e-02	2.965546e-05
1.006882675686861e-02	2.962932e-05
1.006907506188889e-02	2.960238e-05
1.006941054562888e-02	2.956707e-05
1.006986368217846e-02	2.952092e-05
1.007055400655488e-02	2.945332e-05
1.007157680453358e-02	2.935729e-05
1.007274970877347e-02	2.925120e-05
1.007416188513814e-02	2.912679e-05
1.007567107027384e-02	2.899611e-05
1.007773022299281e-02	2.881957e-05
1.008038014248067e-02	2.859352e-05
1.008447638866176e-02	2.824399e-05
1.008931912123764e-02	2.782939e-05
1.009563505652826e-02	2.728751e-05
1.010341075710291e-02	2.662325e-05
1.011341075710291e-02	2.578163e-05
1.012086555282133e-02	2.516691e-05
1.012603382996593e-02	2.474797e-05
1.012961615910500e-02	2.446129e-05
1.013220841182882e-02	2.425581e-05
1.013413079995452e-02	2.410467e-05
1.013557043222571e-02	2.399233e-05
1.013664703131685e-02	2.390909e-05
1.013744396910511e-02	2.384823e-05
1.013802983637976e-02	2.380438e-05
1.013845530343070e-02	2.377359e-05
1.013881333376206e-02	2.374945e-05
1.013921987235017e-02	2.372418e-05
1.013955343525673e-02	2.370355e-05
1.013993614124471e-02	2.367985e-05
1.014070155322068e-02	2.363259e-05
1.014223237717261e-02	2.353814e-05
1.014465275981426e-02	2.338933e-05
1.014847355471771e-02	2.315579e-05
1.015317962262095e-02	2.287067e-05
1.016020133411016e-02	2.244892e-05
1.016787380689456e-02	2.198523e-05
1.017329981796775e-02	2.163465e-05
1.017617445950032e-02	2.140833e-05
1.017767826308215e-02	2.123782e-05
1.017843133877088e-02	2.111084e-05
1.017889647534842e-02	2.101050e-05
1.017932171199264e-02	2.090712e-05
1.017947393226535e-02	2.086853e-05
1.017964145347869e-02	2.082575e-05
1.017982519580045e-02	2.077856e-05
1.017998674774473e-02	2.073721e-05
1.018016269102188e-02	2.069233e-05
1.018031128114128e-02	2.065475e-05
1.018047295059354e-02	2.061412e-05
1.018062594094826e-02	2.057605e-05
1.018077161460394e-02	2.054008e-05
1.018095257494897e-02	2.049586e-05
1.018111556934416e-02	2.045640e-05
1.018134400506116e-02	2.040176e-05
1.018155270445284e-02	2.035241e-05
1.018188813073810e-02	2.027429e-05
1.018220375675412e-02	2.020195e-05
1.018283500878616e-02	2.006042e-05
1.018346465146304e-02	1.992288e-05
1.018472393681680e-02	1.965680e-05
1.018658794017274e-02	1.928056e-05
1.018920445424738e-02	1.878000e-05
1.019227488220696e-02	1.822591e-05
1.019457146432958e-02	1.783259e-05
1.019623303526219e-02	1.755946e-05
1.019717000794209e-02	1.741152e-05
1.019811386078861e-02	1.726690e-05
1.019878706868449e-02	1.716325e-05
1.019949176429016e-02	1.705533e-05
1.020090115550150e-02	1.684115e-05
1.020347718794826e-02	1.645957e-05
1.020615884894266e-02	1.607752e-05
1.020881167913212e-02	1.571929e-05
1.021024242054932e-02	1.555681e-05
1.021143746924430e-02	1.549567e-05
1.021201356189597e-02	1.551393e-05
1.021277445388098e-02	1.554533e-05
1.021329121391996e-02	1.555785e-05
1.021397099705206e-02	1.557367e-05
1.021484137458521e-02	1.558463e-05
1.021572865758763e-02	1.559261e-05
1.021652784899973e-02	1.559430e-05
1.021741783230400e-02	1.559473e-05
1.021830787731350e-02	1.559111e-05
1.021920569224682e-02	1.558648e-05
1.022040078875457e-02	1.557648e-05
1.022153715574703e-02	1.556558e-05
1.022308496700876e-02	1.554714e-05
1.022470264570496e-02	1.552605e-05
1.022724126960391e-02	1.548851e-05
1.022971199911997e-02	1.544960e-05
1.023240100083413e-02	1.540459e-05
1.023531958764451e-02	1.535485e-05
1.023843453618529e-02	1.530031e-05
1.024209819477456e-02	1.523627e-05
1.024640743691295e-02	1.516039e-05
1.025152933865246e-02	1.507138e-05
1.025795688558476e-02	1.496059e-05
1.026600062431701e-02	1.482526e-05
1.027600062431701e-02	1.466096e-05
1.028600062431701e-02	1.450231e-05
1.029600062431701e-02	1.434819e-05
1.030600062431701e-02	1.419991e-05
1.031600062431701e-02	1.405640e-05
1.032600062431701e-02	1.392012e-05
1.033062325228654e-02	1.386044e-05
1.033299999353789e-02	1.383403e-05
1.033397603150863e-02	1.382477e-05
1.033470421401156e-02	1.381967e-05
1.033498620451501e-02	1.381763e-05
1.033522150858625e-02	1.381613e-05
1.033545771482662e-02	1.381464e-05
1.033571869369453e-02	1.381302e-05
1.033594200375034e-02	1.381168e-05
1.033616620192469e-02	1.381034e-05
1.033642103379902e-02	1.380885e-05
1.033666796723644e-02	1.380743e-05
1.033699894322263e-02	1.380558e-05
1.033731734196574e-02	1.380384e-05
1.033787010164442e-02	1.380099e-05
1.033837814662624e-02	1.379854e-05
1.033939423658988e-02	1.379433e-05
1.034050786298420e-02	1.379102e-05
1.034273511577285e-02	1.379059e-05
1.034517311723201e-02	1.380633e-05
1.034705836461189e-02	1.382541e-05
1.034839960499925e-02	1.382563e-05
1.034949600445875e-02	1.380920e-05
1.035075710407491e-02	1.377806e-05
1.035197587498812e-02	1.374126e-05
1.035315011045572e-02	1.370213e-05
1.035451781514580e-02	1.365398e-05
1.035666184838682e-02	1.357557e-05
1.035919993545590e-02	1.348067e-05
1.036189512116946e-02	1.337916e-05
1.036482555292997e-02	1.326899e-05
1.036808195927854e-02	1.314734e-05
1.037220075488771e-02	1.299504e-05
1.037731226827479e-02	1.280857e-05
1.038351058910945e-02	1.258622e-05
1.039027612552772e-02	1.234808e-05
1.039874806951440e-02	1.205634e-05
1.040874806951440e-02	1.172092e-05
1.041874806951440e-02	1.139496e-05
1.042874806951440e-02	1.107818e-05
1.043874806951440e-02	1.077035e-05
1.044874806951440e-02	1.047123e-05
1.045874806951440e-02	1.018057e-05
1.046874806951440e-02	9.898111e-06
1.047874806951440e-02	9.623635e-06
1.048874806951440e-02	9.356878e-06
1.049874806951440e-02	9.097625e-06
1.050874806951440e-02	8.845625e-06
1.051874806951440e-02	8.600682e-06
1.052874806951440e-02	8.362560e-06
1.053874806951440e-02	8.131077e-06
1.054874806951440e-02	7.906017e-06
1.055874806951440e-02	7.687214e-06
1.056874806951440e-02	7.474466e-06
1.057874806951440e-02	7.267624e-06
1.058874806951440e-02	7.066500e-06
1.059874806951440e-02	6.870956e-06
1.060874806951440e-02	6.680819e-06
1.061874806951440e-02	6.495960e-06
1.062874806951440e-02	6.316216e-06
1.063874806951440e-02	6.141469e-06
1.064874806951440e-02	5.971563e-06
1.065874806951440e-02	5.806390e-06
1.066874806951440e-02	5.645801e-06
1.067874806951440e-02	5.489693e-06
1.068874806951440e-02	5.337927e-06
1.069874806951440e-02	5.190405e-06
1.070874806951440e-02	5.046994e-06
1.071874806951440e-02	4.907603e-06
1.072874806951440e-02	4.772103e-06
1.073874806951440e-02	4.640411e-06
1.074874806951440e-02	4.512402e-06
1.075874806951440e-02	4.387996e-06
1.076874806951440e-02	4.267076e-06
1.077874806951440e-02	4.149568e-06
1.078874806951440e-02	4.035356e-06
1.079874806951440e-02	3.924373e-06
1.080874806951440e-02	3.816508e-06
1.081874806951440e-02	3.711696e-06
1.082874806951440e-02	3.609833e-06
1.083874806951440e-02	3.510857e-06
1.084874806951440e-02	3.414669e-06
1.085874806951440e-02	3.321211e-06
1.086874806951440e-02	3.230386e-06
1.087874806951440e-02	3.142143e-06
1.088874806951440e-02	3.056388e-06
1.089874806951440e-02	2.973072e-06
1.090874806951440e-02	2.892107e-06
1.091874806951440e-02	2.813446e-06
1.092874806951440e-02	2.737005e-06
1.093874806951440e-02	2.662741e-06
1.094874806951440e-02	2.590572e-06
1.095874806951440e-02	2.520460e-06
1.096874806951440e-02	2.452326e-06
1.097874806951440e-02	2.386134e-06
1.098874806951440e-02	2.321809e-06
1.099874806951440e-02	2.259317e-06
1.100874806951440e-02	2.198587e-06
1.101874806951440e-02	2.139589e-06
1.102874806951440e-02	2.082252e-06
1.103874806951440e-02	2.026551e-06
1.104874806951440e-02	1.972417e-06
1.105874806951440e-02	1.919825e-06
1.106874806951440e-02	1.868713e-06
1.107874806951440e-02	1.819057e-06
1.108874806951440e-02	1.770796e-06
1.109874806951440e-02	1.723909e-06
1.110874806951440e-02	1.678337e-06
1.111874806951440e-02	1.634063e-06
1.112874806951440e-02	1.591029e-06
